,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,11,ホセ・ヘレラ,.208,43,120,101,21,5,0,0,26,7,15,30,13,0,5,1,1,0,2,.296,.257,.553,.138,3,アリゾナ・ダイヤモンドバックス
1,捕,14,ガブリエル・モレノ,.284,111,380,341,97,19,1,7,139,50,33,75,29,3,0,7,6,2,17,.339,.408,.747,.280,3,アリゾナ・ダイヤモンドバックス
2,捕,59,セビー・ザバーラ,.171,73,193,175,30,4,0,7,55,18,17,70,12,2,2,2,1,0,4,.230,.314,.545,.162,4,アリゾナ・ダイヤモンドバックス
3,内,2,ヘラルド・ペルドモ,.246,144,495,407,100,20,4,6,146,47,71,86,64,6,14,4,16,4,2,.353,.359,.712,.313,4,アリゾナ・ダイヤモンドバックス
4,内,3,エバン・ロンゴリア,.223,74,237,211,47,9,0,11,89,28,25,73,23,0,0,3,0,0,8,.295,.422,.717,.172,2,アリゾナ・ダイヤモンドバックス
5,内,4,ケテル・マルテ,.276,150,650,569,157,26,9,25,276,82,94,109,71,5,0,5,8,2,16,.358,.485,.844,.275,8,アリゾナ・ダイヤモンドバックス
6,内,6,ジェイス・ピーターソン,.211,134,430,374,79,10,4,6,115,37,35,101,47,4,2,3,15,2,7,.304,.307,.611,.274,5,アリゾナ・ダイヤモンドバックス
7,内,10,ジョーダン・ローラー,.129,14,34,31,4,0,0,0,4,0,2,11,2,1,0,0,1,1,0,.206,.129,.335,.000,1,アリゾナ・ダイヤモンドバックス
8,内,15,エマニュエル・リベラ,.261,86,283,257,67,13,0,4,92,29,32,56,22,0,0,4,1,0,9,.314,.358,.672,.295,4,アリゾナ・ダイヤモンドバックス
9,内,53,クリスチャン・ウォーカー,.258,157,661,582,150,36,2,33,289,103,86,127,62,8,0,8,11,0,13,.333,.497,.830,.197,2,アリゾナ・ダイヤモンドバックス
10,内,62,ブレイズ・アレクサンダー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,アリゾナ・ダイヤモンドバックス
11,内,64,ディエゴ・カスティーヨ,.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,アリゾナ・ダイヤモンドバックス
12,外,5,アレック・トーマス,.230,125,402,374,86,17,5,9,140,39,51,86,19,4,2,3,9,1,5,.273,.374,.647,.229,2,アリゾナ・ダイヤモンドバックス
13,外,7,コービン・キャロル,.285,155,645,565,161,30,10,25,286,76,116,125,57,13,6,4,54,5,7,.362,.506,.868,.280,1,アリゾナ・ダイヤモンドバックス
14,外,8,ドミニク・フレッチャー,.301,28,102,93,28,5,1,2,41,14,10,22,7,0,2,0,0,2,0,.350,.441,.791,.308,1,アリゾナ・ダイヤモンドバックス
15,外,12,ルルデス・グリエル,.261,145,592,551,144,35,2,24,255,82,65,103,33,6,0,2,5,0,20,.309,.463,.772,.266,0,アリゾナ・ダイヤモンドバックス
16,外,28,トミー・ファム,.256,129,481,426,109,27,3,16,190,68,55,106,47,2,0,6,22,3,11,.328,.446,.774,.240,4,アリゾナ・ダイヤモンドバックス
17,外,31,ジェイコブ・マッカーシー,.243,99,312,276,67,7,5,2,90,16,37,62,26,5,4,1,26,4,4,.318,.326,.644,.208,3,アリゾナ・ダイヤモンドバックス
18,外,81,ホルヘ・バロサ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,アリゾナ・ダイヤモンドバックス
19,指,1,カイル・ルイス,.157,16,54,51,8,2,0,1,13,2,2,21,3,0,0,0,0,0,0,.204,.255,.459,.300,0,アリゾナ・ダイヤモンドバックス
20,指,26,パビン・スミス,.188,69,228,191,36,5,0,7,62,30,26,45,35,1,0,0,1,1,3,.317,.325,.642,.230,0,アリゾナ・ダイヤモンドバックス
