,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,12,ショーン・マーフィー,.251,108,438,370,93,21,0,21,177,68,65,98,49,18,0,1,0,0,18,.365,.478,.844,.306,10,アトランタ・ブレーブス
1,捕,16,トラビス・ダーノー,.225,74,292,267,60,13,0,11,106,39,31,67,21,3,0,1,0,0,6,.288,.397,.685,.171,5,アトランタ・ブレーブス
2,捕,48,チャドウィック・トロンプ,.125,6,16,16,2,1,0,0,3,1,1,7,0,0,0,0,0,0,0,.125,.188,.313,.250,0,アトランタ・ブレーブス
3,内,1,オジー・アルビーズ,.280,148,660,596,167,30,5,33,306,109,96,107,46,8,0,8,13,1,9,.336,.513,.849,.297,8,アトランタ・ブレーブス
4,内,11,オルランド・アルシア,.264,139,533,488,129,25,0,17,205,65,66,102,39,3,0,3,1,0,14,.321,.420,.741,.294,12,アトランタ・ブレーブス
5,内,15,ニコラス・ロペス,.231,94,262,225,52,8,3,1,69,25,32,40,26,6,4,1,6,2,3,.326,.307,.632,.293,2,アトランタ・ブレーブス
6,内,18,ボーン・グリッソム,.280,23,80,75,21,3,1,0,26,9,5,15,2,2,0,1,0,1,2,.313,.347,.659,.471,6,アトランタ・ブレーブス
7,内,24,ブレイデン・シューメイク,.000,2,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,0,アトランタ・ブレーブス
8,内,27,オースティン・ライリー,.281,159,715,636,179,32,3,37,328,97,117,172,59,9,0,11,3,1,18,.345,.516,.861,.199,11,アトランタ・ブレーブス
9,内,28,マット・オルソン,.283,162,720,608,172,27,3,54,367,139,127,167,104,4,0,4,1,0,13,.389,.604,.993,.322,8,アトランタ・ブレーブス
10,内,67,ルーク・ウィリアムズ,.053,11,19,19,1,0,0,0,1,0,1,7,0,0,0,0,4,0,0,.053,.053,.105,.000,0,アトランタ・ブレーブス
11,内,-,アンドルー・ベラスケス,.173,54,94,81,14,3,0,2,23,3,12,30,10,0,3,0,13,3,1,.264,.284,.548,.118,6,アトランタ・ブレーブス
12,外,8,エディ・ロサリオ,.255,142,516,478,122,24,3,21,215,74,64,122,34,1,1,2,3,4,13,.305,.450,.755,.261,4,アトランタ・ブレーブス
13,外,13,ロナルド・アクーニャ,.337,159,735,643,217,35,4,41,383,106,149,84,80,9,0,3,73,14,15,.416,.596,1.012,.315,5,アトランタ・ブレーブス
14,外,14,サム・ヒリアード,.236,40,78,72,17,5,0,3,31,6,15,33,6,0,0,0,4,0,1,.295,.431,.725,.091,0,アトランタ・ブレーブス
15,外,17,ケビン・ピラー,.228,81,206,197,45,10,0,9,82,32,29,50,6,0,0,3,4,1,2,.248,.416,.664,.289,1,アトランタ・ブレーブス
16,外,23,マイケル・ハリスII,.293,138,539,505,148,33,3,18,241,57,76,101,25,5,1,3,20,4,8,.331,.477,.808,.228,2,アトランタ・ブレーブス
17,外,73,フォレスト・ウォール,.462,15,15,13,6,2,0,1,11,2,6,4,2,0,0,0,5,1,0,.533,.846,1.379,.000,0,アトランタ・ブレーブス
18,指,20,マルセル・オズナ,.274,144,592,530,145,29,1,40,296,100,84,134,57,3,0,2,0,0,9,.346,.558,.905,.241,0,アトランタ・ブレーブス
