,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,27,ジェームズ・マキャン,.222,70,226,207,46,14,0,6,78,26,25,57,9,5,3,2,3,1,5,.269,.377,.646,.244,3,ボルチモア・オリオールズ
1,捕,35,アドリー・ラッチマン,.277,154,687,588,163,31,1,20,256,80,84,101,92,2,0,5,1,2,14,.374,.435,.809,.274,6,ボルチモア・オリオールズ
2,内,2,ガーナー・ヘンダーソン,.255,150,622,560,143,29,9,28,274,82,100,159,56,3,0,3,10,3,10,.325,.489,.814,.281,14,ボルチモア・オリオールズ
3,内,3,ホルヘ・マテオ,.217,116,350,318,69,14,2,7,108,34,58,82,22,1,5,3,32,5,8,.267,.340,.607,.211,11,ボルチモア・オリオールズ
4,内,6,ライアン・マウントキャッスル,.270,115,470,423,114,21,1,18,191,68,64,107,37,3,0,7,3,1,13,.328,.452,.779,.298,2,ボルチモア・オリオールズ
5,内,11,ジョーダン・ウエストバーグ,.260,68,228,208,54,17,2,3,84,23,26,56,16,1,0,3,4,1,3,.311,.404,.715,.261,1,ボルチモア・オリオールズ
6,内,12,アダム・フレージャー,.240,141,455,412,99,21,2,13,163,60,59,68,32,4,4,2,11,4,4,.300,.396,.696,.294,5,ボルチモア・オリオールズ
7,内,29,ラモン・ウリアス,.264,116,396,360,95,22,3,4,135,42,45,101,27,8,0,1,3,1,10,.328,.375,.703,.309,6,ボルチモア・オリオールズ
8,内,32,ライアン・オハーン,.289,112,368,346,100,22,1,14,166,60,48,82,15,3,1,3,5,1,2,.322,.480,.801,.349,3,ボルチモア・オリオールズ
9,内,65,ジョーイ・オーティズ,.212,15,34,33,7,1,0,0,8,4,4,9,0,0,0,1,0,0,2,.206,.242,.448,.333,0,ボルチモア・オリオールズ
10,外,13,ヘストン・カースタッド,.233,13,33,30,7,1,0,2,14,3,3,10,2,0,0,0,0,0,0,.281,.467,.748,.333,0,ボルチモア・オリオールズ
11,外,17,コルトン・カウザー,.115,26,77,61,7,2,0,0,9,4,15,22,13,2,0,1,1,0,1,.286,.148,.433,.182,1,ボルチモア・オリオールズ
12,外,21,オースティン・ヘイズ,.275,144,566,520,143,36,2,16,231,67,76,141,38,3,0,5,5,1,11,.325,.444,.769,.271,0,ボルチモア・オリオールズ
13,外,23,テリン・バブラ,.245,27,56,49,12,0,0,0,12,5,9,12,5,0,2,0,1,0,5,.315,.245,.560,.357,0,ボルチモア・オリオールズ
14,外,25,アンソニー・サンタンダー,.257,153,656,591,152,41,1,28,279,95,81,152,55,6,0,4,5,1,11,.325,.472,.797,.305,1,ボルチモア・オリオールズ
15,外,26,ライアン・マケナ,.254,89,139,122,31,7,0,2,44,18,23,40,9,3,3,2,5,0,4,.316,.361,.677,.250,1,ボルチモア・オリオールズ
16,外,28,カイル・ストーアーズ,.067,14,33,30,2,0,0,0,2,0,1,12,3,0,0,0,0,0,1,.152,.067,.218,.000,1,ボルチモア・オリオールズ
17,外,31,セドリク・ムリンス,.233,116,455,404,94,23,3,15,168,74,51,101,43,1,3,4,19,3,6,.305,.416,.721,.320,3,ボルチモア・オリオールズ
18,外,34,アーロン・ヒックス,.253,93,312,269,68,9,1,8,103,36,44,69,42,0,0,1,6,0,3,.353,.383,.735,.274,2,ボルチモア・オリオールズ
