,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,3,リース・マグワイア,.267,72,206,187,50,12,1,1,67,16,15,53,11,1,2,1,2,1,2,.310,.358,.668,.200,1,ボストン・レッドソックス
1,捕,12,コナー・ウォン,.235,126,403,371,87,25,2,9,143,36,55,134,22,6,3,1,8,2,4,.288,.385,.673,.217,11,ボストン・レッドソックス
2,内,10,トレバー・ストーリー,.203,43,168,158,32,9,0,3,50,14,12,55,9,1,0,0,10,3,2,.250,.316,.566,.196,2,ボストン・レッドソックス
3,内,11,ラファエル・ディバース,.271,153,656,580,157,34,0,33,290,100,90,126,62,11,0,3,5,1,15,.351,.500,.851,.289,19,ボストン・レッドソックス
4,内,17,ルイス・ウリアス,.194,52,177,144,28,6,0,3,43,18,18,41,21,10,0,0,0,0,4,.337,.299,.636,.310,3,ボストン・レッドソックス
5,内,19,パブロ・レイエス,.287,64,185,167,48,9,0,2,63,20,27,21,14,0,2,2,7,2,3,.339,.377,.716,.238,7,ボストン・レッドソックス
6,内,29,ボビー・ダルベック,.204,21,53,49,10,2,0,1,15,1,6,28,4,0,0,0,1,0,0,.264,.306,.570,.000,1,ボストン・レッドソックス
7,内,36,トリストン・カサズ,.263,132,502,429,113,21,2,24,210,65,66,126,70,1,0,2,0,0,7,.367,.490,.856,.250,5,ボストン・レッドソックス
8,内,43,ラウル・モンデシー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ボストン・レッドソックス
9,内,47,エンマニュエル・バルデス,.266,49,149,139,37,8,0,6,63,19,17,37,8,1,0,0,5,1,4,.311,.453,.764,.243,7,ボストン・レッドソックス
10,内,70,デービッド・ハミルトン,.121,15,39,33,4,2,0,0,6,0,2,10,6,0,0,0,2,1,1,.256,.182,.438,.000,2,ボストン・レッドソックス
11,外,7,吉田正尚,.289,140,580,537,155,33,3,15,239,72,71,81,34,7,0,2,8,0,20,.338,.445,.783,.266,3,ボストン・レッドソックス
12,外,16,ジャレン・デュラン,.295,102,362,332,98,34,2,8,160,40,46,90,24,3,0,2,24,2,3,.346,.482,.828,.319,1,ボストン・レッドソックス
13,外,18,アダム・デュバル,.247,92,353,320,79,24,2,21,170,58,45,110,22,6,0,5,4,0,0,.303,.531,.834,.230,0,ボストン・レッドソックス
14,外,30,ロブ・レフスナイダー,.248,89,243,202,50,9,1,1,64,28,31,47,33,5,1,1,7,2,8,.365,.317,.682,.281,0,ボストン・レッドソックス
15,外,43,セダン・ラファエラ,.241,28,89,83,20,6,0,2,32,5,11,28,4,1,0,1,3,1,2,.281,.386,.666,.182,1,ボストン・レッドソックス
16,外,52,ウィルヤー・アブレイユ,.316,28,85,76,24,6,0,2,36,14,10,23,9,0,0,0,3,1,0,.388,.474,.862,.333,1,ボストン・レッドソックス
17,外,99,アレックス・バードゥーゴ,.264,142,602,546,144,37,5,13,230,54,81,93,45,6,0,5,5,3,11,.324,.421,.745,.250,3,ボストン・レッドソックス
18,指,2,ジャスティン・ターナー,.276,146,626,558,154,31,0,23,254,96,86,110,51,11,0,6,4,1,10,.345,.455,.800,.338,6,ボストン・レッドソックス
