,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,6,ミゲル・アマヤ,.214,53,156,131,28,4,0,5,47,18,17,40,12,11,1,1,0,0,2,.329,.359,.688,.281,4,シカゴ・カブス
1,捕,15,ヤン・ゴームズ,.267,116,419,382,102,20,2,10,156,63,44,81,21,9,0,7,1,0,9,.315,.408,.723,.280,6,シカゴ・カブス
2,内,1,ニック・マドリガル,.263,92,294,270,71,16,1,2,95,28,34,24,10,9,5,0,10,2,3,.311,.352,.663,.275,4,シカゴ・カブス
3,内,2,ニコ・ホーナー,.283,150,688,619,175,27,4,9,237,68,98,83,49,14,1,5,43,7,12,.346,.383,.729,.302,9,シカゴ・カブス
4,内,7,ダンスビー・スワンソン,.244,147,638,565,138,25,3,22,235,80,81,154,66,5,0,2,9,1,9,.328,.416,.744,.267,11,シカゴ・カブス
5,内,9,ヘイメル・カンデラリオ,.251,140,576,505,127,39,3,22,238,70,77,127,53,13,0,4,8,1,11,.336,.471,.807,.274,9,シカゴ・カブス
6,内,16,パトリック・ウィズダム,.205,97,302,268,55,8,1,23,134,46,43,111,30,2,1,1,4,2,4,.289,.500,.789,.200,14,シカゴ・カブス
7,内,18,ジャレド・ヤング,.186,16,47,43,8,0,3,2,20,8,8,13,3,1,0,0,2,0,1,.255,.465,.720,.143,2,シカゴ・カブス
8,内,20,マイルズ・マストロブオーニ,.241,61,149,133,32,5,0,1,40,5,24,32,13,0,3,0,13,1,1,.308,.301,.609,.154,3,シカゴ・カブス
9,内,22,マット・マービス,.167,27,99,90,15,2,0,3,26,11,8,32,8,1,0,0,0,0,1,.242,.289,.531,.238,2,シカゴ・カブス
10,内,24,コディ・ベリンジャー,.307,130,556,499,153,29,1,26,262,97,95,87,40,5,0,12,20,6,7,.356,.525,.881,.323,5,シカゴ・カブス
11,外,4,アレクサンダー・カナリオ,.294,6,17,17,5,1,1,1,11,6,1,8,0,0,0,0,0,0,0,.294,.647,.941,.400,0,シカゴ・カブス
12,外,5,クリストファー・モレル,.247,107,429,388,96,17,3,26,197,70,62,133,36,2,1,2,6,2,7,.313,.508,.821,.270,3,シカゴ・カブス
13,外,8,イアン・ハップ,.248,158,691,580,144,35,4,21,250,84,86,153,99,6,0,6,14,3,12,.360,.431,.791,.250,3,シカゴ・カブス
14,外,27,鈴木誠也,.285,138,583,515,147,31,6,20,250,74,75,130,59,2,0,7,6,7,8,.357,.485,.842,.275,3,シカゴ・カブス
15,外,40,マイク・トークマン,.252,108,401,337,85,18,0,8,127,48,64,86,56,4,1,3,7,1,4,.363,.377,.739,.325,4,シカゴ・カブス
16,外,52,ピーター・クロー・アームストロング,.000,13,19,14,0,0,0,0,0,1,3,7,3,0,2,0,2,2,0,.176,.000,.176,.000,0,シカゴ・カブス
17,外,88,ケビン・アルカンタラ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,シカゴ・カブス
18,外,94,ブレネン・デービス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,シカゴ・カブス
19,投,32,マイケル・フルマー,.000,58,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,0,シカゴ・カブス
