,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,24,ヤスマニー・グランダル,.234,118,405,363,85,14,0,8,123,33,33,86,36,4,0,2,0,0,11,.309,.339,.647,.170,4,シカゴ・ホワイトソックス
1,捕,26,コリー・リー,.077,24,70,65,5,1,0,1,9,3,4,20,5,0,0,0,0,0,0,.143,.138,.281,.083,4,シカゴ・ホワイトソックス
2,捕,36,カルロス・ペレス,.204,27,53,49,10,4,0,1,17,3,5,11,4,0,0,0,0,0,2,.264,.347,.611,.118,2,シカゴ・ホワイトソックス
3,内,1,エルビス・アンドルス,.251,112,406,374,94,20,1,6,134,44,39,71,25,4,1,2,12,4,11,.304,.358,.662,.301,12,シカゴ・ホワイトソックス
4,内,7,ティム・アンダーソン,.245,123,524,493,121,18,2,1,146,25,52,122,26,3,0,2,13,2,15,.286,.296,.582,.289,15,シカゴ・ホワイトソックス
5,内,10,ヨアン・モンカダ,.260,92,357,334,87,20,1,11,142,40,39,107,20,2,0,1,1,0,6,.305,.425,.730,.217,6,シカゴ・ホワイトソックス
6,内,12,ロミー・ゴンザレス,.194,43,97,93,18,4,2,3,35,14,11,36,2,0,1,1,7,0,0,.208,.376,.585,.316,1,シカゴ・ホワイトソックス
7,内,25,アンドルー・ボーン,.258,152,615,566,146,30,2,21,243,80,67,129,36,11,0,2,0,0,15,.314,.429,.743,.270,5,シカゴ・ホワイトソックス
8,内,28,ザック・レミラード,.252,54,160,147,37,7,0,1,47,18,16,48,8,1,4,0,4,3,3,.295,.320,.615,.441,4,シカゴ・ホワイトソックス
9,内,50,レニン・ソサ,.201,52,173,164,33,6,0,6,57,14,12,40,5,0,3,1,0,1,3,.224,.348,.571,.107,3,シカゴ・ホワイトソックス
10,内,55,ホセ・ロドリゲス,.000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,シカゴ・ホワイトソックス
11,内,82,ブライアン・ラモス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,シカゴ・ホワイトソックス
12,外,15,クリント・フレージャー,.197,33,76,66,13,1,1,0,16,3,10,23,10,0,0,0,4,2,0,.303,.242,.545,.286,1,シカゴ・ホワイトソックス
13,外,22,オスカー・コラス,.216,75,263,245,53,9,0,5,77,19,32,71,12,2,2,2,4,3,5,.257,.314,.571,.224,6,シカゴ・ホワイトソックス
14,外,23,アンドルー・ベニンテンディ,.262,151,621,562,147,34,2,5,200,45,72,89,52,3,1,3,13,2,12,.326,.356,.682,.333,4,シカゴ・ホワイトソックス
15,外,32,ギャビン・シーツ,.203,118,344,311,63,10,0,10,103,43,24,66,28,1,0,4,1,0,6,.267,.331,.599,.239,3,シカゴ・ホワイトソックス
16,外,43,トレイス・トンプソン,.163,72,179,153,25,2,0,6,45,17,17,77,24,2,0,0,2,0,1,.285,.294,.579,.154,0,シカゴ・ホワイトソックス
17,外,46,タイラー・ネークイン,.000,5,8,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,.000,.000,.000,.000,0,シカゴ・ホワイトソックス
18,外,51,アダム・ヘイズリー,.222,28,39,36,8,2,0,0,10,2,6,8,3,0,0,0,1,0,1,.282,.278,.560,.182,0,シカゴ・ホワイトソックス
19,外,88,ルイス・ロベルト,.264,145,595,546,144,36,1,38,296,80,90,172,30,12,0,2,20,4,10,.315,.542,.857,.212,3,シカゴ・ホワイトソックス
20,指,74,エロイ・ヒメネス,.272,120,489,456,124,23,0,18,201,64,50,93,30,1,0,2,0,0,13,.317,.441,.758,.325,0,シカゴ・ホワイトソックス
