,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,23,ボー・ネイラー,.237,67,230,198,47,13,0,11,93,32,33,53,30,1,0,1,5,0,2,.339,.470,.809,.212,4,クリーブランド・ガーディアンズ
1,捕,35,キャム・ギャラガー,.126,56,149,143,18,6,0,0,24,7,6,46,4,1,0,1,0,0,3,.154,.168,.322,.132,3,クリーブランド・ガーディアンズ
2,内,0,アンドレス・ヒメネス,.251,153,616,557,140,27,5,15,222,62,76,112,32,20,4,3,30,6,10,.314,.399,.712,.238,6,クリーブランド・ガーディアンズ
3,内,2,タイラー・フリーマン,.242,64,168,153,37,7,0,4,56,18,20,30,10,2,2,1,5,0,3,.295,.366,.661,.317,4,クリーブランド・ガーディアンズ
4,内,6,ブライアン・ロチオ,.247,23,86,81,20,6,0,0,26,8,9,27,4,0,0,1,0,0,4,.279,.321,.600,.227,4,クリーブランド・ガーディアンズ
5,内,8,ホセ・テナ,.226,18,34,31,7,2,0,0,9,3,2,13,3,0,0,0,0,0,0,.294,.290,.584,.375,2,クリーブランド・ガーディアンズ
6,内,10,フアン・ブリト,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,クリーブランド・ガーディアンズ
7,内,11,ホセ・ラミレス,.282,156,691,611,172,36,5,24,290,80,87,73,73,1,0,6,28,6,8,.356,.475,.831,.212,14,クリーブランド・ガーディアンズ
8,内,12,デービッド・フライ,.238,58,113,101,24,6,0,4,42,15,12,30,8,4,0,0,2,0,3,.319,.416,.734,.320,3,クリーブランド・ガーディアンズ
9,内,17,アンヘル・マルティネス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,クリーブランド・ガーディアンズ
10,内,22,ジョシュ・ネイラー,.308,121,495,452,139,31,0,17,221,97,52,68,33,3,0,7,10,3,11,.354,.489,.842,.363,4,クリーブランド・ガーディアンズ
11,内,78,ジョンケンシ・ノエル,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,クリーブランド・ガーディアンズ
12,外,7,マイルズ・ストロー,.238,147,518,462,110,18,3,1,137,29,52,97,42,2,6,6,20,6,10,.301,.297,.597,.205,0,クリーブランド・ガーディアンズ
13,外,10,ラモン・ラウレアーノ,.224,105,404,361,81,18,4,9,134,35,46,114,33,9,0,1,12,1,9,.304,.371,.676,.198,7,クリーブランド・ガーディアンズ
14,外,13,ガブリエル・アーライアズ,.210,122,345,315,66,15,0,10,111,26,36,113,28,1,0,1,3,4,9,.275,.352,.628,.136,6,クリーブランド・ガーディアンズ
15,外,17,ウィル・ブレナン,.266,138,455,432,115,24,0,5,154,41,41,57,16,5,0,2,13,5,4,.299,.356,.655,.250,3,クリーブランド・ガーディアンズ
16,外,38,スティーブン・クワン,.268,158,718,638,171,36,7,5,236,54,93,75,70,3,1,6,21,3,9,.340,.370,.710,.292,4,クリーブランド・ガーディアンズ
17,外,39,オスカー・ゴンザレス,.214,54,180,173,37,7,2,2,54,12,15,46,5,1,0,1,0,0,2,.239,.312,.551,.209,0,クリーブランド・ガーディアンズ
18,外,56,コール・カルフーン,.217,43,174,157,34,7,0,6,59,25,18,37,13,2,0,2,0,1,3,.282,.376,.657,.148,0,クリーブランド・ガーディアンズ
19,外,76,ジョージ・バレラ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,クリーブランド・ガーディアンズ
