,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,6,ブライアン・サーブン,.130,11,23,23,3,1,0,0,4,1,0,10,0,0,0,0,0,0,0,.130,.174,.304,.167,2,コロラド・ロッキーズ
1,捕,16,オースティン・ウィンズ,.208,51,145,130,27,6,0,1,36,10,11,39,9,2,3,1,1,0,4,.268,.277,.545,.280,2,コロラド・ロッキーズ
2,捕,35,エリアス・ディアス,.267,141,526,486,130,25,1,14,199,72,48,118,34,2,0,4,1,0,12,.316,.409,.725,.331,10,コロラド・ロッキーズ
3,内,4,マイケル・トグリア,.163,45,152,141,23,5,0,4,40,9,18,50,10,1,0,0,1,1,3,.224,.284,.507,.121,1,コロラド・ロッキーズ
4,内,7,ブレンダン・ロジャーズ,.258,46,192,178,46,9,1,4,69,20,21,41,11,3,0,0,0,0,6,.313,.388,.700,.241,0,コロラド・ロッキーズ
5,内,12,ショーン・ブシャール,.316,21,43,38,12,2,0,4,26,7,11,14,4,0,0,1,0,1,0,.372,.684,1.056,.182,1,コロラド・ロッキーズ
6,内,13,アラン・トレホ,.232,83,227,207,48,11,0,4,71,26,24,51,16,1,1,2,5,1,3,.288,.343,.631,.291,6,コロラド・ロッキーズ
7,内,14,エゼケル・トーバー,.253,153,615,581,147,37,4,15,237,73,79,166,25,4,2,3,11,5,10,.287,.408,.695,.264,7,コロラド・ロッキーズ
8,内,15,ハンター・グッドマン,.200,23,77,70,14,4,3,1,27,17,6,24,5,0,0,2,1,0,2,.247,.386,.632,.364,0,コロラド・ロッキーズ
9,内,24,ライアン・マクマーン,.240,152,627,555,133,31,3,23,239,70,80,198,68,1,0,3,5,5,19,.322,.431,.753,.214,13,コロラド・ロッキーズ
10,内,30,ハロルド・カストロ,.252,99,270,258,65,13,0,1,81,31,24,66,9,0,1,2,1,0,5,.275,.314,.589,.328,3,コロラド・ロッキーズ
11,内,44,エラウリス・モンテロ,.243,85,307,284,69,15,2,11,121,39,40,111,15,5,0,3,0,0,5,.290,.426,.716,.268,6,コロラド・ロッキーズ
12,内,76,ウォーミング・ベルナベル,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,コロラド・ロッキーズ
13,内,83,フリオ・カレラス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,コロラド・ロッキーズ
14,外,9,ブレントン・ドイル,.203,126,431,399,81,16,5,10,137,48,48,151,22,4,3,3,21,5,9,.250,.343,.593,.277,1,コロラド・ロッキーズ
15,外,22,ノーラン・ジョーンズ,.297,106,424,367,109,22,4,20,199,62,60,126,53,3,0,1,20,4,1,.389,.542,.931,.434,4,コロラド・ロッキーズ
16,外,23,クリス・ブライアント,.233,80,335,300,70,10,0,10,110,31,36,68,29,6,0,0,0,0,6,.313,.367,.680,.279,3,コロラド・ロッキーズ
17,指,19,チャーリー・ブラックマン,.279,96,413,359,100,24,5,8,158,40,57,55,39,11,0,4,4,1,6,.363,.440,.803,.294,1,コロラド・ロッキーズ
