,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,15,カーソン・ケリー,.206,52,151,136,28,5,0,2,39,13,13,40,14,0,0,1,1,0,2,.278,.287,.565,.194,0,デトロイト・タイガース
1,捕,33,ドニー・サンズ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,デトロイト・タイガース
2,捕,34,ジェーク・ロジャーズ,.221,107,365,331,73,11,0,21,147,49,47,118,28,3,1,2,1,1,6,.286,.444,.730,.195,7,デトロイト・タイガース
3,内,9,ニコラス・マトン,.173,93,293,249,43,9,0,8,76,32,29,73,38,3,1,2,1,2,4,.288,.305,.593,.246,8,デトロイト・タイガース
4,内,18,タイラー・ネビン,.200,41,111,95,19,3,1,2,30,10,11,25,12,3,0,1,0,1,1,.306,.316,.622,.185,3,デトロイト・タイガース
5,内,20,スペンサー・トーケルソン,.233,159,684,606,141,34,1,31,270,94,88,171,67,6,0,5,3,0,15,.313,.446,.758,.208,11,デトロイト・タイガース
6,内,27,アンドレ・リプシウ,.286,13,38,35,10,1,0,1,14,4,3,8,3,0,0,0,0,0,1,.342,.400,.742,.250,2,デトロイト・タイガース
7,内,28,ハビエル・バエス,.222,136,547,510,113,18,4,9,166,59,58,125,24,9,0,3,12,0,12,.267,.325,.593,.312,19,デトロイト・タイガース
8,内,32,ライアン・クレイドラー,.111,11,18,18,2,0,0,0,2,0,2,7,0,0,0,0,0,0,0,.111,.111,.222,.000,0,デトロイト・タイガース
9,内,39,ザック・マッキンストリー,.231,148,518,464,107,21,4,9,163,35,60,113,44,5,2,3,16,6,3,.302,.351,.654,.202,9,デトロイト・タイガース
10,内,46,ウェンシール・ペレス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,デトロイト・タイガース
11,内,59,ザック・ショート,.204,112,253,221,45,9,0,7,75,33,17,66,28,0,3,1,5,0,3,.292,.339,.631,.290,8,デトロイト・タイガース
12,内,77,アンディ・イバネス,.264,114,383,356,94,23,2,11,154,41,42,69,24,1,1,1,1,0,7,.312,.433,.744,.274,7,デトロイト・タイガース
13,内,-,エディス・レオナルド,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,デトロイト・タイガース
14,外,8,マシュー・ビアーリング,.261,134,530,479,125,21,5,10,186,44,63,112,44,5,1,1,6,6,8,.329,.388,.717,.211,2,デトロイト・タイガース
15,外,17,オースティン・メドーズ,.238,6,21,21,5,1,0,0,6,2,0,3,0,0,0,0,0,0,0,.238,.286,.524,.333,0,デトロイト・タイガース
16,外,22,パーカー・メドウズ,.240,37,145,125,30,4,2,3,47,13,19,37,17,2,0,1,8,1,0,.338,.376,.714,.176,0,デトロイト・タイガース
17,外,30,ケリー・カーペンター,.278,118,459,418,116,17,2,20,197,64,57,115,32,8,0,1,6,0,5,.340,.471,.811,.303,3,デトロイト・タイガース
18,外,31,ライリー・グリーン,.288,99,416,378,109,19,4,11,169,37,51,114,35,1,0,2,7,0,7,.349,.447,.796,.250,5,デトロイト・タイガース
19,外,60,アキル・バドゥ,.218,112,357,312,68,13,1,11,116,34,40,89,42,0,2,1,14,3,4,.310,.372,.682,.257,2,デトロイト・タイガース
20,指,24,ミゲル・カブレラ,.257,98,370,334,86,20,0,4,118,34,21,74,31,2,0,3,0,0,11,.322,.353,.675,.229,0,デトロイト・タイガース
