,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,15,マーティン・マルドナド,.191,117,407,362,69,12,0,15,126,36,33,139,30,3,12,0,0,0,11,.258,.348,.606,.156,7,ヒューストン・アストロズ
1,捕,18,セサル・サラサル,.111,13,19,18,2,0,0,0,2,0,1,6,1,0,0,0,0,0,1,.158,.111,.269,.000,2,ヒューストン・アストロズ
2,捕,21,ヤイネル・ディアス,.282,104,377,355,100,22,0,23,191,60,51,74,11,5,0,6,0,0,12,.308,.538,.846,.228,6,ヒューストン・アストロズ
3,内,2,アレックス・ブレグマン,.262,161,724,622,163,28,4,25,274,98,103,87,92,8,0,2,3,1,22,.363,.441,.804,.285,15,ヒューストン・アストロズ
4,内,3,ジェレミー・ペーニャ,.263,150,634,577,152,32,3,10,220,52,81,129,43,9,1,1,13,9,11,.324,.381,.705,.258,14,ヒューストン・アストロズ
5,内,14,マウリシオ・デュボン,.278,132,492,467,130,26,3,10,192,46,76,70,19,3,0,3,7,2,10,.309,.411,.720,.298,7,ヒューストン・アストロズ
6,内,16,グレイ・ケッシンジャー,.200,26,45,40,8,2,0,1,13,1,3,12,5,0,0,0,0,1,0,.289,.325,.614,.167,1,ヒューストン・アストロズ
7,内,17,デービッド・ヘンズリー,.119,30,94,84,10,1,0,1,14,3,12,35,10,0,0,0,1,0,0,.213,.167,.379,.100,1,ヒューストン・アストロズ
8,内,27,ホセ・アルテューベ,.311,90,410,360,112,21,2,17,188,51,76,71,44,5,0,1,14,2,9,.393,.522,.915,.312,7,ヒューストン・アストロズ
9,内,28,ジョナサン・シングルトン,.165,36,105,91,15,3,0,2,24,12,11,23,13,0,0,1,0,0,2,.267,.264,.530,.250,1,ヒューストン・アストロズ
10,内,79,ホセ・アブレイユ,.237,141,594,540,128,23,1,18,207,90,62,130,42,6,0,6,0,1,16,.296,.383,.680,.275,5,ヒューストン・アストロズ
11,外,6,ジェイコブ・マイヤーズ,.227,112,341,309,70,16,1,10,118,33,42,88,26,5,0,1,5,2,2,.296,.382,.678,.217,4,ヒューストン・アストロズ
12,外,9,コーリー・ジュルクス,.245,93,323,298,73,14,0,6,105,33,35,75,22,1,0,2,15,3,6,.297,.352,.650,.247,1,ヒューストン・アストロズ
13,外,20,チャス・マコーミック,.273,115,457,403,110,17,2,22,197,70,59,117,40,11,1,2,19,6,3,.353,.489,.842,.274,1,ヒューストン・アストロズ
14,外,30,カイル・タッカー,.284,157,674,574,163,37,5,29,297,112,97,92,80,3,0,10,30,5,11,.369,.517,.886,.354,3,ヒューストン・アストロズ
15,外,44,ヨルダン・アルバレス,.293,114,496,410,120,24,1,31,239,97,77,92,69,13,0,4,0,0,8,.407,.583,.990,.365,0,ヒューストン・アストロズ
16,指,23,マイケル・ブラントリー,.278,15,57,54,15,2,0,2,23,7,7,2,2,0,0,1,0,0,2,.298,.426,.724,.200,0,ヒューストン・アストロズ
