,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,13,サルバドール・ペレス,.255,140,580,538,137,21,0,23,227,80,59,135,19,13,0,8,0,0,11,.292,.422,.714,.301,2,カンザスシティ・ロイヤルズ
1,捕,34,フレディー・フェルミン,.281,70,235,217,61,10,1,9,100,32,26,50,13,1,1,3,0,0,11,.321,.461,.781,.262,9,カンザスシティ・ロイヤルズ
2,捕,79,タイラー・クロップリー,.167,2,7,6,1,0,0,0,1,1,0,2,0,0,0,1,0,0,0,.143,.167,.310,.000,0,カンザスシティ・ロイヤルズ
3,捕,88,ローガン・ポーター,.194,11,38,31,6,1,0,1,10,3,4,11,5,1,1,0,0,0,2,.324,.323,.647,.083,1,カンザスシティ・ロイヤルズ
4,内,0,サマッド・テイラー,.200,31,69,60,12,2,1,0,16,4,11,22,7,0,1,1,8,0,1,.279,.267,.546,.250,1,カンザスシティ・ロイヤルズ
5,内,7,ボビー・ウィットＪｒ．,.276,158,694,641,177,28,11,30,317,96,97,121,40,4,1,8,49,15,11,.319,.495,.813,.290,12,カンザスシティ・ロイヤルズ
6,内,9,ビニー・パスクァンティーノ,.247,61,260,231,57,17,0,9,101,26,24,31,25,2,0,1,0,0,7,.324,.437,.762,.292,1,カンザスシティ・ロイヤルズ
7,内,11,マイケル・ガルシア,.272,123,515,464,126,20,4,4,166,50,59,115,38,2,1,10,23,7,9,.323,.358,.681,.321,8,カンザスシティ・ロイヤルズ
8,内,12,ニック・ロフティン,.323,19,68,62,20,5,1,0,27,10,10,12,4,1,0,1,2,0,0,.368,.435,.803,.455,0,カンザスシティ・ロイヤルズ
9,内,15,マット・ダフィー,.251,79,209,191,48,8,0,2,62,16,17,39,12,4,0,2,1,0,4,.306,.325,.631,.176,10,カンザスシティ・ロイヤルズ
10,内,19,マイケル・マッシー,.229,129,461,428,98,18,1,15,163,55,42,99,24,4,1,4,6,2,3,.274,.381,.655,.214,3,カンザスシティ・ロイヤルズ
11,内,32,ニック・プラット,.232,95,345,306,71,16,0,7,108,35,33,138,29,6,0,4,1,1,3,.307,.353,.660,.230,4,カンザスシティ・ロイヤルズ
12,外,1,ＭＪ・メレンデス,.235,148,602,533,125,29,5,16,212,56,65,170,62,3,0,4,6,3,4,.316,.398,.713,.211,9,カンザスシティ・ロイヤルズ
13,外,6,ドルー・ウォーターズ,.228,98,337,302,69,11,5,8,114,32,40,107,27,5,0,3,16,5,4,.300,.377,.677,.194,5,カンザスシティ・ロイヤルズ
14,外,14,エドワード・オリバレス,.263,107,385,354,93,23,4,12,160,36,47,64,22,7,0,2,11,5,7,.317,.452,.769,.236,3,カンザスシティ・ロイヤルズ
15,外,17,ネルソン・ベラスケス,.235,53,179,162,38,6,0,17,95,34,35,51,14,2,0,1,0,0,3,.302,.586,.888,.176,1,カンザスシティ・ロイヤルズ
16,外,18,ネーサン・イートン,.075,28,56,53,4,0,0,0,4,1,2,21,2,1,0,0,3,0,0,.125,.075,.200,.000,1,カンザスシティ・ロイヤルズ
17,外,28,カイル・イスベル,.240,91,313,292,70,22,2,5,111,34,45,59,17,1,1,2,7,1,5,.282,.380,.662,.279,1,カンザスシティ・ロイヤルズ
18,外,35,ディエゴ・ヘルナンデス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,カンザスシティ・ロイヤルズ
19,外,44,ダイロン・ブランコ,.258,69,138,124,32,7,4,3,56,18,19,33,10,2,2,0,24,5,2,.324,.452,.775,.333,0,カンザスシティ・ロイヤルズ
20,外,-,バッバ・トンプソン,.170,37,60,53,9,4,1,0,15,4,10,16,4,1,1,1,4,2,0,.237,.283,.520,.250,0,カンザスシティ・ロイヤルズ
