,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,14,ローガン・オホッピー,.236,51,199,182,43,6,0,14,91,29,23,48,14,2,0,1,0,1,4,.296,.500,.796,.171,2,ロサンゼルス・エンゼルス
1,捕,21,マット・タイス,.214,94,307,262,56,6,0,9,89,31,32,83,36,6,0,3,2,0,4,.319,.340,.659,.246,8,ロサンゼルス・エンゼルス
2,捕,35,チャド・ウォーラク,.197,65,172,157,31,5,1,7,59,15,18,57,13,0,2,0,0,1,5,.259,.376,.635,.152,2,ロサンゼルス・エンゼルス
3,内,2,ルイス・レンヒーフォ,.264,126,445,394,104,15,4,16,175,51,55,82,41,6,0,4,6,4,3,.339,.444,.783,.258,12,ロサンゼルス・エンゼルス
4,内,5,エデュアルド・エスコバル,.226,100,309,288,65,6,5,6,99,31,32,78,18,0,1,2,2,1,7,.269,.344,.613,.227,7,ロサンゼルス・エンゼルス
5,内,6,アンソニー・レンドン,.236,43,183,148,35,6,0,2,47,22,23,27,25,6,0,4,2,0,6,.361,.318,.678,.263,8,ロサンゼルス・エンゼルス
6,内,8,マイク・ムスタカス,.247,112,386,352,87,15,0,12,138,48,43,95,23,3,0,8,0,0,7,.293,.392,.685,.207,4,ロサンゼルス・エンゼルス
7,内,9,リバン・ソト,.222,4,12,9,2,0,0,0,2,0,2,2,3,0,0,0,0,0,0,.417,.222,.639,.000,1,ロサンゼルス・エンゼルス
8,内,9,ザック・ネト,.225,84,329,289,65,17,0,9,109,34,38,77,20,16,1,3,5,1,5,.308,.377,.685,.215,7,ロサンゼルス・エンゼルス
9,内,10,ジョバンニ・ウルシェラ,.299,62,228,214,64,8,1,2,80,24,22,36,10,1,0,3,3,2,9,.329,.374,.703,.229,7,ロサンゼルス・エンゼルス
10,内,18,ノーラン・シャヌエル,.275,29,132,109,30,3,0,1,36,6,19,19,20,3,0,0,0,0,1,.402,.330,.732,.250,2,ロサンゼルス・エンゼルス
11,内,19,キレン・パリス,.100,15,46,40,4,0,0,0,4,1,4,17,4,1,1,0,3,0,0,.200,.100,.300,.143,0,ロサンゼルス・エンゼルス
12,内,20,ジャレド・ウォルシュ,.125,39,116,104,13,4,0,4,29,11,10,45,11,1,0,0,0,0,1,.216,.279,.494,.167,1,ロサンゼルス・エンゼルス
13,内,22,ダビッド・フレッチャー,.247,33,97,89,22,1,0,2,29,12,7,9,7,0,1,0,0,0,2,.302,.326,.628,.435,1,ロサンゼルス・エンゼルス
14,内,23,ブランドン・ドゥルーリー,.262,125,523,485,127,30,3,26,241,83,61,136,25,8,0,5,0,2,14,.306,.497,.803,.281,2,ロサンゼルス・エンゼルス
15,内,25,Ｃ．Ｊ．クローン,.248,71,278,258,64,12,0,12,112,37,38,65,17,1,0,2,0,0,13,.295,.434,.729,.268,5,ロサンゼルス・エンゼルス
16,内,38,マイケル・ステファニック,.290,25,71,62,18,2,1,0,22,6,5,8,8,1,0,0,0,1,0,.380,.355,.735,.333,2,ロサンゼルス・エンゼルス
17,外,3,テーラー・ウォード,.253,97,409,356,90,18,0,14,150,47,60,80,39,8,0,6,4,2,9,.335,.421,.756,.211,0,ロサンゼルス・エンゼルス
18,外,4,ブレット・フィリップス,.175,40,71,63,11,1,0,3,21,6,9,36,8,0,0,0,3,1,0,.268,.333,.601,.200,1,ロサンゼルス・エンゼルス
19,外,7,ジョ・アデル,.207,17,62,58,12,3,1,3,26,6,7,25,4,0,0,0,1,0,1,.258,.448,.706,.444,0,ロサンゼルス・エンゼルス
20,外,15,ランデル・グリチェク,.267,118,471,434,116,31,2,16,199,44,65,96,29,6,0,2,2,2,11,.321,.459,.779,.223,4,ロサンゼルス・エンゼルス
21,外,16,ミッキー・モニアク,.280,85,323,311,87,21,2,14,154,45,35,113,9,3,0,0,6,3,4,.307,.495,.802,.303,4,ロサンゼルス・エンゼルス
22,外,27,マイク・トラウト,.263,82,362,308,81,14,1,18,151,44,54,104,45,7,0,2,2,0,4,.367,.490,.858,.214,0,ロサンゼルス・エンゼルス
23,外,39,ジョーダン・アダムス,.128,17,40,39,5,0,0,0,5,1,1,16,0,0,0,1,1,2,0,.125,.128,.253,.000,2,ロサンゼルス・エンゼルス
24,外,75,トレイ・キャベジ,.208,22,56,53,11,3,0,1,17,7,5,26,2,0,0,1,1,1,1,.232,.321,.553,.200,1,ロサンゼルス・エンゼルス
25,投,17,大谷翔平,.304,135,599,497,151,26,8,44,325,95,102,143,91,3,0,3,20,6,9,.412,.654,1.066,.317,1,ロサンゼルス・エンゼルス
