,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,15,オースティン・バーンズ,.180,59,200,178,32,5,0,2,43,11,15,43,17,2,1,2,2,1,7,.256,.242,.498,.095,3,ロサンゼルス・ドジャース
1,捕,16,ウィル・スミス,.261,126,554,464,121,21,2,19,203,76,80,89,63,15,0,12,3,0,8,.359,.438,.797,.303,4,ロサンゼルス・ドジャース
2,捕,76,ディエゴ・カルタヤ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ロサンゼルス・ドジャース
3,内,3,クリス・テーラー,.237,117,384,338,80,15,1,15,142,56,51,125,41,4,0,1,16,3,2,.326,.420,.746,.260,5,ロサンゼルス・ドジャース
4,内,5,フレディ・フリーマン,.331,161,730,637,211,59,2,29,361,102,131,121,72,16,0,5,23,1,14,.410,.567,.976,.370,1,ロサンゼルス・ドジャース
5,内,8,キケ・ヘルナンデス,.237,140,508,465,110,23,0,11,166,61,57,97,34,3,0,6,4,1,17,.289,.357,.646,.260,18,ロサンゼルス・ドジャース
6,内,9,ギャビン・ラックス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ロサンゼルス・ドジャース
7,内,11,ミゲル・ロハス,.236,125,423,385,91,16,1,5,124,31,49,48,26,5,2,5,8,3,12,.290,.322,.612,.267,6,ロサンゼルス・ドジャース
8,内,13,マックス・マンシー,.212,135,579,482,102,17,1,36,229,105,95,153,85,6,0,6,1,2,8,.333,.475,.808,.199,16,ロサンゼルス・ドジャース
9,内,17,ミゲル・バルガス,.195,81,304,256,50,15,4,7,94,32,36,61,38,4,1,4,3,2,1,.305,.367,.672,.186,5,ロサンゼルス・ドジャース
10,内,25,コールテン・ウォン,.183,87,250,224,41,6,0,4,59,27,25,53,18,5,0,3,3,2,1,.256,.263,.519,.230,4,ロサンゼルス・ドジャース
11,内,31,アメド・ロサリオ,.263,142,545,510,134,25,8,6,193,58,70,99,29,3,0,3,15,2,15,.305,.378,.683,.321,12,ロサンゼルス・ドジャース
12,内,79,ホルビト・ビバス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ロサンゼルス・ドジャース
13,内,83,マイケル・ブッシュ,.167,27,81,72,12,3,0,2,21,7,9,27,8,0,0,1,1,0,0,.247,.292,.539,.235,4,ロサンゼルス・ドジャース
14,外,6,デービッド・ペラルタ,.259,133,422,394,102,25,1,7,150,55,47,72,20,2,0,6,4,1,8,.294,.381,.675,.263,2,ロサンゼルス・ドジャース
15,外,12,ジェーク・マリズニク,.237,46,83,76,18,3,2,2,31,10,10,21,3,2,1,1,2,3,4,.280,.408,.688,.211,1,ロサンゼルス・ドジャース
16,外,23,ジェーソン・ヘイワード,.269,124,377,334,90,23,0,15,158,40,56,64,34,3,0,3,2,2,7,.340,.473,.813,.213,5,ロサンゼルス・ドジャース
17,外,33,ジェームズ・アウトマン,.248,151,567,483,120,16,3,23,211,70,86,181,68,12,0,4,16,3,4,.353,.437,.790,.260,2,ロサンゼルス・ドジャース
18,外,50,ムーキー・ベッツ,.307,152,693,584,179,40,1,39,338,107,126,107,96,8,0,5,14,3,5,.408,.579,.987,.383,5,ロサンゼルス・ドジャース
19,外,84,アンディ・パヘス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ロサンゼルス・ドジャース
20,外,89,ジョニー・デルーカ,.262,24,45,42,11,1,0,2,18,6,5,8,3,0,0,0,1,0,0,.311,.429,.740,.333,1,ロサンゼルス・ドジャース
21,指,28,Ｊ．Ｄ．マルティネス,.271,113,479,432,117,27,2,33,247,103,61,149,34,2,0,9,1,0,11,.321,.572,.893,.325,0,ロサンゼルス・ドジャース
22,投,18,シェルビー・ミラー,.000,36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,ロサンゼルス・ドジャース
