,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,4,ニック・フォーテス,.204,108,323,294,60,10,0,6,88,26,33,59,17,7,3,2,4,2,12,.263,.299,.562,.241,12,マイアミ・マーリンズ
1,捕,58,ジェイコブ・スターリングズ,.191,89,276,241,46,14,0,3,69,20,22,67,27,3,3,2,0,0,9,.278,.286,.565,.175,6,マイアミ・マーリンズ
2,内,3,ルイス・アラエス,.354,147,617,574,203,30,3,10,269,69,71,34,35,4,1,3,3,2,18,.393,.469,.861,.434,4,マイアミ・マーリンズ
3,内,5,ジョン・バーティ,.296,133,425,389,115,16,3,7,158,33,53,77,29,2,2,3,16,6,10,.345,.406,.751,.213,12,マイアミ・マーリンズ
4,内,10,ユリエスキ・グリエル,.247,109,330,299,74,16,3,4,108,28,32,44,26,1,0,4,4,0,13,.306,.361,.667,.200,2,マイアミ・マーリンズ
5,内,15,ジョーダン・グロシャンズ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,マイアミ・マーリンズ
6,内,18,ジョーイ・ウェンドル,.212,112,318,297,63,16,3,2,91,20,33,67,13,2,3,3,7,1,8,.248,.306,.554,.178,10,マイアミ・マーリンズ
7,内,36,ジェイク・バーガー,.250,141,540,492,123,28,1,34,255,80,71,149,32,12,0,4,1,1,4,.309,.518,.828,.237,9,マイアミ・マーリンズ
8,内,63,イグゼイビアー・エドワーズ,.291,30,85,79,23,3,0,0,26,3,12,14,3,1,2,0,5,0,1,.325,.329,.654,.211,0,マイアミ・マーリンズ
9,内,67,ジェイコブ・アマヤ,.222,4,9,9,2,0,0,0,2,2,1,1,0,0,0,0,1,0,0,.222,.222,.444,.250,0,マイアミ・マーリンズ
10,外,1,ギャレット・ハンプソン,.275,98,253,222,61,12,1,3,84,23,30,68,23,3,3,2,5,0,3,.348,.378,.726,.241,4,マイアミ・マーリンズ
11,外,2,ジャズ・チザム,.252,97,384,353,89,13,2,19,163,52,51,118,26,2,1,2,22,3,4,.305,.462,.767,.264,3,マイアミ・マーリンズ
12,外,6,ペイトン・バーディック,.182,14,37,33,6,2,0,1,11,2,4,18,3,1,0,0,1,0,0,.270,.333,.604,.111,0,マイアミ・マーリンズ
13,外,7,ヘスス・サンチェス,.253,125,402,360,91,23,3,14,162,52,43,107,38,2,1,1,3,1,12,.327,.450,.777,.258,3,マイアミ・マーリンズ
14,外,14,ブライアン・デラクルーズ,.259,153,627,580,150,32,0,19,239,78,61,142,40,1,0,5,4,1,18,.305,.412,.717,.242,5,マイアミ・マーリンズ
15,外,24,アビサイル・ガルシア,.185,37,118,108,20,3,1,3,34,12,8,39,6,2,0,0,2,0,1,.241,.315,.556,.259,0,マイアミ・マーリンズ
16,外,49,ジョナサン・デービス,.244,34,104,90,22,4,1,2,34,10,22,29,7,2,2,2,1,2,1,.307,.378,.685,.280,0,マイアミ・マーリンズ
17,外,54,デーン・マイヤーズ,.269,22,70,67,18,3,0,1,24,9,9,19,2,0,0,1,1,1,1,.286,.358,.644,.190,0,マイアミ・マーリンズ
18,指,9,ジョシュ・ベル,.247,150,617,547,135,28,0,22,229,74,52,134,63,2,0,3,0,1,13,.325,.419,.744,.224,3,マイアミ・マーリンズ
19,指,12,ホルヘ・ソレア,.250,137,580,504,126,24,0,36,258,75,77,141,66,6,0,4,1,0,20,.341,.512,.853,.236,0,マイアミ・マーリンズ
