,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,7,ビクトル・カラティニ,.259,62,226,201,52,4,0,7,77,25,23,45,19,3,0,3,1,1,8,.327,.383,.711,.222,1,ミルウォーキー・ブリュワーズ
1,捕,24,ウィリアム・コントレラス,.291,141,611,540,157,38,1,17,248,78,86,126,63,5,1,2,6,1,23,.369,.459,.828,.336,11,ミルウォーキー・ブリュワーズ
2,内,2,ブライス・トゥラング,.218,137,448,404,88,9,3,6,121,34,46,94,38,1,3,2,26,4,9,.285,.300,.585,.222,6,ミルウォーキー・ブリュワーズ
3,内,3,ジョシュ・ドナルドソン,.152,51,189,165,25,5,0,13,69,26,18,50,22,0,0,2,0,0,6,.249,.418,.667,.130,2,ミルウォーキー・ブリュワーズ
4,内,6,オーウェン・ミラー,.261,90,314,291,76,17,0,5,108,27,29,61,17,2,0,4,13,2,6,.303,.371,.674,.319,6,ミルウォーキー・ブリュワーズ
5,内,11,ロウディ・テレス,.215,106,351,311,67,9,1,13,117,47,26,86,35,0,0,5,0,0,11,.291,.376,.667,.244,2,ミルウォーキー・ブリュワーズ
6,内,12,ジャメイ・ジョーンズ,.200,7,11,10,2,1,0,0,3,3,2,5,1,0,0,0,1,0,0,.273,.300,.573,.250,0,ミルウォーキー・ブリュワーズ
7,内,13,エーブラハム・トロ,.444,9,21,18,8,0,0,2,14,9,4,5,2,1,0,0,0,0,0,.524,.778,1.302,.667,1,ミルウォーキー・ブリュワーズ
8,内,14,アンドルー・モナステリオ,.259,92,315,282,73,14,1,3,98,27,38,66,28,3,0,2,7,2,9,.330,.348,.678,.279,6,ミルウォーキー・ブリュワーズ
9,内,27,ウィリー・アダメズ,.217,149,638,553,120,29,2,24,225,80,73,165,71,6,0,6,5,3,12,.310,.407,.717,.246,14,ミルウォーキー・ブリュワーズ
10,内,41,カルロス・サンタナ,.240,146,619,550,132,33,1,23,236,86,78,104,65,0,0,4,6,0,11,.318,.429,.747,.291,8,ミルウォーキー・ブリュワーズ
11,外,5,ギャレット・ミッチェル,.246,19,73,65,16,2,1,3,29,7,10,26,7,0,0,1,1,1,0,.315,.446,.761,.176,0,ミルウォーキー・ブリュワーズ
12,外,10,サル・フレリック,.246,57,223,191,47,9,1,3,67,24,29,37,28,1,0,3,7,0,2,.341,.351,.692,.232,0,ミルウォーキー・ブリュワーズ
13,外,15,タイロン・テイラー,.234,81,243,231,54,17,1,10,103,35,36,55,8,3,0,1,9,0,10,.267,.446,.713,.269,0,ミルウォーキー・ブリュワーズ
14,外,16,ブレイク・パーキンス,.217,67,168,143,31,7,0,4,50,20,28,46,23,0,2,0,5,2,3,.325,.350,.675,.256,1,ミルウォーキー・ブリュワーズ
15,外,21,マーク・キャンハ,.262,139,507,435,114,25,1,11,174,62,51,79,49,17,0,6,11,1,11,.355,.400,.755,.315,2,ミルウォーキー・ブリュワーズ
16,外,22,クリスチャン・イエリチ,.278,144,632,550,153,34,1,19,246,76,106,140,78,3,0,1,28,3,15,.370,.447,.818,.313,2,ミルウォーキー・ブリュワーズ
17,外,28,ジョーイ・ウィーマー,.204,132,410,367,75,19,0,13,133,42,48,116,36,5,0,2,11,4,4,.283,.362,.645,.188,3,ミルウォーキー・ブリュワーズ
18,外,33,ジェシー・ウインカー,.199,61,197,166,33,5,0,1,41,23,16,51,26,4,0,1,0,0,0,.320,.247,.567,.353,0,ミルウォーキー・ブリュワーズ
19,指,25,ダリン・ラフ,.224,20,57,49,11,3,0,0,14,3,3,16,8,0,0,0,0,0,0,.333,.286,.619,.143,0,ミルウォーキー・ブリュワーズ
