,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,8,クリスチャン・バスケス,.223,102,355,327,73,13,0,6,104,32,34,82,25,1,1,1,1,0,11,.280,.318,.598,.260,9,ミネソタ・ツインズ
1,捕,27,ライアン・ジェファーズ,.276,96,335,286,79,15,2,14,140,43,46,93,33,10,4,2,3,2,6,.369,.490,.858,.207,3,ミネソタ・ツインズ
2,内,1,ニック・ゴードン,.176,34,93,91,16,5,1,2,29,7,13,11,1,0,1,0,0,0,1,.185,.319,.503,.130,1,ミネソタ・ツインズ
3,内,4,カルロス・コレア,.230,135,580,514,118,29,2,18,205,65,60,131,59,4,0,3,0,0,30,.312,.399,.711,.207,6,ミネソタ・ツインズ
4,内,11,ホルヘ・ポランコ,.255,80,343,302,77,18,0,14,137,48,38,88,36,2,0,3,4,0,2,.335,.454,.789,.272,6,ミネソタ・ツインズ
5,内,12,カイル・ファーマー,.253,120,369,336,85,14,2,11,136,46,49,86,23,8,0,2,2,4,7,.314,.405,.719,.346,4,ミネソタ・ツインズ
6,内,13,ジョイ・ガロ,.177,111,332,282,50,9,1,21,124,40,39,142,48,2,0,0,1,1,3,.301,.440,.741,.161,2,ミネソタ・ツインズ
7,内,19,アレックス・キリロフ,.270,88,319,281,76,14,1,11,125,41,35,80,28,7,0,3,1,0,2,.348,.445,.793,.253,3,ミネソタ・ツインズ
8,内,23,ロイス・ルイス,.309,58,239,217,67,7,0,15,119,52,36,55,20,2,0,0,6,1,5,.372,.548,.921,.385,5,ミネソタ・ツインズ
9,内,39,ドノバン・ソラノ,.282,134,450,394,111,26,1,5,154,38,43,100,40,15,0,1,0,0,8,.369,.391,.760,.333,5,ミネソタ・ツインズ
10,内,47,エドゥアルド・フリエン,.263,109,408,338,89,16,1,16,155,37,60,128,64,2,1,3,3,0,8,.381,.459,.839,.273,2,ミネソタ・ツインズ
11,内,64,ホセ・ミランダ,.211,40,152,142,30,4,0,3,43,13,12,24,9,1,0,0,0,0,8,.263,.303,.566,.250,5,ミネソタ・ツインズ
12,外,2,マイケル・テーラー,.220,129,388,355,78,14,1,21,157,51,48,130,26,3,3,1,13,1,7,.278,.442,.720,.227,3,ミネソタ・ツインズ
13,外,9,トレバー・ラーナック,.213,58,212,183,39,7,3,8,76,40,26,72,27,0,0,2,1,1,2,.311,.415,.727,.278,0,ミネソタ・ツインズ
14,外,26,マックス・ケプラー,.260,130,491,438,114,22,2,24,212,66,72,106,45,4,0,4,1,1,9,.332,.484,.816,.266,1,ミネソタ・ツインズ
15,外,38,マット・ウォルナー,.249,76,254,213,53,11,1,14,108,41,42,80,28,13,0,0,2,1,1,.370,.507,.877,.278,1,ミネソタ・ツインズ
16,外,45,アンドリュー・スティーブンソン,.189,25,40,37,7,1,0,0,8,1,4,8,2,1,0,0,4,1,0,.250,.216,.466,.111,1,ミネソタ・ツインズ
17,外,50,ウィリ・カストロ,.257,124,409,358,92,18,5,9,147,34,60,99,34,12,2,3,33,5,5,.339,.411,.750,.234,2,ミネソタ・ツインズ
18,指,16,ジョーダン・ルプロー,.208,39,90,77,16,3,0,2,25,5,11,27,12,1,0,0,2,0,1,.322,.325,.647,.118,0,ミネソタ・ツインズ
19,指,25,バイロン・バクストン,.207,85,347,304,63,17,1,17,133,42,49,109,35,4,0,4,9,0,3,.294,.438,.731,.141,0,ミネソタ・ツインズ
