,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,2,オマー・ナルバエス,.211,49,146,128,27,5,0,2,38,7,12,27,14,0,1,3,0,0,1,.283,.297,.580,.091,5,ニューヨーク・メッツ
1,捕,4,フランシスコ・アルバレス,.209,123,423,382,80,12,0,25,167,63,51,110,34,6,0,1,2,0,14,.284,.437,.721,.245,13,ニューヨーク・メッツ
2,捕,61,ミチャエル・ペレス,.500,3,8,8,4,1,0,0,5,0,1,1,0,0,0,0,0,0,0,.500,.625,1.125,.000,0,ニューヨーク・メッツ
3,内,1,ジェフ・マクニール,.270,156,648,585,158,25,4,10,221,55,75,65,39,18,3,3,10,0,5,.333,.378,.711,.318,5,ニューヨーク・メッツ
4,内,10,ロニー・マウリシオ,.248,26,108,101,25,4,0,2,35,9,11,31,7,0,0,0,7,0,2,.296,.347,.643,.261,1,ニューヨーク・メッツ
5,内,12,フランシスコ・リンドア,.254,160,687,602,153,33,2,31,283,98,108,137,66,12,0,7,31,4,8,.336,.470,.806,.250,11,ニューヨーク・メッツ
6,内,13,ルイス・ギローメ,.224,54,120,107,24,6,1,1,35,9,12,28,10,0,2,1,0,0,4,.288,.327,.615,.235,3,ニューヨーク・メッツ
7,内,15,ダニー・メンディック,.185,35,69,65,12,3,0,1,18,4,4,15,4,0,0,0,1,0,1,.232,.277,.509,.091,1,ニューヨーク・メッツ
8,内,19,ジョナサン・アラウス,.136,27,66,59,8,0,0,3,17,9,3,18,5,0,2,0,0,0,1,.203,.288,.491,.308,1,ニューヨーク・メッツ
9,内,20,ピート・アロンソ,.217,154,658,568,123,21,2,46,286,118,92,151,65,21,0,4,4,1,17,.318,.504,.821,.257,6,ニューヨーク・メッツ
10,内,22,ブレット・ベイティー,.212,108,389,353,75,12,0,9,114,34,41,109,29,2,1,1,2,0,8,.275,.323,.598,.220,10,ニューヨーク・メッツ
11,内,27,マーク・ビエントス,.211,65,233,218,46,5,1,9,80,22,19,71,10,3,0,2,1,0,5,.253,.367,.620,.192,4,ニューヨーク・メッツ
12,内,-,ルイサンヘル・アクーニャ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ニューヨーク・メッツ
13,外,6,スターリング・マルテ,.248,86,341,315,78,7,1,5,102,28,38,69,16,8,2,0,24,4,8,.301,.324,.625,.225,1,ニューヨーク・メッツ
14,外,9,ブランドン・ニモ,.274,152,682,592,162,30,6,24,276,68,89,146,74,11,1,4,3,3,6,.363,.466,.829,.245,4,ニューヨーク・メッツ
15,外,26,ティム・ロキャスト,.232,43,67,56,13,3,0,2,22,3,13,22,3,6,2,0,6,0,0,.338,.393,.731,.111,1,ニューヨーク・メッツ
16,外,29,Ｄ．Ｊ．スチュワート,.238,58,185,160,38,8,0,11,79,26,21,56,15,7,1,1,1,1,3,.328,.494,.822,.200,1,ニューヨーク・メッツ
17,外,30,ラファエル・オルテガ,.219,47,136,114,25,3,0,1,31,8,16,33,20,1,1,0,6,1,0,.341,.272,.613,.263,0,ニューヨーク・メッツ
18,指,32,ダニエル・ボーゲルバック,.233,104,319,275,64,8,0,13,111,48,33,81,42,2,0,0,0,0,6,.339,.404,.742,.275,0,ニューヨーク・メッツ
