,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,38,ベン・ロートベット,.118,32,79,68,8,1,0,2,15,4,6,19,11,0,0,0,0,0,1,.241,.221,.461,.083,2,ニューヨーク・ヤンキース
1,捕,39,ホセ・トレビノ,.210,55,168,157,33,4,0,4,49,15,15,22,8,2,1,0,0,0,6,.257,.312,.570,.250,3,ニューヨーク・ヤンキース
2,捕,66,カイル・ヒガシオカ,.236,92,260,242,57,13,0,10,100,34,24,74,14,0,1,3,0,0,5,.274,.413,.687,.246,9,ニューヨーク・ヤンキース
3,捕,88,オースティン・ウェルズ,.229,19,75,70,16,6,0,4,34,13,8,14,3,0,0,1,0,0,3,.257,.486,.742,.174,1,ニューヨーク・ヤンキース
4,内,11,アンソニー・ボルペ,.209,159,601,541,113,23,4,21,207,60,62,167,52,5,1,2,24,5,10,.283,.383,.666,.204,17,ニューヨーク・ヤンキース
5,内,25,グレイバー・トーレス,.273,158,672,596,163,28,2,25,270,68,90,98,67,3,0,6,13,6,19,.347,.453,.800,.270,15,ニューヨーク・ヤンキース
6,内,26,ＤＪ・ラメーヒュー,.243,136,562,497,121,22,3,15,194,44,55,125,60,3,0,2,2,2,14,.327,.390,.718,.224,3,ニューヨーク・ヤンキース
7,内,48,アンソニー・リゾ,.244,99,421,373,91,14,0,12,141,41,45,97,35,12,0,1,0,3,10,.328,.378,.706,.253,4,ニューヨーク・ヤンキース
8,内,61,ジェイク・バウアーズ,.202,84,272,242,49,15,0,12,100,30,28,95,27,0,0,3,3,2,3,.279,.413,.693,.170,3,ニューヨーク・ヤンキース
9,内,91,オスワルド・ペラザ,.191,52,191,173,33,8,0,2,47,14,15,50,13,5,0,0,4,3,1,.267,.272,.539,.174,4,ニューヨーク・ヤンキース
10,外,12,アイザイア・カイナーファレファ,.242,115,361,326,79,12,1,6,111,37,39,70,28,3,1,3,14,5,12,.306,.340,.646,.288,6,ニューヨーク・ヤンキース
11,外,33,フランキー・コルデロ,.188,24,71,69,13,2,0,6,33,13,9,25,2,0,0,0,0,0,0,.211,.478,.690,.235,0,ニューヨーク・ヤンキース
12,外,57,ビリー・マキニー,.227,48,147,128,29,3,1,6,52,14,19,39,17,1,0,1,1,0,1,.320,.406,.726,.154,0,ニューヨーク・ヤンキース
13,外,80,エバーソン・ペレイラ,.151,27,103,93,14,4,0,0,18,10,6,40,8,2,0,0,4,0,1,.233,.194,.427,.250,0,ニューヨーク・ヤンキース
14,外,89,ジェイソン・ドミンゲス,.258,8,33,31,8,1,0,4,21,7,6,8,2,0,0,0,1,0,1,.303,.677,.980,.500,0,ニューヨーク・ヤンキース
15,外,90,エステバン・フロリアル,.230,19,71,61,14,3,1,0,19,8,5,20,7,2,0,1,3,0,0,.324,.311,.635,.313,1,ニューヨーク・ヤンキース
16,外,95,オスワルド・カブレラ,.211,115,330,298,63,11,0,5,89,29,35,72,25,2,3,2,8,0,6,.275,.299,.574,.229,5,ニューヨーク・ヤンキース
17,外,99,アーロン・ジャッジ,.267,106,458,367,98,16,0,37,225,75,79,130,88,0,0,3,3,1,5,.406,.613,1.019,.262,1,ニューヨーク・ヤンキース
18,指,27,ジアンカルロ・スタントン,.191,101,415,371,71,13,0,24,156,60,43,124,41,2,0,1,0,0,11,.275,.420,.695,.200,0,ニューヨーク・ヤンキース
