,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,23,シェイ・ランゲリアーズ,.205,135,490,448,92,19,4,22,185,63,52,143,34,5,1,2,3,2,10,.268,.413,.681,.235,10,オークランド・アスレチックス
1,捕,37,タイラー・ソーダーストロム,.160,45,138,125,20,1,0,3,30,7,9,43,11,1,0,1,0,0,6,.232,.240,.472,.136,1,オークランド・アスレチックス
2,捕,44,カルロス・ペレス,.226,68,189,168,38,4,0,6,60,20,17,40,13,4,1,3,0,0,4,.293,.357,.650,.231,2,オークランド・アスレチックス
3,内,2,ニック・アレン,.221,106,329,303,67,4,2,4,87,20,29,52,17,1,6,2,5,1,8,.263,.287,.550,.268,9,オークランド・アスレチックス
4,内,4,ケビン・スミス,.185,49,146,135,25,4,0,5,44,11,15,51,5,1,5,0,1,0,3,.220,.326,.546,.114,2,オークランド・アスレチックス
5,内,5,トニー・ケンプ,.209,124,419,359,75,13,3,5,109,27,42,40,44,6,7,3,15,4,9,.303,.304,.607,.195,7,オークランド・アスレチックス
6,内,12,アレドミス・ディアス,.229,109,344,315,72,20,1,4,106,24,25,66,17,7,1,4,1,0,14,.280,.337,.616,.184,5,オークランド・アスレチックス
7,内,13,ホルダン・ディアス,.221,90,293,272,60,9,0,10,99,27,20,69,17,3,0,1,0,1,10,.273,.364,.637,.211,8,オークランド・アスレチックス
8,内,15,セス・ブラウン,.222,112,378,343,76,19,1,14,139,52,33,101,30,2,1,2,3,1,6,.286,.405,.692,.261,0,オークランド・アスレチックス
9,内,20,ザック・ゲロフ,.267,69,300,270,72,20,1,14,136,32,40,82,26,3,0,1,14,2,5,.337,.504,.840,.263,3,オークランド・アスレチックス
10,内,26,ジョナー・ブライド,.170,40,106,88,15,3,0,0,18,7,9,22,11,4,1,2,0,1,3,.286,.205,.490,.316,2,オークランド・アスレチックス
11,内,49,ライアン・ノダ,.229,128,495,406,93,22,1,16,165,54,63,170,77,10,0,2,3,1,4,.364,.406,.770,.189,7,オークランド・アスレチックス
12,内,-,バディ・ケネディ,.167,10,29,24,4,1,0,0,5,1,1,6,4,1,0,0,0,0,0,.310,.208,.519,.000,0,オークランド・アスレチックス
13,外,1,エステウリ・ルイーズ,.254,132,497,449,114,24,1,5,155,47,47,99,20,16,4,1,67,13,7,.309,.345,.654,.365,8,オークランド・アスレチックス
14,外,22,ローレンス・バトラー,.211,42,129,123,26,4,0,4,42,10,10,35,4,1,0,1,0,0,5,.240,.341,.582,.138,0,オークランド・アスレチックス
15,外,25,ブレント・ルーカー,.246,137,526,463,114,20,1,30,226,69,61,172,49,10,0,4,4,0,11,.329,.488,.817,.167,4,オークランド・アスレチックス
16,外,33,ジェフリー・ブレデイ,.195,82,303,256,50,11,0,10,91,27,35,72,42,2,0,3,5,1,3,.310,.355,.666,.179,3,オークランド・アスレチックス
