,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,10,Ｊ．Ｔ．リアルミュート,.252,135,540,489,123,28,5,20,221,63,70,138,35,9,0,5,16,5,10,.310,.452,.762,.205,2,フィラデルフィア・フィリーズ
1,捕,13,ラファエル・マルシャン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,フィラデルフィア・フィリーズ
2,捕,21,ギャレット・スタッブス,.204,41,125,113,23,4,1,1,32,12,15,29,9,2,1,0,2,0,0,.274,.283,.557,.316,5,フィラデルフィア・フィリーズ
3,内,3,ブライス・ハーパー,.293,126,546,457,134,29,1,21,228,72,84,119,80,5,0,4,11,3,10,.401,.499,.900,.272,1,フィラデルフィア・フィリーズ
4,内,5,ブライソン・ストット,.280,151,640,585,164,32,2,15,245,62,78,100,39,7,1,8,31,3,10,.329,.419,.747,.277,5,フィラデルフィア・フィリーズ
5,内,7,トレー・ターナー,.266,155,691,639,170,35,5,26,293,76,102,150,45,6,0,1,30,0,12,.320,.459,.778,.241,23,フィラデルフィア・フィリーズ
6,内,17,リース・ホスキンス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,フィラデルフィア・フィリーズ
7,内,23,コディ・クレメンス,.230,49,148,139,32,7,0,4,51,13,15,40,8,1,0,0,0,0,1,.277,.367,.644,.120,1,フィラデルフィア・フィリーズ
8,内,24,ダリック・ホール,.167,18,56,54,9,1,0,1,13,3,2,18,2,0,0,0,0,0,2,.196,.241,.437,.067,3,フィラデルフィア・フィリーズ
9,内,28,アレク・ベーム,.274,145,611,558,153,31,0,20,244,97,74,94,42,5,0,6,4,1,23,.327,.437,.765,.344,9,フィラデルフィア・フィリーズ
10,内,29,ロドルフ・カストロ,.211,92,256,227,48,7,0,6,73,24,21,74,23,5,0,1,1,4,4,.297,.322,.618,.164,13,フィラデルフィア・フィリーズ
11,内,33,エドムンド・ソーサ,.251,104,300,279,70,15,2,10,119,30,34,74,8,9,2,1,4,2,10,.293,.427,.719,.216,11,フィラデルフィア・フィリーズ
12,内,37,ウェストン・ウィルソン,.313,8,22,16,5,0,0,1,8,2,5,5,6,0,0,0,3,1,0,.500,.500,1.000,.250,2,フィラデルフィア・フィリーズ
13,外,8,ニック・カステラノス,.272,157,671,626,170,37,2,29,298,106,79,185,36,3,0,6,11,2,17,.311,.476,.788,.281,0,フィラデルフィア・フィリーズ
14,外,12,カイル・シュワバー,.197,160,720,585,115,19,1,47,277,104,108,215,126,6,0,3,0,2,4,.343,.474,.817,.216,5,フィラデルフィア・フィリーズ
15,外,16,ブランドン・マーシュ,.277,133,472,404,112,25,6,12,185,60,58,144,59,4,1,4,10,2,4,.372,.458,.829,.310,5,フィラデルフィア・フィリーズ
16,外,18,ヨハン・ロハス,.302,59,164,149,45,9,2,2,64,23,24,42,5,4,6,0,14,1,1,.342,.430,.771,.357,2,フィラデルフィア・フィリーズ
17,外,19,クリスチャン・パチェ,.238,48,95,84,20,7,1,2,35,11,12,27,10,0,1,0,2,3,1,.319,.417,.736,.231,1,フィラデルフィア・フィリーズ
18,外,40,シモン・ムジオッティ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,フィラデルフィア・フィリーズ
19,外,44,ジェーク・ケーブ,.212,65,203,184,39,8,1,5,64,21,18,55,15,1,1,2,3,0,3,.272,.348,.620,.250,1,フィラデルフィア・フィリーズ
