,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,25,エンディ・ロドリゲス,.220,57,204,186,41,7,2,3,61,13,27,49,17,0,0,1,0,0,3,.284,.328,.612,.209,1,ピッツバーグ・パイレーツ
1,捕,55,ジェーソン・ディレー,.251,70,187,167,42,11,1,1,58,18,20,44,14,3,2,1,0,0,5,.319,.347,.666,.283,5,ピッツバーグ・パイレーツ
2,内,6,アルフォンソ・リバス,.229,48,123,109,25,10,1,3,46,15,8,36,9,3,1,1,1,0,1,.303,.422,.725,.250,1,ピッツバーグ・パイレーツ
3,内,13,ケブライアン・ヘイズ,.271,124,525,494,134,31,7,15,224,61,65,104,28,0,0,3,10,6,11,.309,.453,.762,.265,6,ピッツバーグ・パイレーツ
4,内,15,オニール・クルーズ,.250,9,40,32,8,1,0,1,12,4,7,8,7,0,0,1,3,0,0,.375,.375,.750,.429,1,ピッツバーグ・パイレーツ
5,内,19,ジャレッド・トリオロ,.298,54,209,181,54,9,0,3,72,21,30,63,24,3,0,1,6,1,0,.388,.398,.785,.319,3,ピッツバーグ・パイレーツ
6,内,30,トゥクピタ・マルカノ,.233,75,220,202,47,12,2,3,72,18,16,35,10,3,3,2,5,2,2,.276,.356,.633,.267,3,ピッツバーグ・パイレーツ
7,内,39,ニック・ゴンザレス,.209,35,128,115,24,8,1,2,40,13,12,36,6,4,1,2,0,1,0,.268,.348,.616,.214,3,ピッツバーグ・パイレーツ
8,内,60,リオバ・ペゲロ,.237,59,213,198,47,4,1,7,74,26,21,67,11,1,2,1,6,2,6,.280,.374,.653,.294,5,ピッツバーグ・パイレーツ
9,内,71,ビニー・キャプラ,.167,9,21,18,3,1,0,0,4,1,3,5,2,0,1,0,0,0,0,.250,.222,.472,.667,1,ピッツバーグ・パイレーツ
10,内,75,アリカ・ウィリアムズ,.198,46,112,101,20,5,0,0,25,6,7,35,9,1,1,0,0,0,2,.270,.248,.518,.200,4,ピッツバーグ・パイレーツ
11,外,2,コナー・ジョー,.247,133,472,413,102,31,4,11,174,42,63,110,50,8,0,1,3,5,4,.339,.421,.760,.165,2,ピッツバーグ・パイレーツ
12,外,3,ベ・ジファン,.231,111,371,334,77,17,2,2,104,32,54,92,30,2,3,2,24,9,4,.296,.311,.608,.296,10,ピッツバーグ・パイレーツ
13,外,10,ブライアン・レイノルズ,.263,145,640,574,151,31,5,24,264,84,85,138,53,7,0,6,12,1,13,.330,.460,.790,.290,2,ピッツバーグ・パイレーツ
14,外,26,ミゲル・アンドゥハー,.250,30,90,84,21,7,0,4,40,18,9,13,6,0,0,0,2,0,1,.300,.476,.776,.333,0,ピッツバーグ・パイレーツ
15,外,28,ケーナン・スミスジグバ,.125,15,37,32,4,1,1,0,7,5,3,16,4,0,0,1,1,0,1,.216,.219,.435,.125,0,ピッツバーグ・パイレーツ
16,外,32,ヘンリー・デービス,.213,62,255,225,48,10,0,7,79,24,27,69,25,4,0,1,3,5,3,.302,.351,.653,.162,4,ピッツバーグ・パイレーツ
17,外,54,ジョシュ・パラシオス,.239,91,264,247,59,9,2,10,102,40,26,56,12,2,2,1,5,0,7,.279,.413,.692,.277,3,ピッツバーグ・パイレーツ
18,外,65,ジャック・スウィンスキー,.224,144,534,447,100,21,2,26,203,74,63,172,75,6,0,6,13,2,2,.339,.454,.793,.262,1,ピッツバーグ・パイレーツ
19,指,22,アンドルー・マカチェン,.256,112,473,390,100,19,0,12,155,43,55,100,75,4,0,4,11,3,8,.378,.397,.776,.276,0,ピッツバーグ・パイレーツ
