,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,12,ルイス・カンプサノ,.319,49,174,163,52,7,0,7,80,30,27,21,7,3,0,1,0,0,8,.356,.491,.847,.320,3,サンディエゴ・パドレス
1,捕,26,オースティン・ノラ,.146,52,154,130,19,3,0,1,25,8,9,31,18,2,4,0,0,0,5,.260,.192,.452,.050,1,サンディエゴ・パドレス
2,捕,29,ブレット・サリバン,.210,33,86,81,17,3,0,1,23,6,7,19,4,0,0,1,0,0,1,.244,.284,.528,.227,4,サンディエゴ・パドレス
3,捕,45,チャンドラー・シーグル,.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,サンディエゴ・パドレス
4,捕,99,ゲーリー・サンチェス,.217,75,267,240,52,9,0,19,118,47,33,67,21,4,0,2,0,0,3,.288,.492,.780,.232,3,サンディエゴ・パドレス
5,内,2,ザンダー・ボガーツ,.285,155,665,596,170,31,2,19,262,58,83,110,56,7,0,6,19,2,21,.350,.440,.790,.191,8,サンディエゴ・パドレス
6,内,5,エギ・ロサリオ,.250,11,37,36,9,1,1,2,18,6,6,12,1,0,0,0,0,0,1,.270,.500,.770,.333,1,サンディエゴ・パドレス
7,内,7,金河成,.260,152,626,538,140,23,0,17,214,60,84,124,75,3,5,5,38,9,7,.351,.398,.749,.231,7,サンディエゴ・パドレス
8,内,9,ジェーク・クロネンワース,.229,127,522,458,105,24,7,10,173,48,54,97,46,11,1,5,6,1,8,.312,.378,.689,.239,3,サンディエゴ・パドレス
9,内,13,マニー・マチャド,.258,138,601,543,140,21,0,30,251,91,75,109,50,2,0,6,3,2,20,.319,.462,.782,.266,7,サンディエゴ・パドレス
10,内,17,マシュー・バッテン,.258,43,139,120,31,6,0,2,43,11,19,30,17,1,1,0,2,2,0,.355,.358,.713,.256,2,サンディエゴ・パドレス
11,内,24,ギャレット・クーパー,.251,123,457,422,106,18,1,17,177,61,42,132,31,2,0,2,0,0,15,.304,.419,.724,.330,3,サンディエゴ・パドレス
12,内,91,崔志萬,.163,39,117,104,17,5,0,6,40,13,12,35,10,1,0,2,0,0,2,.239,.385,.624,.174,0,サンディエゴ・パドレス
13,外,1,トレント・グリシャム,.198,153,555,469,93,31,1,13,165,50,67,154,75,5,4,1,15,3,7,.315,.352,.666,.237,4,サンディエゴ・パドレス
14,外,10,ジュリクソン・プロファー,.242,125,521,459,111,27,2,9,169,46,55,90,50,6,0,5,1,0,11,.321,.368,.689,.170,4,サンディエゴ・パドレス
15,外,22,フアン・ソト,.275,162,708,568,156,32,1,35,295,109,97,129,132,2,1,5,12,5,18,.410,.519,.930,.299,3,サンディエゴ・パドレス
16,外,23,フェルナンド・タティス,.257,141,635,575,148,33,1,25,258,78,91,141,53,3,1,3,29,4,17,.322,.449,.770,.285,6,サンディエゴ・パドレス
17,外,28,ホセ・アソカル,.231,55,102,91,21,6,0,2,33,9,16,24,4,2,5,0,8,2,2,.278,.363,.641,.227,0,サンディエゴ・パドレス
18,外,38,テイラー・コールウェイ,.154,5,13,13,2,0,0,0,2,0,0,5,0,0,0,0,0,0,0,.154,.154,.308,.000,0,サンディエゴ・パドレス
19,指,14,マット・カーペンター,.176,76,237,188,33,12,0,5,60,31,18,67,41,2,0,5,1,0,2,.322,.319,.641,.172,0,サンディエゴ・パドレス
