,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,1,ロベルト・ペレス,.133,5,17,15,2,0,0,0,2,1,0,6,2,0,0,0,0,0,0,.235,.133,.369,.333,0,サンフランシスコ・ジャイアンツ
1,捕,2,ブレイク・セイボル,.235,110,344,310,73,10,0,13,122,44,36,117,24,6,2,2,4,2,4,.301,.394,.695,.368,6,サンフランシスコ・ジャイアンツ
2,捕,14,パトリック・ベイリー,.233,97,353,326,76,18,1,7,117,48,29,100,21,3,2,1,1,0,8,.285,.359,.644,.330,13,サンフランシスコ・ジャイアンツ
3,捕,21,ジョーイ・バート,.207,30,95,87,18,5,0,0,23,5,9,23,3,4,0,1,0,0,0,.263,.264,.528,.143,2,サンフランシスコ・ジャイアンツ
4,内,6,ケイシー・シュミット,.206,90,277,253,52,15,0,5,82,30,28,65,13,5,3,3,2,1,7,.255,.324,.580,.271,8,サンフランシスコ・ジャイアンツ
5,内,7,Ｊ．Ｄ．デービス,.248,144,546,480,119,23,1,18,198,69,61,152,52,6,0,6,1,0,16,.325,.413,.738,.259,9,サンフランシスコ・ジャイアンツ
6,内,31,ラモント・ウェード,.256,135,519,429,110,14,2,17,179,45,64,95,76,6,4,4,2,0,4,.373,.417,.790,.234,10,サンフランシスコ・ジャイアンツ
7,内,32,デービッド・ビラー,.145,46,140,124,18,6,0,5,39,12,15,45,11,4,0,1,1,1,1,.236,.315,.550,.094,2,サンフランシスコ・ジャイアンツ
8,内,35,ブランドン・クロフォード,.194,94,320,283,55,11,1,7,89,38,31,81,28,4,1,4,3,0,5,.273,.314,.587,.329,11,サンフランシスコ・ジャイアンツ
9,内,37,マルコ・ルシアーノ,.231,14,45,39,9,3,0,0,12,0,4,17,6,0,0,0,1,0,0,.333,.308,.641,.000,1,サンフランシスコ・ジャイアンツ
10,内,39,タイロ・エストラダ,.271,120,530,495,134,26,2,14,206,49,63,120,22,11,0,2,23,7,10,.315,.416,.731,.227,8,サンフランシスコ・ジャイアンツ
11,内,41,ウィルマー・フローレス,.284,126,454,405,115,22,0,23,206,60,51,63,41,5,0,3,0,0,13,.355,.509,.863,.178,9,サンフランシスコ・ジャイアンツ
12,内,46,マーク・マティアス,.226,27,72,62,14,2,0,0,16,6,6,15,10,0,0,0,3,0,4,.333,.258,.591,.389,3,サンフランシスコ・ジャイアンツ
13,内,49,タイラー・フィッツジェラルド,.219,10,34,32,7,2,0,2,15,5,3,10,2,0,0,0,2,0,0,.265,.469,.733,.167,0,サンフランシスコ・ジャイアンツ
14,内,70,ブレット・ワイズリー,.175,51,131,120,21,5,0,2,32,8,10,40,9,0,1,1,2,1,2,.231,.267,.497,.174,4,サンフランシスコ・ジャイアンツ
15,外,5,マイク・ヤストレムスキー,.233,106,381,330,77,23,1,15,147,43,54,99,45,3,2,1,2,2,5,.330,.445,.775,.286,1,サンフランシスコ・ジャイアンツ
16,外,8,マイケル・コンフォート,.239,125,470,406,97,14,0,15,156,58,58,106,53,7,0,4,4,0,12,.334,.384,.718,.255,2,サンフランシスコ・ジャイアンツ
17,外,12,エリオト・ラモス,.179,25,60,56,10,4,0,1,17,2,5,20,4,0,0,0,0,0,1,.233,.304,.537,.167,1,サンフランシスコ・ジャイアンツ
18,外,13,オースティン・スレーター,.270,89,207,185,50,9,0,5,74,20,24,58,20,2,0,0,2,2,2,.348,.400,.748,.341,2,サンフランシスコ・ジャイアンツ
19,外,17,ミッチ・ハニガー,.209,61,229,211,44,13,1,6,77,28,27,65,15,2,0,1,1,0,7,.266,.365,.631,.216,2,サンフランシスコ・ジャイアンツ
20,外,23,ジョク・ピダーソン,.235,121,425,358,84,14,3,15,149,51,59,89,57,7,0,3,0,0,12,.348,.416,.764,.263,3,サンフランシスコ・ジャイアンツ
21,外,29,ルイス・マトス,.250,76,253,228,57,13,1,2,78,14,24,33,20,3,2,0,3,0,3,.319,.342,.661,.170,3,サンフランシスコ・ジャイアンツ
22,外,53,ウェード・メックラー,.232,20,64,56,13,1,0,0,14,4,6,25,6,2,0,0,0,0,0,.328,.250,.578,.333,1,サンフランシスコ・ジャイアンツ
