,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,2,トム・マーフィー,.290,47,159,145,42,12,0,8,78,17,19,44,10,1,0,2,0,0,4,.335,.538,.873,.138,3,シアトル・マリナーズ
1,捕,22,ルイス・トレンズ,.250,18,30,28,7,3,0,0,10,4,1,9,1,1,0,0,0,0,0,.300,.357,.657,.375,0,シアトル・マリナーズ
2,捕,29,キャル・ラリー,.232,145,569,513,119,23,1,30,234,75,78,158,54,1,0,1,0,0,6,.306,.456,.762,.186,10,シアトル・マリナーズ
3,捕,64,ブライアン・オキーフ,.105,8,21,19,2,2,0,0,4,2,0,7,2,0,0,0,0,0,2,.190,.211,.401,.167,0,シアトル・マリナーズ
4,内,0,サム・ハガーティー,.253,52,108,91,23,3,1,1,31,5,13,17,15,1,1,0,10,1,0,.364,.341,.705,.250,1,シアトル・マリナーズ
5,内,3,Ｊ．Ｐ．クロフォード,.266,145,638,534,142,35,0,19,234,65,94,125,94,5,3,2,2,0,7,.380,.438,.818,.263,14,シアトル・マリナーズ
6,内,4,ジョシュ・ロハス,.245,105,350,314,77,17,0,4,106,40,47,81,27,1,2,4,12,0,3,.303,.338,.641,.289,8,シアトル・マリナーズ
7,内,12,エバン・ホワイト,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,シアトル・マリナーズ
8,内,20,マイク・フォード,.228,84,251,219,50,6,0,16,104,34,32,81,24,7,0,1,0,0,4,.323,.475,.798,.220,0,シアトル・マリナーズ
9,内,23,タイ・フランス,.250,158,665,587,147,32,0,12,215,58,79,117,43,34,0,1,1,0,25,.337,.366,.703,.255,1,シアトル・マリナーズ
10,内,28,ユジニオ・スアレス,.232,162,694,598,139,29,0,22,234,96,68,214,70,15,0,11,2,1,10,.323,.391,.714,.277,8,シアトル・マリナーズ
11,内,76,ホセ・カバジェロ,.221,104,280,231,51,9,1,4,74,26,37,66,28,17,0,4,26,3,0,.343,.320,.663,.200,6,シアトル・マリナーズ
12,外,5,テーラー・トランメル,.130,22,56,46,6,0,0,3,15,11,7,22,9,1,0,0,0,1,2,.286,.326,.612,.385,0,シアトル・マリナーズ
13,外,8,ドミニク・カンゾーネ,.220,59,182,173,38,13,0,6,69,21,23,32,8,1,0,0,1,0,5,.258,.399,.657,.227,1,シアトル・マリナーズ
14,外,10,ジャレド・ケリニック,.253,105,416,372,94,25,2,11,156,49,44,132,41,1,0,2,13,5,6,.327,.419,.746,.265,3,シアトル・マリナーズ
15,外,18,ケイド・マーロ,.239,34,100,88,21,3,2,3,37,11,14,33,12,0,0,0,4,2,1,.330,.420,.750,.182,0,シアトル・マリナーズ
16,外,25,ディラン・ムーア,.207,67,165,145,30,9,1,7,62,19,18,56,16,4,0,0,7,3,1,.303,.428,.731,.209,5,シアトル・マリナーズ
17,外,35,テオスカー・ヘルナンデス,.258,160,678,625,161,29,2,26,272,93,70,211,38,8,0,7,7,2,6,.305,.435,.741,.300,3,シアトル・マリナーズ
18,外,44,フリオ・ロドリゲス,.275,155,714,654,180,37,2,32,317,103,102,175,47,11,0,2,37,10,14,.333,.485,.818,.299,2,シアトル・マリナーズ
19,外,85,ホナタン・クラセ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,シアトル・マリナーズ
20,指,21,クーパー・ハメル,.087,10,26,23,2,1,0,0,3,0,2,9,2,1,0,0,1,0,1,.192,.130,.323,.000,0,シアトル・マリナーズ
