,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,7,アンドルー・キズナー,.241,70,241,224,54,11,0,10,95,31,30,62,12,3,1,1,2,0,8,.288,.424,.712,.196,1,セントルイス・カージナルス
1,捕,40,ウィルソン・コントレラス,.264,125,495,428,113,27,0,20,200,67,55,111,51,13,1,2,6,3,12,.358,.467,.826,.314,8,セントルイス・カージナルス
2,捕,48,イバン・ヘレラ,.297,13,44,37,11,2,0,0,13,4,6,11,5,2,0,0,0,0,1,.409,.351,.760,.267,0,セントルイス・カージナルス
3,内,0,メイシン・ウィン,.172,37,137,122,21,2,0,2,29,12,8,26,10,0,2,3,2,1,1,.230,.238,.467,.091,3,セントルイス・カージナルス
4,内,16,ノーラン・ゴーマン,.236,119,464,406,96,17,0,27,194,76,59,148,53,3,0,2,7,2,5,.328,.478,.805,.271,6,セントルイス・カージナルス
5,内,19,トミー・エドマン,.248,137,528,479,119,25,4,13,191,47,69,84,35,7,3,4,27,4,9,.307,.399,.705,.222,8,セントルイス・カージナルス
6,内,26,ルーケン・ベーカー,.209,33,99,86,18,3,0,2,27,10,9,31,13,0,0,0,0,0,1,.313,.314,.627,.217,0,セントルイス・カージナルス
7,内,28,ノーラン・アレナド,.266,144,612,560,149,26,2,26,257,93,71,101,41,3,0,8,3,3,21,.315,.459,.774,.258,9,セントルイス・カージナルス
8,内,33,ブレンダン・ドノバン,.284,95,371,327,93,10,1,11,138,34,48,53,33,9,1,1,5,1,4,.365,.422,.787,.310,3,セントルイス・カージナルス
9,内,35,ホセ・フェルミン,.235,21,61,51,12,1,0,0,13,4,2,8,6,2,2,0,0,1,1,.339,.255,.594,.222,2,セントルイス・カージナルス
10,内,46,ポール・ゴールドシュミット,.268,154,687,593,159,31,0,25,265,80,89,161,87,3,0,3,11,2,12,.363,.447,.810,.255,2,セントルイス・カージナルス
11,内,55,アービング・ロペス,.000,5,12,11,0,0,0,0,0,1,0,5,0,0,0,1,0,0,0,.000,.000,.000,.000,1,セントルイス・カージナルス
12,内,62,フニエル・ケレクト,.100,9,21,20,2,1,0,0,3,0,2,6,1,0,0,0,0,0,0,.143,.150,.293,.143,1,セントルイス・カージナルス
13,内,67,リッチー・パラシオス,.258,32,102,93,24,6,0,6,48,16,9,11,6,1,1,1,2,0,1,.307,.516,.823,.412,2,セントルイス・カージナルス
14,外,3,ディラン・カールソン,.219,76,255,219,48,8,1,5,73,27,27,49,26,7,0,3,3,0,4,.318,.333,.651,.292,1,セントルイス・カージナルス
15,外,13,フアン・エペス,.183,28,65,60,11,1,0,2,18,2,5,20,4,1,0,0,0,1,0,.246,.300,.546,.000,0,セントルイス・カージナルス
16,外,18,ジョーダン・ウォーカー,.276,117,465,420,116,19,2,16,187,51,51,104,37,6,0,2,7,4,9,.342,.445,.787,.248,5,セントルイス・カージナルス
17,外,21,ラーズ・ヌートバー,.261,117,503,426,111,23,1,14,178,46,74,99,72,1,1,3,11,1,7,.367,.418,.784,.293,2,セントルイス・カージナルス
18,外,27,タイラー・オニール,.231,72,266,238,55,14,0,9,96,21,27,67,28,0,0,0,5,0,5,.312,.403,.715,.123,2,セントルイス・カージナルス
19,外,36,モイゼス・ゴメス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,セントルイス・カージナルス
20,外,41,アレク・バールソン,.244,107,347,315,77,20,1,8,123,36,34,45,23,3,1,2,3,1,13,.300,.390,.691,.213,0,セントルイス・カージナルス
21,外,63,マイク・シアーニ,.000,8,6,5,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,.167,.000,.167,.000,0,セントルイス・カージナルス
22,投,50,アダム・ウェインライト,.000,23,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,0,セントルイス・カージナルス
