,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,14,クリスティアン・ベタンコート,.225,104,332,315,71,16,0,11,120,33,49,91,13,0,1,3,1,0,6,.254,.381,.635,.242,4,タンパベイ・レイズ
1,捕,50,レネ・ピント,.252,39,105,103,26,3,0,6,47,16,10,34,2,0,0,0,0,0,2,.267,.456,.723,.290,1,タンパベイ・レイズ
2,内,1,ジュニオール・カミネロ,.235,7,36,34,8,1,0,1,12,7,4,8,2,0,0,0,0,0,2,.278,.353,.631,.444,1,タンパベイ・レイズ
3,内,2,ヤンディ・ディアス,.330,137,600,525,173,35,0,22,274,78,95,94,65,8,0,2,0,1,16,.410,.522,.932,.365,4,タンパベイ・レイズ
4,内,6,テーラー・ウォールズ,.201,99,349,303,61,12,2,8,101,36,50,92,44,1,1,0,22,1,1,.305,.333,.638,.244,8,タンパベイ・レイズ
5,内,8,ブランドン・ロー,.231,109,436,377,87,15,1,21,167,68,58,119,50,6,0,3,7,0,8,.328,.443,.771,.303,8,タンパベイ・レイズ
6,内,9,トリスタン・グレイ,.400,2,5,5,2,0,0,1,5,1,1,0,0,0,0,0,0,0,0,.400,1.000,1.400,.000,0,タンパベイ・レイズ
7,内,17,アイザック・パレデス,.250,143,571,492,123,24,0,31,240,98,71,104,58,20,0,1,1,0,11,.352,.488,.840,.295,11,タンパベイ・レイズ
8,内,25,カーティス・ミード,.253,24,92,83,21,3,1,1,29,5,12,21,7,2,0,0,0,0,3,.326,.349,.675,.174,2,タンパベイ・レイズ
9,内,28,グレッグ・ジョーンズ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,タンパベイ・レイズ
10,内,37,オスレイビス・バサベ,.218,31,94,87,19,5,0,1,27,12,15,25,6,1,0,0,0,1,2,.277,.310,.587,.250,2,タンパベイ・レイズ
11,内,62,ジョナサン・アランダ,.230,34,103,87,20,4,1,2,32,13,13,31,13,2,0,1,0,0,1,.340,.368,.708,.316,2,タンパベイ・レイズ
12,外,7,ビダル・ブルーハン,.171,37,84,76,13,2,0,0,15,6,14,21,5,2,1,0,3,2,1,.241,.197,.438,.238,4,タンパベイ・レイズ
13,外,10,ライメル・タピア,.236,64,169,148,35,4,1,3,50,13,28,40,17,1,1,1,10,2,2,.317,.338,.655,.176,0,タンパベイ・レイズ
14,外,13,マヌエル・マーゴー,.264,99,336,311,82,21,1,4,117,38,39,55,18,4,0,3,9,3,6,.310,.376,.686,.293,3,タンパベイ・レイズ
15,外,15,ジョシュア・ロー,.292,135,501,466,136,33,2,20,233,83,71,124,31,1,0,3,32,3,6,.335,.500,.835,.339,2,タンパベイ・レイズ
16,外,22,ホセ・シリ,.222,101,364,338,75,13,2,25,167,56,58,130,20,2,1,3,12,3,5,.267,.494,.761,.271,2,タンパベイ・レイズ
17,外,55,ルーカス・レイリー,.249,118,406,357,89,23,3,19,175,49,56,128,28,18,1,2,14,3,2,.333,.490,.824,.209,1,タンパベイ・レイズ
18,外,56,ランディ・アロザレーナ,.254,151,654,551,140,19,3,23,234,83,95,156,80,18,0,5,22,10,10,.364,.425,.789,.292,0,タンパベイ・レイズ
19,指,43,ハロルド・ラミレス,.313,122,434,400,125,19,2,12,184,68,58,79,22,6,0,6,5,3,7,.353,.460,.813,.319,0,タンパベイ・レイズ
