,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,11,オースティン・ヘッジズ,.184,82,212,185,34,5,0,1,42,16,14,47,11,2,10,3,1,0,7,.234,.227,.461,.208,7,テキサス・レンジャーズ
1,捕,18,ミッチ・ガーバー,.270,87,344,296,80,11,0,19,148,50,45,82,44,3,0,0,0,0,6,.370,.500,.870,.306,2,テキサス・レンジャーズ
2,捕,28,ヨナ・ハイム,.258,131,501,457,118,28,0,18,200,95,61,96,40,1,0,3,2,0,10,.317,.438,.755,.375,2,テキサス・レンジャーズ
3,捕,55,サム・ハフ,.256,21,45,43,11,2,0,3,22,6,5,17,2,0,0,0,0,0,1,.289,.512,.801,.167,0,テキサス・レンジャーズ
4,内,2,マーカス・セミエン,.276,162,753,670,185,40,4,29,320,100,122,110,72,5,0,5,14,3,5,.348,.478,.826,.322,6,テキサス・レンジャーズ
5,内,5,コリー・シーガー,.327,119,536,477,156,42,0,33,297,96,88,88,49,4,0,6,2,1,9,.390,.623,1.013,.385,8,テキサス・レンジャーズ
6,内,6,ジョシュ・ヤン,.266,122,515,478,127,25,1,23,223,70,75,151,30,5,0,2,1,3,7,.315,.467,.781,.252,4,テキサス・レンジャーズ
7,内,20,エゼケル・デュラン,.276,122,439,406,112,22,2,14,180,46,55,120,23,7,1,2,8,4,7,.324,.443,.768,.192,9,テキサス・レンジャーズ
8,内,30,ネート・ロー,.262,161,724,623,163,38,3,17,258,82,89,165,93,5,0,3,1,0,22,.360,.414,.775,.264,3,テキサス・レンジャーズ
9,内,36,ジョナサン・オーネラス,.143,8,8,7,1,0,0,0,1,0,2,4,0,1,0,0,0,0,0,.250,.143,.393,.000,0,テキサス・レンジャーズ
10,内,47,ジョシュ・スミス,.185,90,232,195,36,8,1,6,64,15,29,55,25,9,2,1,1,0,3,.304,.328,.633,.164,7,テキサス・レンジャーズ
11,外,3,レオディ・タベラス,.266,143,554,511,136,31,3,14,215,67,67,117,35,1,3,4,14,4,3,.312,.421,.733,.237,1,テキサス・レンジャーズ
12,外,4,ロビー・グロスマン,.238,115,420,353,84,23,1,10,139,49,56,98,57,2,0,8,1,0,8,.340,.394,.734,.226,3,テキサス・レンジャーズ
13,外,16,トラビス・ジャンコウスキー,.263,107,287,247,65,12,1,1,82,30,34,42,35,2,1,2,19,1,6,.357,.332,.689,.300,0,テキサス・レンジャーズ
14,外,32,エバン・カーター,.306,23,75,62,19,4,1,5,40,12,15,24,12,0,0,1,3,0,1,.413,.645,1.058,.300,0,テキサス・レンジャーズ
15,外,50,Ｊ．Ｐ．マルティネス,.225,17,44,40,9,1,0,1,13,4,7,16,2,0,0,2,0,0,0,.250,.325,.575,.222,0,テキサス・レンジャーズ
16,外,53,アドリス・ガルシア,.245,148,632,555,136,29,0,39,282,107,108,175,65,6,0,6,9,1,12,.328,.508,.836,.270,6,テキサス・レンジャーズ
17,外,67,ダスティン・ハリス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,テキサス・レンジャーズ
18,指,13,ブラッド・ミラー,.214,27,67,56,12,4,0,1,19,6,8,11,10,0,0,1,0,0,1,.328,.339,.668,.273,0,テキサス・レンジャーズ
19,投,66,ジョシュ・スボールズ,.000,44,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,0,テキサス・レンジャーズ
