,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,9,ダニー・ジャンセン,.228,86,301,268,61,15,0,17,127,53,38,62,23,10,0,0,0,0,3,.312,.474,.786,.254,6,トロント・ブルージェイズ
1,捕,30,アレハンドロ・カーク,.250,123,422,372,93,16,0,8,133,43,34,45,42,6,0,2,0,0,21,.334,.358,.692,.208,6,トロント・ブルージェイズ
2,捕,55,タイラー・ハイネマン,.237,22,47,38,9,1,1,0,12,3,5,8,8,1,0,0,1,0,0,.383,.316,.699,.429,0,トロント・ブルージェイズ
3,内,2,オレルビス・マルティネス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,トロント・ブルージェイズ
4,内,3,オット・ロペス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,トロント・ブルージェイズ
5,内,5,サンティアゴ・エスピナル,.248,93,254,230,57,14,0,2,77,25,30,36,18,3,2,1,2,1,5,.310,.335,.644,.254,9,トロント・ブルージェイズ
6,内,8,キャバン・ビジオ,.235,111,338,289,68,12,0,9,107,40,54,88,40,7,0,2,5,2,0,.340,.370,.710,.267,2,トロント・ブルージェイズ
7,内,11,ボ・ビシェット,.306,135,601,571,175,30,3,20,271,73,69,115,27,2,0,1,5,3,14,.339,.475,.814,.364,8,トロント・ブルージェイズ
8,内,15,ウィット・メリーフィールド,.272,145,592,547,149,27,0,11,209,67,66,101,36,3,0,6,26,10,15,.318,.382,.700,.296,5,トロント・ブルージェイズ
9,内,26,マット・チャプマン,.240,140,581,509,122,39,2,17,216,54,66,165,62,8,0,2,4,2,4,.330,.424,.755,.217,12,トロント・ブルージェイズ
10,内,27,ウラジーミル・ゲレロＪｒ．,.264,156,682,602,159,30,0,26,267,94,78,100,67,9,0,4,5,3,23,.345,.444,.788,.268,8,トロント・ブルージェイズ
11,内,28,アーニー・クレメント,.380,30,52,50,19,1,1,1,25,10,7,4,1,0,0,1,1,0,0,.385,.500,.885,.667,3,トロント・ブルージェイズ
12,内,36,デービス・シュナイダー,.276,35,141,116,32,12,1,8,70,20,23,43,21,4,0,0,1,0,2,.404,.603,1.008,.280,1,トロント・ブルージェイズ
13,内,48,スペンサー・ホーウィッツ,.256,15,44,39,10,2,0,1,15,7,5,12,4,1,0,0,0,0,1,.341,.385,.726,.231,0,トロント・ブルージェイズ
14,内,49,レオ・ヒメネス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,トロント・ブルージェイズ
15,内,57,アディソン・バーガー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,トロント・ブルージェイズ
16,外,4,ジョージ・スプリンガー,.258,154,683,613,158,25,1,21,248,72,87,125,60,5,0,3,20,5,20,.327,.405,.732,.269,0,トロント・ブルージェイズ
17,外,25,ドールトン・バーショ,.220,158,581,527,116,23,3,20,205,61,65,135,45,4,1,3,16,7,5,.285,.389,.674,.218,1,トロント・ブルージェイズ
18,外,31,キャメロン・イーデン,.167,5,6,6,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,.167,.167,.333,.000,0,トロント・ブルージェイズ
19,外,38,ネイサン・ルークス,.192,29,31,26,5,1,1,0,8,2,4,9,4,0,0,1,0,0,1,.290,.308,.598,.000,0,トロント・ブルージェイズ
20,外,39,ケビン・キーアマイヤー,.265,129,408,370,98,21,6,8,155,36,58,86,29,4,1,4,14,1,9,.322,.419,.741,.222,3,トロント・ブルージェイズ
21,指,13,ブランドン・ベルト,.254,103,404,339,86,23,0,19,166,43,53,141,61,2,0,2,0,0,5,.369,.490,.858,.208,1,トロント・ブルージェイズ
