,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,15,ライリー・アダムズ,.273,44,158,143,39,13,2,4,68,21,8,45,11,2,1,1,0,0,5,.331,.476,.807,.323,2,ワシントン・ナショナルズ
1,捕,20,キーバート・ルイーズ,.260,136,562,523,136,24,0,18,214,67,55,58,31,6,0,2,1,1,13,.308,.409,.717,.365,8,ワシントン・ナショナルズ
2,捕,43,イスラエル・ピネダ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ワシントン・ナショナルズ
3,捕,81,ドリュー・ミラス,.286,11,33,28,8,2,0,1,13,6,1,5,4,0,1,0,0,0,2,.375,.464,.839,.167,1,ワシントン・ナショナルズ
4,内,2,ルイス・ガルシア,.266,122,482,447,119,18,4,9,172,50,61,60,27,0,1,7,9,4,10,.304,.385,.688,.253,8,ワシントン・ナショナルズ
5,内,3,ジーター・ダウンズ,.400,6,9,5,2,0,0,0,2,1,4,1,4,0,0,0,2,0,0,.667,.400,1.067,1.000,0,ワシントン・ナショナルズ
6,内,5,Ｃ.Ｊ.エイブラムズ,.245,151,614,563,138,28,6,18,232,64,83,118,32,13,3,3,47,4,7,.300,.412,.712,.194,22,ワシントン・ナショナルズ
7,内,6,マイケル・チャビス,.242,48,96,91,22,3,0,2,31,5,16,33,5,0,0,0,1,0,3,.281,.341,.622,.250,0,ワシントン・ナショナルズ
8,内,8,カーター・キーブーム,.207,27,94,87,18,2,0,4,32,11,12,27,6,1,0,0,0,0,2,.266,.368,.634,.227,2,ワシントン・ナショナルズ
9,内,14,イルデマロ・バルガス,.252,86,286,262,66,13,2,4,95,31,32,20,19,1,3,1,1,1,10,.304,.363,.666,.268,6,ワシントン・ナショナルズ
10,内,22,ドミニク・スミス,.254,153,586,527,134,21,1,12,193,46,57,91,47,10,0,2,1,1,12,.326,.366,.692,.175,7,ワシントン・ナショナルズ
11,内,33,トラビス・ブランケンホーン,.161,10,37,31,5,0,0,1,8,1,2,6,6,0,0,0,0,0,0,.297,.258,.555,.000,0,ワシントン・ナショナルズ
12,外,16,ビクトル・ロブレス,.299,36,126,107,32,5,1,0,39,8,15,18,11,4,4,0,8,1,3,.385,.364,.750,.214,0,ワシントン・ナショナルズ
13,外,17,アレックス・コール,.200,128,439,375,75,14,1,8,115,38,43,78,53,6,3,2,9,8,1,.307,.307,.614,.223,1,ワシントン・ナショナルズ
14,外,28,レーン・トーマス,.268,157,682,628,168,36,3,28,294,86,101,176,36,11,0,7,20,5,5,.315,.468,.783,.248,5,ワシントン・ナショナルズ
15,外,29,ブレーク・ラザフォード,.171,16,36,35,6,0,0,0,6,2,4,10,1,0,0,0,0,0,1,.194,.171,.366,.286,0,ワシントン・ナショナルズ
16,外,30,ジェーコブ・ヤング,.252,33,121,107,27,7,1,0,36,12,9,22,10,1,3,0,13,0,2,.322,.336,.658,.379,1,ワシントン・ナショナルズ
17,外,36,ストーン・ギャレット,.269,89,271,234,63,17,0,9,107,40,40,82,26,3,0,5,3,1,6,.343,.457,.801,.338,2,ワシントン・ナショナルズ
18,外,39,ジェイク・アル,.226,51,175,159,36,2,1,2,46,16,14,42,10,3,1,2,5,1,2,.282,.289,.571,.244,1,ワシントン・ナショナルズ
19,外,70,ジェレミー・デラロサ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ワシントン・ナショナルズ
20,指,45,ジョーイ・メネセス,.275,154,657,611,168,36,1,13,245,89,71,130,38,5,0,3,0,0,15,.321,.401,.722,.363,0,ワシントン・ナショナルズ
