,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,22,ギャレット・ウィットロック,5.15,22,10,0,0,3,5,5,3,1,.500,71.2,82,13,72,9.04,13,3,2,0,43,41,.288,5.54,1.33,ボストン・レッドソックス
1,25,ジョシュ・ウィンコウスキ,2.88,60,1,0,0,0,4,4,19,3,.500,84.1,89,9,82,8.75,31,3,2,0,34,27,.267,2.65,1.42,ボストン・レッドソックス
2,28,コリー・クルバー,7.04,15,9,0,0,1,3,6,0,1,.333,55,69,17,42,6.87,21,4,1,0,47,43,.297,2.00,1.64,ボストン・レッドソックス
3,37,ニック・ピベッタ,4.04,38,16,0,0,5,10,9,2,1,.526,142.2,110,23,183,11.54,50,6,5,1,69,64,.208,3.66,1.12,ボストン・レッドソックス
4,40,ワイアット・ミルズ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ボストン・レッドソックス
5,41,クリス・セール,4.30,20,20,0,0,6,6,5,0,0,.545,102.2,87,15,125,10.96,29,8,3,0,52,49,.227,4.31,1.13,ボストン・レッドソックス
6,46,ジョン・シュライバー,3.86,46,2,0,0,0,2,1,10,1,.667,46.2,41,6,53,10.22,25,4,1,0,22,20,.237,2.12,1.41,ボストン・レッドソックス
7,50,カッター・クロフォード,4.04,31,23,0,0,4,6,8,2,0,.429,129.1,107,17,135,9.39,36,5,4,0,59,58,.221,3.75,1.11,ボストン・レッドソックス
8,55,クリス・マーティン,1.05,55,0,0,0,0,4,1,23,3,.800,51.1,45,2,46,8.06,8,0,1,0,6,6,.237,5.75,1.03,ボストン・レッドソックス
9,56,ザック・ワイス,3.21,12,0,0,0,0,1,0,1,0,1.000,14,9,4,15,9.64,6,1,0,0,6,5,.180,2.50,1.07,ボストン・レッドソックス
10,57,ジョエリー・ロドリゲス,6.55,11,0,0,0,0,0,0,0,0,.000,11,13,2,14,11.45,6,0,0,0,9,8,.289,2.33,1.73,ボストン・レッドソックス
11,61,ケイレブ・オルト,6.26,21,2,0,0,0,1,2,1,0,.333,23,27,6,24,9.39,9,1,2,0,19,16,.290,2.67,1.57,ボストン・レッドソックス
12,63,ジャスティン・ガーザ,7.36,17,1,0,0,0,0,2,0,0,.000,18.1,22,3,17,8.35,12,1,2,1,17,15,.286,1.42,1.85,ボストン・レッドソックス
13,65,ジェームズ・パクストン,4.50,19,19,0,0,8,7,5,0,0,.583,96,93,18,101,9.47,33,2,5,0,51,48,.250,3.06,1.31,ボストン・レッドソックス
14,66,ブライアン・ベロ,4.24,28,28,0,0,15,12,11,0,0,.522,157,165,24,132,7.57,45,6,1,0,77,74,.270,2.93,1.34,ボストン・レッドソックス
15,68,マウリシオ・ロベラ,4.89,30,0,0,0,0,2,3,0,0,.400,35,36,3,29,7.46,15,4,1,0,25,19,.259,1.93,1.46,ボストン・レッドソックス
16,72,クリス・マーフィー,4.91,20,0,0,0,0,1,2,0,1,.333,47.2,50,5,49,9.25,17,1,4,0,27,26,.263,2.88,1.41,ボストン・レッドソックス
17,73,ニック・ロバートソン,6.04,18,1,0,0,0,0,1,1,0,.000,22.1,30,3,26,10.48,9,0,0,0,19,15,.316,2.89,1.75,ボストン・レッドソックス
18,74,ケンリー・ジャンセン,3.63,51,0,0,0,0,3,6,0,29,.333,44.2,40,5,52,10.48,17,2,1,2,21,18,.237,3.06,1.28,ボストン・レッドソックス
19,75,ブランドン・ウォルター,6.26,9,0,0,0,0,0,0,0,1,.000,23,32,3,16,6.26,7,1,1,0,17,16,.327,2.29,1.70,ボストン・レッドソックス
20,76,ザック・ケリー,3.86,8,0,0,0,0,0,0,0,0,.000,9.1,7,0,6,5.79,8,2,1,0,4,4,.219,0.75,1.61,ボストン・レッドソックス
21,78,ジョー・ジャック,5.06,23,1,0,0,0,2,1,0,1,.667,26.2,32,2,20,6.75,10,6,1,0,17,15,.308,2.00,1.58,ボストン・レッドソックス
22,79,ブライアン・マタ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ボストン・レッドソックス
23,83,ブレナン・ベルナルディノ,3.20,55,6,0,0,0,2,1,4,0,.667,50.2,48,4,58,10.30,18,6,3,0,19,18,.250,3.22,1.30,ボストン・レッドソックス
24,89,タナー・ホウク,5.01,21,21,0,0,5,6,10,0,0,.375,106,104,14,99,8.41,41,6,1,0,61,59,.254,2.41,1.37,ボストン・レッドソックス
25,-,ローガン・ギラスピー,6.00,11,0,0,0,0,0,1,2,0,.000,9,14,2,8,8.00,5,1,1,0,7,6,.350,1.60,2.11,ボストン・レッドソックス
26,19,パブロ・レイエス,4.50,2,0,0,0,0,0,0,0,0,.000,2,3,0,0,0.00,4,0,1,0,1,1,.333,0.00,3.50,ボストン・レッドソックス
