,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,0,マーカス・ストローマン,3.95,27,25,1,1,15,10,9,0,0,.526,136.2,120,9,119,7.84,52,3,3,0,68,60,.231,2.29,1.26,シカゴ・カブス
1,11,ドルー・スマイリー,5.00,41,23,0,0,5,11,11,1,0,.500,142.1,147,26,141,8.92,56,6,9,1,89,79,.265,2.52,1.43,シカゴ・カブス
2,12,コディ・ホイヤー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,シカゴ・カブス
3,19,ヘイデン・ウェスネスキ,4.63,34,11,0,0,3,3,5,2,0,.375,89.1,82,20,83,8.36,32,3,2,0,50,46,.242,2.59,1.28,シカゴ・カブス
4,21,イーサン・ロバーツ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,シカゴ・カブス
5,25,ブラッド・ボックスバーガー,4.95,22,0,0,0,0,0,1,1,2,.000,20,15,3,17,7.65,11,1,0,0,11,11,.208,1.55,1.30,シカゴ・カブス
6,28,カイル・ヘンドリックス,3.74,24,24,0,0,12,6,8,0,0,.429,137,138,13,93,6.11,27,4,0,0,68,57,.255,3.44,1.20,シカゴ・カブス
7,32,マイケル・フルマー,4.42,58,1,0,0,0,3,5,11,2,.375,57,48,7,65,10.26,28,2,5,0,29,28,.235,2.32,1.33,シカゴ・カブス
8,35,ジャスティン・スティール,3.06,30,30,0,0,20,16,5,0,0,.762,173.1,167,14,176,9.14,36,7,9,1,71,59,.251,4.89,1.17,シカゴ・カブス
9,36,ジョーダン・ウィックス,4.41,7,7,0,0,3,4,1,0,0,.800,34.2,33,5,24,6.23,11,0,3,0,17,17,.252,2.18,1.27,シカゴ・カブス
10,38,マーク・ライターＪｒ．,3.50,69,0,0,0,0,1,3,28,4,.250,64.1,48,7,77,10.77,24,8,2,1,27,25,.206,3.21,1.12,シカゴ・カブス
11,43,ルーク・リトル,0.00,7,0,0,0,0,0,0,0,0,.000,6.2,5,0,12,16.20,4,1,1,0,0,0,.208,3.00,1.35,シカゴ・カブス
12,45,ケーレブ・キリアン,16.88,3,1,0,0,0,0,1,0,0,.000,5.1,13,0,5,8.44,2,4,2,0,10,10,.481,2.50,2.81,シカゴ・カブス
13,47,ブランドン・ヒューズ,7.24,17,0,0,0,0,0,3,1,0,.000,13.2,14,2,17,11.20,8,1,0,0,11,11,.264,2.13,1.61,シカゴ・カブス
14,48,ダニエル・パレンシア,4.45,27,0,0,0,0,5,3,2,0,.625,28.1,22,3,33,10.48,14,2,5,0,16,14,.216,2.36,1.27,シカゴ・カブス
15,49,ニック・バーディ,9.00,3,0,0,0,0,0,0,0,0,.000,3,3,0,4,12.00,3,0,1,0,3,3,.273,1.33,2.00,シカゴ・カブス
16,50,ジャーメソン・タイロン,4.84,30,29,0,0,9,8,10,0,1,.444,154.1,156,27,140,8.16,41,5,2,0,96,83,.258,3.41,1.28,シカゴ・カブス
17,51,シェーン・グリーン,0.00,2,0,0,0,0,0,0,0,0,.000,3,2,0,3,9.00,2,0,0,0,0,0,.200,1.50,1.33,シカゴ・カブス
18,56,ジェレミア・エストラダ,6.75,12,0,0,0,0,0,0,1,0,.000,10.2,12,4,13,10.97,12,0,0,0,8,8,.279,1.08,2.25,シカゴ・カブス
19,59,マイケル・ラッカー,4.91,35,0,0,0,0,2,1,0,0,.667,40.1,39,6,40,8.93,19,3,1,0,22,22,.257,2.11,1.44,シカゴ・カブス
20,65,タイラー・ダフィー,4.50,1,0,0,0,0,0,0,0,0,.000,2,1,1,3,13.50,0,0,0,0,1,1,.143,0.00,0.50,シカゴ・カブス
21,66,フリアン・メリーウェザー,3.38,69,0,0,0,0,5,1,17,2,.833,72,58,8,98,12.25,36,1,3,0,28,27,.219,2.72,1.31,シカゴ・カブス
22,71,キーガン・トンプソン,4.71,19,0,0,0,0,2,2,3,1,.500,28.2,20,2,26,8.16,19,1,2,0,15,15,.194,1.37,1.36,シカゴ・カブス
23,72,ハビエル・アサド,3.05,32,10,0,0,4,5,3,3,0,.625,109.1,93,13,94,7.74,41,3,3,1,38,37,.231,2.29,1.23,シカゴ・カブス
24,73,アドバート・アルゾレー,2.67,58,0,0,0,0,2,5,7,22,.286,64,52,5,67,9.42,13,5,0,2,23,19,.225,5.15,1.02,シカゴ・カブス
25,74,ホセ・クアス,3.99,72,2,0,0,0,3,2,10,1,.600,65.1,63,8,71,9.78,35,7,5,0,30,29,.253,2.03,1.50,シカゴ・カブス
26,86,ベン・ブラウン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,シカゴ・カブス
27,20,マイルズ・マストロブオーニ,108.00,1,0,0,0,0,0,0,0,0,.000,0.1,4,1,0,0.00,0,0,0,0,4,4,.800,0.00,12.00,シカゴ・カブス
