,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,31,リアム・ヘンドリックス,5.40,5,0,0,0,0,2,0,0,1,1.000,5,4,1,3,5.40,1,0,0,0,3,3,.222,3.00,1.00,シカゴ・ホワイトソックス
1,34,マイケル・コペック,5.43,30,27,0,0,5,5,12,0,0,.294,129.1,115,29,134,9.32,91,11,9,0,80,78,.238,1.47,1.59,シカゴ・ホワイトソックス
2,39,アーロン・バマー,6.79,61,0,0,0,0,5,5,15,0,.500,58.1,53,4,78,12.03,36,5,6,0,45,44,.236,2.17,1.53,シカゴ・ホワイトソックス
3,41,ブライアン・ショー,4.14,38,0,0,0,0,0,0,4,4,.000,45.2,39,3,40,7.88,17,6,1,0,21,21,.235,2.35,1.23,シカゴ・ホワイトソックス
4,45,ギャレット・クロシェ,3.55,13,0,0,0,0,0,2,0,0,.000,12.2,12,1,12,8.53,13,1,1,0,6,5,.255,0.92,1.97,シカゴ・ホワイトソックス
5,47,トゥーキ・トゥーサント,4.97,20,16,0,0,2,4,7,0,0,.364,87,69,10,85,8.79,57,7,3,1,48,48,.223,1.49,1.45,シカゴ・ホワイトソックス
6,48,ヨハン・ラミレス,4.23,31,0,0,0,0,1,0,3,0,1.000,38.1,39,3,35,8.22,17,11,3,0,21,18,.265,2.06,1.46,シカゴ・ホワイトソックス
7,52,マイク・クレビンジャー,3.77,24,24,2,0,10,9,9,0,0,.500,131.1,121,16,110,7.54,40,9,6,0,56,55,.244,2.75,1.23,シカゴ・ホワイトソックス
8,54,ホセ・ウレーニャ,6.45,10,10,0,0,2,0,7,0,0,.000,44.2,50,13,29,5.84,22,1,2,0,37,32,.284,1.32,1.61,シカゴ・ホワイトソックス
9,57,タナー・バンクス,4.43,32,3,0,0,0,1,4,1,1,.200,61,59,10,51,7.52,16,4,1,0,32,30,.254,3.19,1.23,シカゴ・ホワイトソックス
10,58,ジミー・ランバート,5.26,35,1,0,0,0,2,3,3,1,.400,37.2,41,10,41,9.80,20,1,0,0,26,22,.273,2.05,1.62,シカゴ・ホワイトソックス
11,59,デクラン・クローニン,9.00,9,0,0,0,0,0,1,1,0,.000,11,11,3,8,6.55,7,2,0,0,12,11,.262,1.14,1.64,シカゴ・ホワイトソックス
12,60,グレゴリー・サントス,3.39,60,0,0,0,0,2,2,6,5,.500,66.1,69,2,66,8.95,17,5,2,1,29,25,.258,3.88,1.30,シカゴ・ホワイトソックス
13,61,ニコラス・パディリア,5.79,3,0,0,0,0,0,1,0,0,.000,4.2,9,1,6,11.57,1,0,0,0,3,3,.409,6.00,2.14,シカゴ・ホワイトソックス
14,62,ジェシー・ショルテンス,5.29,26,11,0,0,3,1,9,1,1,.100,85,100,15,58,6.14,30,2,1,0,54,50,.292,1.93,1.53,シカゴ・ホワイトソックス
15,63,マット・フォスター,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,シカゴ・ホワイトソックス
16,64,ダイビ・ガルシア,2.40,8,0,0,0,0,0,1,0,1,.000,15,9,2,10,6.00,12,1,0,0,9,4,.173,0.83,1.40,シカゴ・ホワイトソックス
17,65,デービス・マーティン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,シカゴ・ホワイトソックス
18,66,エドガー・ナバーロ,7.27,8,0,0,0,0,0,0,0,0,.000,8.2,11,2,9,9.35,2,2,0,0,7,7,.314,4.50,1.50,シカゴ・ホワイトソックス
19,67,サミー・ペラルタ,4.05,16,0,0,0,0,2,0,0,0,1.000,20,19,2,18,8.10,11,0,0,0,11,9,.241,1.64,1.50,シカゴ・ホワイトソックス
20,68,レーン・ラムジー,5.85,21,0,0,0,0,1,0,3,0,1.000,20,25,1,18,8.10,9,0,3,0,13,13,.313,2.00,1.70,シカゴ・ホワイトソックス
21,77,ルイス・パティノ,4.57,9,1,0,0,0,0,1,0,0,.000,21.2,21,3,18,7.48,14,0,2,0,12,11,.247,1.29,1.62,シカゴ・ホワイトソックス
22,84,ディラン・シース,4.58,33,33,0,0,12,7,9,0,0,.438,177,172,19,214,10.88,79,9,14,0,98,90,.250,2.71,1.42,シカゴ・ホワイトソックス
