,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,21,ハンター・グリーン,4.82,22,22,0,0,7,4,7,0,0,.364,112,111,19,152,12.21,48,8,5,0,65,60,.253,3.17,1.42,シンシナティ・レッズ
1,34,コナー・フィリップス,6.97,5,5,0,0,1,1,1,0,0,.500,20.2,18,5,26,11.32,13,1,2,0,16,16,.220,2.00,1.50,シンシナティ・レッズ
2,39,ルーカス・シムズ,3.10,67,0,0,0,0,7,3,23,3,.700,61,33,5,72,10.62,39,10,3,1,23,21,.163,1.85,1.18,シンシナティ・レッズ
3,40,ニコラス・ロドロ,6.29,7,7,0,0,1,2,1,0,0,.667,34.1,50,10,47,12.32,10,7,2,0,24,24,.340,4.70,1.75,シンシナティ・レッズ
4,41,アンドルー・アボット,3.87,21,21,0,0,9,8,6,0,0,.571,109.1,100,16,120,9.88,44,1,1,1,47,47,.244,2.73,1.32,シンシナティ・レッズ
5,43,アレクシス・ディアス,3.07,71,0,0,0,0,9,6,2,37,.600,67.1,44,4,86,11.50,36,10,3,0,30,23,.186,2.39,1.19,シンシナティ・レッズ
6,46,バック・ファーマー,4.20,71,0,0,0,0,4,5,10,3,.444,75,58,11,70,8.40,29,4,1,0,36,35,.214,2.41,1.16,シンシナティ・レッズ
7,47,デレク・ロー,3.60,54,3,0,0,0,4,6,3,2,.400,55,50,6,45,7.36,26,3,5,0,24,22,.239,1.73,1.38,シンシナティ・レッズ
8,48,アレックス・ヤング,3.86,63,0,0,0,0,4,2,13,1,.667,53.2,53,10,50,8.39,20,1,0,0,27,23,.248,2.50,1.36,シンシナティ・レッズ
9,49,ジャスティン・ダン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,シンシナティ・レッズ
10,50,サム・モール,3.03,70,1,0,0,0,2,3,9,1,.400,62.1,47,2,68,9.82,30,7,4,0,22,21,.206,2.27,1.24,シンシナティ・レッズ
11,51,グレアム・アシュクラフト,4.76,26,26,0,0,15,7,9,0,0,.438,145.2,148,23,111,6.86,52,10,3,1,78,77,.265,2.13,1.37,シンシナティ・レッズ
12,52,リーバー・サンマルティン,7.07,14,0,0,0,0,1,0,1,0,1.000,14,17,2,13,8.36,10,0,2,0,13,11,.288,1.30,1.93,シンシナティ・レッズ
13,53,ウラジーミル・グティエレス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,シンシナティ・レッズ
14,55,ブランドン・ウィリアムソン,4.46,23,23,0,0,7,5,5,0,0,.500,117,111,18,98,7.54,39,2,4,2,63,58,.248,2.51,1.28,シンシナティ・レッズ
15,58,リバイ・スタウト,9.58,4,2,0,0,0,0,1,0,0,.000,10.1,16,1,9,7.84,8,0,0,1,11,11,.348,1.13,2.32,シンシナティ・レッズ
16,59,ベン・ライブリー,5.38,19,12,0,0,2,4,7,0,0,.364,88.2,96,20,79,8.02,25,3,1,0,53,53,.270,3.16,1.36,シンシナティ・レッズ
17,63,フェルナンド・クルス,4.91,58,2,0,0,0,1,2,7,0,.333,66,52,6,98,13.36,28,2,5,0,39,36,.211,3.50,1.21,シンシナティ・レッズ
18,65,ケーシー・レグミナ,5.68,11,0,0,0,0,1,0,1,0,1.000,12.2,16,3,11,7.82,9,0,1,0,11,8,.308,1.22,1.97,シンシナティ・レッズ
19,66,ブレット・ケネディー,6.50,5,2,0,0,0,1,0,0,0,1.000,18,19,1,9,4.50,7,3,0,0,13,13,.275,1.29,1.44,シンシナティ・レッズ
20,68,カーソン・スピアーズ,6.92,4,2,0,0,0,0,1,0,1,.000,13,18,1,12,8.31,7,0,0,0,12,10,.321,1.71,1.92,シンシナティ・レッズ
21,70,テイジェイ・アントン,1.59,5,1,0,0,0,0,0,1,0,.000,5.2,3,0,7,11.12,2,0,0,0,1,1,.158,3.50,0.88,シンシナティ・レッズ
22,71,コナー・オバートン,11.45,3,3,0,0,0,0,1,0,0,.000,11,19,3,9,7.36,7,0,0,0,14,14,.404,1.29,2.36,シンシナティ・レッズ
23,72,リオン・リチャードソン,8.64,4,4,0,0,0,0,2,0,0,.000,16.2,17,6,12,6.48,15,0,0,0,16,16,.258,0.80,1.92,シンシナティ・レッズ
24,77,ダニエル・ドゥアルテ,3.69,31,0,0,0,0,3,0,2,1,1.000,31.2,24,5,23,6.54,20,1,1,0,14,13,.211,1.15,1.39,シンシナティ・レッズ
25,78,アラン・ブセニッツ,2.57,6,0,0,0,0,0,0,0,0,.000,7,8,0,5,6.43,1,0,0,0,2,2,.286,5.00,1.29,シンシナティ・レッズ
26,79,イアン・ギバウト,3.33,74,0,0,0,0,8,4,23,3,.667,75.2,69,8,69,8.21,28,4,0,0,33,28,.245,2.46,1.28,シンシナティ・レッズ
27,22,ルーク・メーリ,16.62,4,0,0,0,0,0,0,0,0,.000,4.1,12,4,0,0.00,0,0,0,0,8,8,.500,0.00,2.77,シンシナティ・レッズ
