,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,24,トリストン・マッケンジー,5.06,4,4,0,0,0,0,3,0,0,.000,16,12,1,16,9.00,13,0,1,0,9,9,.200,1.23,1.56,クリーブランド・ガーディアンズ
1,27,ルーカス・ジオリト,4.88,33,33,0,0,15,8,15,0,0,.348,184.1,169,41,204,9.96,73,9,5,0,110,100,.240,2.79,1.31,クリーブランド・ガーディアンズ
2,29,ティム・ヘリン,5.53,23,0,0,0,0,1,1,1,0,.500,27.2,29,3,32,10.41,12,2,2,0,18,17,.279,2.67,1.48,クリーブランド・ガーディアンズ
3,31,サム・ヘンチズ,3.61,56,0,0,0,0,3,2,17,0,.600,52.1,53,2,56,9.63,18,0,3,0,24,21,.260,3.11,1.36,クリーブランド・ガーディアンズ
4,33,ハンター・ギャディス,4.50,11,7,0,0,2,2,1,0,0,.667,42,41,6,24,5.14,14,4,1,0,21,21,.255,1.71,1.31,クリーブランド・ガーディアンズ
5,36,コディ・モリス,6.75,6,0,0,0,0,0,0,1,0,.000,8,10,3,9,10.13,6,0,0,0,6,6,.313,1.50,2.00,クリーブランド・ガーディアンズ
6,37,トレバー・ステファン,4.06,71,0,0,0,0,7,7,28,2,.500,68.2,63,6,75,9.83,26,5,3,0,35,31,.245,2.88,1.30,クリーブランド・ガーディアンズ
7,40,レイナルド・ロペス,3.27,68,0,0,0,0,3,7,22,6,.300,66,50,8,83,11.32,34,1,4,1,25,24,.207,2.44,1.27,クリーブランド・ガーディアンズ
8,41,ローガン・アレン,3.81,24,24,0,0,7,7,8,0,0,.467,125.1,127,16,119,8.55,48,1,1,0,55,53,.263,2.48,1.40,クリーブランド・ガーディアンズ
9,44,クザビオン・カリー,4.07,41,9,0,0,1,3,4,0,0,.429,95,98,12,67,6.35,30,2,3,2,47,43,.267,2.23,1.35,クリーブランド・ガーディアンズ
10,47,キャル・クワントリル,5.24,19,19,0,0,8,4,7,0,0,.364,99.2,111,11,58,5.24,35,7,6,0,59,58,.279,1.66,1.46,クリーブランド・ガーディアンズ
11,48,エマニュエル・クレース,3.22,75,0,0,0,0,3,9,0,44,.250,72.2,68,4,64,7.93,16,1,5,1,37,26,.242,4.00,1.16,クリーブランド・ガーディアンズ
12,49,エリ・モーガン,4.01,61,0,0,0,0,5,2,8,1,.714,67.1,73,9,75,10.02,24,1,2,1,37,30,.267,3.13,1.44,クリーブランド・ガーディアンズ
13,52,ニック・サンドリン,3.75,61,0,0,0,0,5,5,10,0,.500,60,38,12,66,9.90,24,2,0,0,28,25,.182,2.75,1.03,クリーブランド・ガーディアンズ
14,57,シェーン・ビーバー,3.80,21,21,1,0,12,6,6,0,0,.500,128,124,14,107,7.52,34,3,8,1,56,54,.253,3.15,1.23,クリーブランド・ガーディアンズ
15,58,マイケル・ケリー,3.78,14,0,0,0,0,1,0,0,0,1.000,16.2,13,0,16,8.64,9,0,3,0,8,7,.210,1.78,1.32,クリーブランド・ガーディアンズ
16,61,タナー・ビビー,2.98,25,25,0,0,11,10,4,0,0,.714,142,122,13,141,8.94,45,5,7,2,49,47,.230,3.13,1.18,クリーブランド・ガーディアンズ
17,62,エニエル・デロスサントス,3.29,70,0,0,0,0,5,2,16,0,.714,65.2,50,4,62,8.50,25,4,2,2,26,24,.216,2.48,1.14,クリーブランド・ガーディアンズ
18,63,ギャビン・ウィリアムズ,3.29,16,16,0,0,4,3,5,0,0,.375,82,66,8,81,8.89,37,4,3,0,32,30,.219,2.19,1.26,クリーブランド・ガーディアンズ
19,68,ジョーイ・キャンティロ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,クリーブランド・ガーディアンズ
20,99,ジェームズ・カリンチャク,4.15,44,0,0,0,0,2,5,13,0,.286,39,25,6,52,12.00,28,3,1,1,18,18,.185,1.86,1.36,クリーブランド・ガーディアンズ
21,12,デービッド・フライ,12.60,2,0,0,0,0,0,0,0,0,.000,5,10,3,0,0.00,1,0,0,0,7,7,.400,0.00,2.20,クリーブランド・ガーディアンズ
