,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,31,ケンドール・グレーブマン,3.12,68,0,0,0,0,5,6,13,8,.455,66.1,51,9,66,8.95,36,5,3,1,27,23,.214,1.83,1.31,ヒューストン・アストロズ
1,35,ジャスティン・バーランダー,3.22,27,27,0,0,14,13,8,0,0,.619,162.1,139,18,144,7.98,45,5,5,0,63,58,.226,3.20,1.13,ヒューストン・アストロズ
2,43,ランス・マクラーズ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ヒューストン・アストロズ
3,45,ライン・スタニク,4.09,55,0,0,0,0,3,1,3,0,.750,50.2,42,8,51,9.06,21,1,2,1,24,23,.221,2.43,1.24,ヒューストン・アストロズ
4,47,ラファエル・モンテロ,5.08,68,0,0,0,0,3,3,10,1,.500,67.1,74,11,79,10.56,29,3,0,0,40,38,.279,2.72,1.53,ヒューストン・アストロズ
5,48,エノリ・パレデス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ヒューストン・アストロズ
6,50,エクトル・ネリス,1.71,71,0,0,0,0,6,3,31,2,.667,68.1,41,7,77,10.14,31,3,3,0,16,13,.174,2.48,1.05,ヒューストン・アストロズ
7,52,ブライアン・アブレイユ,1.75,72,0,0,0,0,3,2,24,5,.600,72,44,6,100,12.50,31,3,1,0,17,14,.177,3.23,1.04,ヒューストン・アストロズ
8,53,クリスチャン・ハビエル,4.56,31,31,0,0,11,10,5,0,0,.667,162,143,25,159,8.83,62,7,4,0,85,82,.234,2.56,1.27,ヒューストン・アストロズ
9,55,ライアン・プレスリー,3.58,65,0,0,0,0,4,5,0,31,.444,65.1,54,8,74,10.19,16,1,2,0,33,26,.220,4.63,1.07,ヒューストン・アストロズ
10,56,ロネル・ブランコ,4.50,17,7,0,0,3,2,1,0,0,.667,52,49,12,52,9.00,28,2,2,0,29,26,.251,1.86,1.48,ヒューストン・アストロズ
11,58,ハンター・ブラウン,5.09,31,29,0,0,11,11,13,0,0,.458,155.2,157,26,178,10.29,55,9,4,0,94,88,.262,3.24,1.36,ヒューストン・アストロズ
12,59,フラムバー・バルデス,3.45,31,31,2,2,20,12,11,0,0,.522,198,166,19,200,9.09,57,10,6,0,86,76,.228,3.51,1.13,ヒューストン・アストロズ
13,60,チャールズ・ウィットリー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ヒューストン・アストロズ
14,60,ジョエル・クーネル,5.54,9,0,0,0,0,0,0,0,0,.000,13,16,2,3,2.08,5,1,0,0,8,8,.308,0.60,1.62,ヒューストン・アストロズ
15,61,セス・マルティネス,5.23,35,0,0,0,0,2,3,2,1,.400,43,45,5,45,9.42,19,6,0,0,29,25,.265,2.37,1.49,ヒューストン・アストロズ
16,62,ベネット・ソウザ,4.00,7,0,0,0,0,0,0,0,0,.000,9,6,1,10,10.00,2,0,0,0,4,4,.188,5.00,0.89,ヒューストン・アストロズ
17,64,ブランドン・ビーラク,3.83,15,13,0,0,2,5,6,0,0,.455,80,86,12,62,6.98,36,5,3,0,43,34,.277,1.72,1.53,ヒューストン・アストロズ
18,65,ホセ・ウルキーディ,5.29,16,10,0,0,2,3,3,0,1,.500,63,65,11,45,6.43,25,2,0,1,37,37,.263,1.80,1.43,ヒューストン・アストロズ
19,66,ショーン・ダビン,7.00,3,1,0,0,0,0,0,0,0,.000,9,12,1,11,11.00,3,1,0,0,7,7,.324,3.67,1.67,ヒューストン・アストロズ
20,67,パーカー・ムシンスキ,5.52,14,0,0,0,0,0,0,1,0,.000,14.2,19,5,15,9.20,4,4,0,0,9,9,.311,3.75,1.57,ヒューストン・アストロズ
21,68,J．P．フランス,3.83,24,23,0,0,13,11,6,0,0,.647,136.1,138,19,101,6.67,47,2,6,0,64,58,.263,2.15,1.36,ヒューストン・アストロズ
22,77,ルイス・ガルシア,4.00,6,6,0,0,2,2,2,0,0,.500,27,25,3,31,10.33,10,1,0,1,12,12,.243,3.10,1.30,ヒューストン・アストロズ
23,88,フィル・メイトン,3.00,68,0,0,0,0,4,3,10,1,.571,66,49,6,74,10.09,25,9,1,0,27,22,.207,2.96,1.12,ヒューストン・アストロズ
24,91,マシュー・ゲージ,2.70,5,0,0,0,0,0,0,0,0,.000,6.2,6,1,8,10.80,3,0,0,1,2,2,.261,2.67,1.35,ヒューストン・アストロズ
25,15,マーティン・マルドナド,36.00,1,0,0,0,0,0,0,0,0,.000,1,5,1,0,0.00,1,1,0,0,4,4,.714,0.00,6.00,ヒューストン・アストロズ
