,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,23,ザック・グリンキー,5.06,30,27,0,0,2,2,15,0,0,.118,142.1,158,25,97,6.13,23,4,2,1,82,80,.282,4.22,1.27,カンザスシティ・ロイヤルズ
1,24,ジョーダン・ライルス,6.28,31,31,3,0,4,6,17,0,0,.261,177.2,176,39,120,6.08,45,6,10,0,130,124,.255,2.67,1.24,カンザスシティ・ロイヤルズ
2,37,ジャクソン・コーワー,6.43,23,0,0,0,0,2,0,0,0,1.000,28,34,4,29,9.32,20,1,5,0,24,20,.293,1.45,1.93,カンザスシティ・ロイヤルズ
3,38,ジョシュ・テーラー,8.15,17,1,0,0,0,1,3,0,0,.250,17.2,22,4,26,13.25,9,0,1,1,17,16,.306,2.89,1.75,カンザスシティ・ロイヤルズ
4,40,コリン・スナイダー,4.87,20,1,0,0,0,0,0,3,1,.000,20.1,24,3,11,4.87,13,0,0,0,12,11,.296,0.85,1.82,カンザスシティ・ロイヤルズ
5,41,タッカー・デービッドソン,5.96,38,1,0,0,0,1,2,2,2,.333,51.1,64,6,46,8.06,19,3,4,0,37,34,.306,2.42,1.62,カンザスシティ・ロイヤルズ
6,43,カルロス・ヘルナンデス,5.27,67,4,0,0,0,1,10,17,4,.091,70,62,10,77,9.90,31,1,5,2,43,41,.233,2.48,1.33,カンザスシティ・ロイヤルズ
7,45,テイラー・クラーク,5.95,58,2,0,0,0,3,6,12,3,.333,59,71,12,65,9.92,24,3,3,0,42,39,.303,2.71,1.61,カンザスシティ・ロイヤルズ
8,49,ジョナサン・ヒースリー,7.20,12,0,0,0,0,0,0,1,0,.000,15,17,5,9,5.40,2,1,1,0,13,12,.288,4.50,1.27,カンザスシティ・ロイヤルズ
9,50,クリス・ブビク,3.94,3,3,0,0,1,0,2,0,0,.000,16,19,1,16,9.00,2,1,1,0,7,7,.292,8.00,1.31,カンザスシティ・ロイヤルズ
10,51,ブラディ・シンガー,5.52,29,29,0,0,9,8,11,0,0,.421,159.2,182,20,133,7.50,49,8,3,0,102,98,.287,2.71,1.45,カンザスシティ・ロイヤルズ
11,52,ダニエル・リンチ,4.64,9,9,0,0,4,3,4,0,0,.429,52.1,50,9,34,5.85,16,1,1,1,29,27,.245,2.13,1.26,カンザスシティ・ロイヤルズ
