,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,17,大谷翔平,3.14,23,23,1,1,12,10,5,0,0,.667,132,85,18,167,11.39,55,11,12,0,50,46,.184,3.04,1.06,ロサンゼルス・エンゼルス
1,28,アーロン・ループ,6.10,55,0,0,0,0,2,3,9,1,.400,48.2,65,6,45,8.32,20,2,2,1,37,33,.313,2.25,1.75,ロサンゼルス・エンゼルス
2,31,タイラー・アンダーソン,5.43,27,25,0,0,7,6,6,0,0,.500,141,146,20,119,7.60,64,7,6,2,90,85,.266,1.86,1.49,ロサンゼルス・エンゼルス
3,40,サム・バックマン,3.18,11,0,0,0,0,1,2,2,1,.333,17,17,0,14,7.41,11,1,3,0,7,6,.262,1.27,1.65,ロサンゼルス・エンゼルス
4,41,カーソン・フルマー,2.70,3,1,0,0,0,1,1,0,0,.500,10,6,1,6,5.40,4,1,1,1,3,3,.176,1.50,1.00,ロサンゼルス・エンゼルス
5,43,パトリック・サンドバル,4.11,28,28,0,0,8,7,13,0,0,.350,144.2,145,12,128,7.96,74,4,5,0,89,66,.256,1.73,1.51,ロサンゼルス・エンゼルス
6,44,ベン・ジョイス,5.40,12,0,0,0,0,1,1,4,0,.500,10,9,1,10,9.00,9,1,1,0,6,6,.243,1.11,1.80,ロサンゼルス・エンゼルス
7,46,ジミー・ハーゲット,4.66,29,1,0,0,0,2,4,6,0,.333,29,33,7,26,8.07,8,2,0,0,15,15,.282,3.25,1.41,ロサンゼルス・エンゼルス
8,47,グリフィン・キャニング,4.32,24,22,0,0,8,7,8,0,0,.467,127,121,22,139,9.85,36,5,4,0,62,61,.245,3.86,1.24,ロサンゼルス・エンゼルス
9,48,リード・デトマーズ,4.48,28,28,0,0,9,4,10,0,0,.286,148.2,141,19,168,10.17,60,13,7,0,81,74,.248,2.80,1.35,ロサンゼルス・エンゼルス
10,51,ハイメ・バリア,5.68,34,6,0,0,0,2,6,2,0,.250,82.1,91,20,62,6.78,30,2,4,1,63,52,.277,2.07,1.47,ロサンゼルス・エンゼルス
11,53,カルロス・エステベス,3.90,63,0,0,0,0,5,5,2,31,.500,62.1,62,7,78,11.26,31,5,1,0,34,27,.254,2.52,1.49,ロサンゼルス・エンゼルス
12,54,ホセ・スアレス,8.29,11,7,0,0,0,1,3,2,0,.250,33.2,46,10,28,7.49,20,1,2,0,32,31,.324,1.40,1.96,ロサンゼルス・エンゼルス
13,58,デービス・ダニエル,2.19,3,0,0,0,0,1,1,0,0,.500,12.1,7,1,9,6.57,9,0,1,0,3,3,.167,1.00,1.30,ロサンゼルス・エンゼルス
14,58,ビクトル・メデロス,9.00,3,0,0,0,0,0,0,0,0,.000,3,5,0,3,9.00,3,1,0,0,3,3,.417,1.00,2.67,ロサンゼルス・エンゼルス
15,59,ホセ・ソリアーノ,3.64,38,0,0,0,0,1,3,15,0,.250,42,33,4,56,12.00,23,7,2,1,22,17,.214,2.43,1.33,ロサンゼルス・エンゼルス
16,60,アンドルー・ワンツ,3.89,27,3,0,0,0,2,0,4,0,1.000,39.1,28,4,33,7.55,15,1,0,0,18,17,.197,2.20,1.09,ロサンゼルス・エンゼルス
17,61,オースティン・ウォーレン,5.40,2,0,0,0,0,1,0,0,0,1.000,1.2,2,1,2,10.80,0,0,0,0,1,1,.333,0.00,1.20,ロサンゼルス・エンゼルス
18,63,チェース・シルセス,3.96,16,8,0,0,1,4,1,1,0,.800,52.1,41,9,56,9.63,26,2,5,1,26,23,.212,2.15,1.28,ロサンゼルス・エンゼルス
19,65,ホセ・キハダ,6.00,10,0,0,0,0,0,1,5,4,.000,9,8,0,8,8.00,3,2,0,0,7,6,.222,2.67,1.22,ロサンゼルス・エンゼルス
20,66,コールトン・イングラム,8.44,5,0,0,0,0,0,0,0,0,.000,5.1,8,2,7,11.81,5,0,0,0,7,5,.333,1.40,2.44,ロサンゼルス・エンゼルス
21,68,ホセ・マルテ,8.68,10,0,0,0,0,0,0,1,0,.000,9.1,14,3,7,6.75,7,0,1,0,10,9,.359,1.00,2.25,ロサンゼルス・エンゼルス
22,71,ケルビン・カセレス,6.75,2,0,0,0,0,0,0,0,0,.000,1.1,2,0,1,6.75,2,0,1,0,1,1,.400,0.50,3.00,ロサンゼルス・エンゼルス
23,73,クリス・ロドリゲス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ロサンゼルス・エンゼルス
24,74,ジョナサン・ディアス,10.29,4,1,0,0,0,0,0,0,0,.000,7,13,0,4,5.14,7,2,0,0,11,8,.419,0.57,2.86,ロサンゼルス・エンゼルス
25,78,ケニー・ローゼンバーグ,3.82,7,3,0,0,1,2,2,0,0,.500,33,35,3,29,7.91,14,1,0,1,14,14,.267,2.07,1.48,ロサンゼルス・エンゼルス
26,5,エデュアルド・エスコバル,2.45,3,0,0,0,0,0,0,0,0,.000,3.2,2,0,0,0.00,1,1,0,0,2,1,.154,0.00,0.82,ロサンゼルス・エンゼルス
27,4,ブレット・フィリップス,0.00,1,0,0,0,0,0,0,0,0,.000,0.1,1,0,0,0.00,1,0,0,0,0,0,.500,0.00,6.00,ロサンゼルス・エンゼルス
