,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,17,ジョー・ケリー,4.12,42,0,0,0,0,2,5,13,1,.286,39.1,29,3,60,13.73,18,2,6,2,22,18,.196,3.33,1.19,ロサンゼルス・ドジャース
1,18,シェルビー・ミラー,1.71,36,1,0,0,0,3,0,3,1,1.000,42,19,3,42,9.00,19,2,1,0,8,8,.135,2.21,0.90,ロサンゼルス・ドジャース
2,21,ウォーカー・ビューラー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ロサンゼルス・ドジャース
3,22,クレイトン・カーショー,2.46,24,24,0,0,11,13,5,0,0,.722,131.2,100,19,137,9.36,40,3,6,2,39,36,.209,3.43,1.06,ロサンゼルス・ドジャース
4,26,トニー・ゴンソリン,4.98,20,20,0,0,4,8,5,0,0,.615,103,86,19,82,7.17,40,7,2,0,61,57,.226,2.05,1.22,ロサンゼルス・ドジャース
5,27,アレックス・レイエス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ロサンゼルス・ドジャース
6,35,ランス・リン,5.73,32,32,0,0,13,13,11,0,0,.542,183.2,189,44,191,9.36,67,9,3,0,127,117,.259,2.85,1.39,ロサンゼルス・ドジャース
7,38,エンシー・アルモンテ,5.06,49,0,0,0,0,3,2,10,0,.600,48,43,6,49,9.19,24,4,3,0,30,27,.239,2.04,1.40,ロサンゼルス・ドジャース
8,40,ジミー・ネルソン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ロサンゼルス・ドジャース
9,41,ダニエル・ハドソン,0.00,3,0,0,0,0,0,0,1,1,.000,3,2,0,5,15.00,3,0,0,0,0,0,.182,1.67,1.67,ロサンゼルス・ドジャース
10,45,J．P．フェヤレイセン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ロサンゼルス・ドジャース
11,46,ワンダー・スエロ,7.88,5,0,0,0,0,1,0,0,0,1.000,8,6,2,9,10.13,5,0,0,0,7,7,.200,1.80,1.38,ロサンゼルス・ドジャース
12,47,ライアン・ペピオット,2.14,8,3,0,0,1,2,1,2,0,.667,42,27,7,38,8.14,5,3,0,0,10,10,.179,7.60,0.76,ロサンゼルス・ドジャース
13,48,ブラスダー・グラテオル,1.20,68,1,0,0,0,4,2,19,7,.667,67.1,53,3,48,6.42,12,2,2,0,14,9,.221,4.00,0.97,ロサンゼルス・ドジャース
14,49,ブレーク・トライネン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ロサンゼルス・ドジャース
15,51,アレックス・ベシア,4.35,56,1,0,0,0,2,5,10,1,.286,49.2,52,7,64,11.60,17,2,2,0,27,24,.263,3.76,1.39,ロサンゼルス・ドジャース
16,56,ライアン・ヤーブロー,4.52,25,9,0,0,3,8,7,1,2,.533,89.2,96,13,67,6.72,14,8,1,0,45,45,.271,4.79,1.23,ロサンゼルス・ドジャース
17,57,ライアン・ブレイシア,3.02,59,0,0,0,0,3,0,11,2,1.000,59.2,42,3,56,8.45,19,3,3,0,24,20,.197,2.95,1.02,ロサンゼルス・ドジャース
18,58,ガス・バーランド,6.64,16,0,0,0,0,1,1,1,0,.500,20.1,27,3,20,8.85,16,1,2,0,18,15,.318,1.25,2.11,ロサンゼルス・ドジャース
19,59,エバン・フィリップス,2.05,62,0,0,0,0,2,4,6,24,.333,61.1,38,6,66,9.68,13,3,1,0,19,14,.177,5.08,0.83,ロサンゼルス・ドジャース
20,62,タイラー・シア,0.00,2,0,0,0,0,0,0,0,0,.000,1.2,1,0,2,10.80,0,0,0,0,0,0,.167,0.00,0.60,ロサンゼルス・ドジャース
21,63,カイル・ハート,0.00,1,0,0,0,0,0,0,0,0,.000,2,0,0,3,13.50,0,0,0,0,0,0,.000,0.00,0.00,ロサンゼルス・ドジャース
22,64,ケーレブ・ファーガソン,3.43,68,7,0,0,0,7,4,18,3,.636,60.1,64,4,70,10.44,23,8,3,0,30,23,.269,3.04,1.44,ロサンゼルス・ドジャース
23,70,ボビー・ミラー,3.76,22,22,0,0,9,11,4,0,0,.733,124.1,105,12,119,8.61,32,6,10,0,53,52,.226,3.72,1.10,ロサンゼルス・ドジャース
24,71,ギャビン・ストーン,9.00,8,4,0,0,0,1,1,0,1,.500,31,46,8,22,6.39,13,2,0,0,32,31,.338,1.69,1.90,ロサンゼルス・ドジャース
25,78,マイケル・グローブ,6.13,18,12,0,0,0,2,3,1,0,.400,69,83,12,73,9.52,19,3,3,0,47,47,.296,3.84,1.48,ロサンゼルス・ドジャース
26,80,エメット・シーハン,4.92,13,11,0,0,3,4,1,0,1,.800,60.1,46,11,64,9.55,26,1,1,0,33,33,.210,2.46,1.19,ロサンゼルス・ドジャース
27,81,ビクトル・ゴンザレス,4.01,34,1,0,0,0,3,3,4,0,.500,33.2,27,2,30,8.02,10,3,1,0,15,15,.223,3.00,1.10,ロサンゼルス・ドジャース
