,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,20,ウェード・マイリー,3.14,23,23,0,0,9,9,4,0,0,.692,120.1,99,16,79,5.91,38,3,2,0,44,42,.223,2.08,1.14,ミルウォーキー・ブリュワーズ
1,26,アーロン・アシュビー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ミルウォーキー・ブリュワーズ
2,29,トレバー・メギル,3.63,31,2,0,0,0,1,0,4,0,1.000,34.2,35,2,52,13.50,12,1,2,0,14,14,.265,4.33,1.36,ミルウォーキー・ブリュワーズ
3,31,ジョエル・パヤンプス,2.55,69,0,0,0,0,7,5,27,3,.583,70.2,57,8,77,9.81,17,5,2,2,24,20,.219,4.53,1.05,ミルウォーキー・ブリュワーズ
4,32,アンドルー・チェフィン,4.73,63,0,0,0,0,3,4,14,8,.429,51.1,45,6,63,11.05,28,1,2,0,30,27,.231,2.25,1.42,ミルウォーキー・ブリュワーズ
5,35,ジャスティン・ウィルソン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ミルウォーキー・ブリュワーズ
6,37,エイドリアン・ハウザー,4.12,23,21,0,0,6,8,5,0,0,.615,111.1,121,13,96,7.76,34,1,2,0,56,51,.273,2.82,1.39,ミルウォーキー・ブリュワーズ
7,38,デビン・ウィリアムズ,1.53,61,0,0,0,0,8,3,0,36,.727,58.2,26,4,87,13.35,28,1,1,0,13,10,.129,3.11,0.92,ミルウォーキー・ブリュワーズ
8,39,コービン・バーンズ,3.39,32,32,0,0,19,10,8,0,0,.556,193.2,141,22,200,9.29,66,8,10,1,77,73,.200,3.03,1.07,ミルウォーキー・ブリュワーズ
9,43,イーサン・スモール,11.25,2,0,0,0,0,0,0,0,1,.000,4,9,1,6,13.50,2,0,1,0,5,5,.429,3.00,2.75,ミルウォーキー・ブリュワーズ
10,45,アブナー・ウリーベ,1.76,32,0,0,0,0,1,0,8,1,1.000,30.2,16,0,39,11.45,20,1,6,1,8,6,.154,1.95,1.17,ミルウォーキー・ブリュワーズ
11,46,ブライス・ウィルソン,2.58,53,0,0,0,0,6,0,5,3,1.000,76.2,60,9,61,7.16,22,2,6,0,26,22,.211,2.77,1.07,ミルウォーキー・ブリュワーズ
12,47,クレートン・アンドルーズ,27.00,4,0,0,0,0,0,1,1,0,.000,3.1,10,3,4,10.80,2,0,1,0,11,10,.500,2.00,3.60,ミルウォーキー・ブリュワーズ
13,48,コリン・レイ,4.55,26,22,0,0,4,6,6,0,0,.500,124.2,110,23,110,7.94,38,4,2,1,65,63,.235,2.89,1.19,ミルウォーキー・ブリュワーズ
14,50,Ｊ．Ｂ．ブカウスカス,1.29,6,0,0,0,0,0,0,0,0,.000,7,6,0,7,9.00,3,1,1,0,2,1,.231,2.33,1.29,ミルウォーキー・ブリュワーズ
15,51,フレディ・ペラルタ,3.86,30,30,0,0,16,12,10,0,0,.545,165.2,131,26,210,11.41,54,6,6,1,77,71,.212,3.89,1.12,ミルウォーキー・ブリュワーズ
16,52,エリク・ラウアー,6.56,10,9,0,0,2,4,6,0,0,.400,46.2,54,16,43,8.29,24,0,0,0,39,34,.292,1.79,1.67,ミルウォーキー・ブリュワーズ
17,53,ブランドン・ウッドラフ,2.28,11,11,1,1,7,5,1,0,0,.833,67,40,9,74,9.94,15,3,0,0,17,17,.172,4.93,0.82,ミルウォーキー・ブリュワーズ
18,54,チアゴ・ビエイラ,0.00,2,0,0,0,0,0,1,0,0,.000,3,0,0,2,6.00,1,0,0,0,1,0,.000,2.00,0.33,ミルウォーキー・ブリュワーズ
19,55,ホビー・ミルナー,1.82,73,0,0,0,0,2,1,17,0,.667,64.1,49,5,59,8.25,13,2,1,0,16,13,.209,4.54,0.96,ミルウォーキー・ブリュワーズ
20,56,ジェーソン・ジャンク,4.91,2,1,0,0,0,0,1,0,0,.000,7.1,8,1,5,6.14,2,0,0,0,5,4,.267,2.50,1.36,ミルウォーキー・ブリュワーズ
21,57,ケーレブ・ブーシュリー,3.86,1,0,0,0,0,1,0,0,0,1.000,2.1,1,1,5,19.29,2,0,1,0,1,1,.125,2.50,1.29,ミルウォーキー・ブリュワーズ
22,59,エルビス・ペゲロ,3.38,59,0,0,0,0,4,5,21,1,.444,61.1,49,4,54,7.92,26,4,1,0,25,23,.222,2.08,1.22,ミルウォーキー・ブリュワーズ
23,3,ジョシュ・ドナルドソン,0.00,1,0,0,0,0,0,0,0,0,.000,1,0,0,0,0.00,0,0,0,0,0,0,.000,0.00,0.00,ミルウォーキー・ブリュワーズ
24,11,ロウディ・テレス,0.00,1,0,0,0,0,0,0,0,0,.000,1,1,0,1,9.00,0,0,0,0,0,0,.250,0.00,1.00,ミルウォーキー・ブリュワーズ
