,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,15,エミリオ・パガン,2.99,66,1,0,0,0,5,2,8,1,.714,69.1,45,5,65,8.44,21,1,2,0,26,23,.181,3.10,0.95,ミネソタ・ツインズ
1,17,ジョン・オバー,3.43,26,26,0,0,12,8,6,0,0,.571,144.1,125,22,146,9.10,29,7,1,0,58,55,.232,5.03,1.07,ミネソタ・ツインズ
2,18,前田健太,4.23,21,20,0,0,6,6,8,0,0,.429,104.1,94,17,117,10.09,28,3,2,0,50,49,.239,4.18,1.17,ミネソタ・ツインズ
3,20,クリス・パダック,5.40,2,0,0,0,0,1,0,0,0,1.000,5,6,1,8,14.40,1,0,1,0,3,3,.286,8.00,1.40,ミネソタ・ツインズ
4,22,グリフィン・ジャックス,3.86,71,0,0,0,0,6,10,23,4,.375,65.1,58,5,68,9.37,19,4,1,0,30,28,.232,3.58,1.18,ミネソタ・ツインズ
5,31,ロニー・エンリケス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ミネソタ・ツインズ
6,37,ルイ・バーランド,4.63,17,10,0,0,5,4,3,2,0,.571,68,66,16,71,9.40,17,1,2,0,35,35,.252,4.18,1.22,ミネソタ・ツインズ
7,41,ジョー・ライアン,4.51,29,29,1,1,14,11,10,0,0,.524,161.2,155,32,197,10.97,34,6,3,0,83,81,.248,5.79,1.17,ミネソタ・ツインズ
8,49,パブロ・ロペス,3.66,32,32,1,1,20,11,8,0,0,.579,194,176,24,234,10.86,48,9,7,0,81,79,.238,4.88,1.15,ミネソタ・ツインズ
9,51,タイラー・マーレ,3.16,5,5,0,0,1,1,2,0,0,.333,25.2,22,5,28,9.82,5,0,0,0,11,9,.227,5.60,1.05,ミネソタ・ツインズ
10,53,ブレント・ヘッドリック,6.31,14,0,0,0,0,3,0,0,1,1.000,25.2,27,7,30,10.52,10,4,1,0,18,18,.267,3.00,1.44,ミネソタ・ツインズ
11,54,ソニー・グレイ,2.79,32,32,0,0,17,8,8,0,0,.500,184,156,8,183,8.95,55,6,6,1,59,57,.226,3.33,1.15,ミネソタ・ツインズ
12,55,コディ・ファンダーバーク,0.75,11,0,0,0,0,2,0,2,0,1.000,12,6,1,19,14.25,5,1,0,0,1,1,.146,3.80,0.92,ミネソタ・ツインズ
13,56,カレブ・シルバー,3.23,36,0,0,0,0,3,1,14,0,.750,30.2,23,7,36,10.57,6,0,1,0,12,11,.204,6.00,0.95,ミネソタ・ツインズ
14,59,ジョアン・デュラン,2.45,59,0,0,0,0,3,6,1,27,.333,62.1,46,6,84,12.13,25,4,8,0,25,17,.207,3.36,1.14,ミネソタ・ツインズ
15,60,ダラス・カイケル,5.97,10,6,0,0,1,2,1,0,0,.667,37.2,45,3,25,5.97,18,2,2,0,25,25,.298,1.39,1.67,ミネソタ・ツインズ
16,61,ブロック・スチュワート,0.65,28,0,0,0,0,2,0,8,1,1.000,27.2,19,1,39,12.69,11,1,1,0,2,2,.196,3.55,1.08,ミネソタ・ツインズ
17,62,オリバー・オルテガ,4.30,10,0,0,0,0,0,1,1,0,.000,14.2,11,2,14,8.59,7,1,1,0,7,7,.204,2.00,1.23,ミネソタ・ツインズ
18,66,ホルヘ・アルカラ,6.23,11,0,0,0,0,0,1,2,0,.000,17.1,14,5,16,8.31,10,1,0,0,13,12,.222,1.60,1.38,ミネソタ・ツインズ
19,71,ジョバニ・モラン,5.31,43,0,0,0,0,2,2,9,0,.500,42.1,35,3,48,10.20,27,0,2,0,27,25,.226,1.78,1.46,ミネソタ・ツインズ
20,74,ジョシュ・ウィンダー,4.15,19,0,0,0,0,2,1,1,1,.667,34.2,35,3,28,7.27,14,0,1,0,16,16,.267,2.00,1.41,ミネソタ・ツインズ
21,77,ブライソン・サンズ,3.74,15,0,0,0,0,0,0,0,0,.000,21.2,20,4,21,8.72,13,0,3,0,10,9,.235,1.62,1.52,ミネソタ・ツインズ
22,78,シメオン・ウッズリチャードソン,9.64,1,0,0,0,0,0,0,0,0,.000,4.2,7,1,5,9.64,3,0,0,0,5,5,.350,1.67,2.14,ミネソタ・ツインズ
23,81,ジョーダン・バラゾビック,4.44,18,0,0,0,0,1,0,2,0,1.000,24.1,26,5,17,6.29,12,0,3,0,13,12,.274,1.42,1.56,ミネソタ・ツインズ
24,83,マット・キャンテリノ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ミネソタ・ツインズ
25,87,ホセ・デレオン,4.67,12,1,0,0,0,0,1,0,0,.000,17.1,16,2,17,8.83,5,1,0,0,10,9,.250,3.40,1.21,ミネソタ・ツインズ
26,50,ウィリ・カストロ,11.57,3,0,0,0,0,0,0,0,0,.000,2.1,3,0,0,0.00,2,0,0,0,3,3,.375,0.00,2.14,ミネソタ・ツインズ
27,16,ジョーダン・ルプロー,13.50,2,0,0,0,0,0,1,0,0,.000,1.1,1,1,0,0.00,0,1,1,0,3,2,.200,0.00,0.75,ミネソタ・ツインズ
