,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,0,アダム・オッタビノ,3.21,66,0,0,0,0,1,7,12,12,.125,61.2,46,7,62,9.05,29,8,5,3,24,22,.208,2.14,1.22,ニューヨーク・メッツ
1,23,デービッド・ピーターソン,5.03,27,21,1,0,4,3,8,1,0,.273,111,124,16,128,10.38,50,6,6,0,64,62,.287,2.56,1.57,ニューヨーク・メッツ
2,25,ブルックス・レイリー,2.80,66,0,0,0,0,1,2,25,3,.333,54.2,44,4,61,10.04,25,6,0,0,19,17,.217,2.44,1.26,ニューヨーク・メッツ
3,33,トレバー・ゴット,4.19,64,0,0,0,0,0,5,10,1,.000,58,63,4,62,9.62,19,4,0,0,34,27,.267,3.26,1.41,ニューヨーク・メッツ
4,34,千賀滉大,2.98,29,29,0,0,16,12,7,0,0,.632,166.1,126,17,202,10.93,77,5,14,1,60,55,.208,2.62,1.22,ニューヨーク・メッツ
5,38,タイラー・メギル,4.70,25,25,0,0,6,9,8,0,0,.529,126.1,141,18,105,7.48,58,6,8,0,76,66,.282,1.81,1.58,ニューヨーク・メッツ
6,39,エドウィン・ディアス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ニューヨーク・メッツ
7,40,ドルー・スミス,4.15,62,0,0,0,0,4,6,12,3,.400,56.1,50,7,60,9.59,29,5,2,0,31,26,.240,2.07,1.40,ニューヨーク・メッツ
8,43,ジェフ・ブリガム,5.26,37,0,0,0,0,1,3,6,0,.250,37.2,26,9,42,10.04,18,5,0,0,23,22,.191,2.33,1.17,ニューヨーク・メッツ
9,45,サム・クーンロッド,9.45,10,0,0,0,0,0,0,1,0,.000,6.2,5,0,6,8.10,8,2,1,0,7,7,.208,0.75,1.95,ニューヨーク・メッツ
10,46,ジョン・カーティス,4.58,15,0,0,0,0,0,0,2,0,.000,19.2,17,3,16,7.32,8,0,0,0,10,10,.236,2.00,1.27,ニューヨーク・メッツ
11,47,ジョーイ・ルケーシー,2.89,9,9,0,0,3,4,0,0,0,1.000,46.2,44,4,32,6.17,17,2,1,1,17,15,.251,1.88,1.31,ニューヨーク・メッツ
12,50,フィリップ・ビックフォード,4.95,61,0,0,0,0,5,5,4,1,.500,67.1,59,8,76,10.16,39,4,4,1,41,37,.230,1.95,1.46,ニューヨーク・メッツ
13,57,エリーザ・エルナンデス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ニューヨーク・メッツ
14,59,カルロス・カラスコ,6.80,20,20,0,0,3,3,8,0,0,.273,90,115,18,66,6.60,38,6,3,1,71,68,.310,1.74,1.70,ニューヨーク・メッツ
15,60,ペイトン・バッテンフィールド,5.19,7,6,0,0,2,0,5,0,0,.000,34.2,34,7,27,7.01,12,0,1,0,22,20,.256,2.25,1.33,ニューヨーク・メッツ
16,62,ホセ・キンタナ,3.57,13,13,0,0,8,3,6,0,0,.333,75.2,75,5,60,7.14,24,1,2,0,33,30,.260,2.50,1.31,ニューヨーク・メッツ
17,63,ブライス・モンテス・デ・オカ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ニューヨーク・メッツ
18,64,アンソニー・ケイ,6.60,17,0,0,0,0,0,0,0,0,.000,15,15,2,11,6.60,9,2,2,0,11,11,.263,1.22,1.60,ニューヨーク・メッツ
19,68,ビニー・ニットーリ,2.45,3,0,0,0,0,0,0,0,0,.000,3.2,4,0,3,7.36,0,1,0,1,1,1,.286,0.00,1.09,ニューヨーク・メッツ
20,70,ホセ・ブット,3.64,9,7,0,0,3,1,4,0,0,.200,42,33,3,38,8.14,23,0,0,0,17,17,.212,1.65,1.33,ニューヨーク・メッツ
21,71,ショーン・リードフォーリー,3.52,8,0,0,0,0,0,1,3,0,.000,7.2,4,0,16,18.78,6,0,0,0,3,3,.148,2.67,1.30,ニューヨーク・メッツ
22,72,デニー・レイエス,7.78,9,3,0,0,0,0,2,1,0,.000,19.2,25,3,17,7.78,8,1,0,0,17,17,.309,2.13,1.68,ニューヨーク・メッツ
23,75,リード・ギャレット,6.41,12,0,0,0,0,1,0,0,0,1.000,19.2,23,3,16,7.32,7,1,0,0,14,14,.291,2.29,1.53,ニューヨーク・メッツ
24,91,ジョシュ・ウォーカー,8.10,14,0,0,0,0,0,1,1,0,.000,10,12,2,12,10.80,6,0,1,1,11,9,.286,2.00,1.80,ニューヨーク・メッツ
25,93,グラント・ハートウィグ,5.05,28,0,0,0,0,4,2,2,0,.667,35.2,35,3,31,7.82,15,6,2,0,24,20,.254,2.07,1.40,ニューヨーク・メッツ
26,13,ルイス・ギローメ,0.00,1,0,0,0,0,0,0,0,0,.000,1,1,0,0,0.00,0,0,0,0,0,0,.250,0.00,1.00,ニューヨーク・メッツ
27,15,ダニー・メンディック,36.00,2,0,0,0,0,0,0,0,0,.000,2,9,2,0,0.00,0,0,0,0,8,8,.600,0.00,4.50,ニューヨーク・メッツ
