,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,29,ザック・マカリスター,10.13,7,0,0,0,0,0,0,2,0,.000,5.1,9,2,5,8.44,2,1,0,0,7,6,.346,2.50,2.06,ニューヨーク・ヤンキース
1,30,ルーク・ウィーバー,6.40,29,25,0,0,2,3,6,0,0,.333,123.2,155,29,109,7.93,40,4,3,0,90,88,.301,2.73,1.58,ニューヨーク・ヤンキース
2,34,マイケル・キング,2.75,49,9,0,0,2,4,8,8,6,.333,104.2,88,10,127,10.92,32,5,2,1,35,32,.226,3.97,1.15,ニューヨーク・ヤンキース
3,35,クレイ・ホームズ,2.86,66,0,0,0,0,4,4,5,24,.500,63,51,2,71,10.14,23,3,5,1,22,20,.218,3.09,1.17,ニューヨーク・ヤンキース
4,36,クラーク・シュミット,4.64,33,32,0,0,5,9,9,0,0,.500,159,169,24,149,8.43,46,11,11,2,91,82,.268,3.24,1.35,ニューヨーク・ヤンキース
5,40,ルイス・セベリーノ,6.65,19,18,0,0,5,4,8,0,0,.333,89.1,113,23,79,7.96,34,5,1,3,73,66,.301,2.32,1.65,ニューヨーク・ヤンキース
6,41,トミー・ケンリー,2.66,42,0,0,0,0,1,3,14,2,.250,40.2,26,5,48,10.62,19,1,3,0,14,12,.183,2.53,1.11,ニューヨーク・ヤンキース
7,43,ホナタン・ロアイシガ,3.06,17,0,0,0,0,0,2,5,0,.000,17.2,14,2,6,3.06,1,2,0,0,7,6,.219,6.00,0.85,ニューヨーク・ヤンキース
8,45,ゲリット・コール,2.63,33,33,2,2,24,15,4,0,0,.789,209,157,20,222,9.56,48,7,4,1,64,61,.206,4.63,0.98,ニューヨーク・ヤンキース
9,47,フランキー・モンタス,0.00,1,0,0,0,0,1,0,0,0,1.000,1.1,2,0,1,6.75,1,0,0,0,0,0,.333,1.00,2.25,ニューヨーク・ヤンキース
10,50,マット・ボウマン,9.00,3,0,0,0,0,0,0,1,0,.000,4,6,1,3,6.75,2,0,1,0,4,4,.353,1.50,2.00,ニューヨーク・ヤンキース
11,54,アンソニー・ミシェビッチ,7.36,11,0,0,0,0,2,0,1,0,1.000,11,17,2,8,6.55,6,0,3,0,11,9,.354,1.33,2.09,ニューヨーク・ヤンキース
12,55,カルロス・ロドン,6.85,14,14,0,0,3,3,8,0,0,.273,64.1,65,15,64,8.95,28,4,9,0,51,49,.261,2.29,1.45,ニューヨーク・ヤンキース
13,56,ルー・トリビノ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ニューヨーク・ヤンキース
14,58,ワンディ・ペラルタ,2.83,63,0,0,0,0,4,2,18,4,.667,54,36,7,51,8.50,30,6,1,3,19,17,.190,1.70,1.22,ニューヨーク・ヤンキース
15,59,スコット・エフロス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ニューヨーク・ヤンキース
16,62,ライアン・ウェバー,3.14,8,0,0,0,0,1,0,1,1,1.000,14.1,17,2,7,4.40,1,1,0,0,5,5,.298,7.00,1.26,ニューヨーク・ヤンキース
17,63,ニック・ラミレス,2.66,32,0,0,0,0,1,2,2,1,.333,40.2,41,1,28,6.20,9,1,0,1,17,12,.256,3.11,1.23,ニューヨーク・ヤンキース
18,65,ネストル・コルテス,4.97,12,12,0,0,3,5,2,0,0,.714,63.1,59,11,67,9.52,20,3,0,0,36,35,.244,3.35,1.25,ニューヨーク・ヤンキース
19,71,イアン・ハミルトン,2.64,39,3,0,0,0,3,2,5,2,.600,58,45,2,69,10.71,26,3,1,0,19,17,.215,2.65,1.22,ニューヨーク・ヤンキース
20,76,ジョニー・ブリトー,4.28,25,13,0,0,0,9,7,1,1,.563,90.1,82,14,72,7.17,28,4,0,1,47,43,.244,2.57,1.22,ニューヨーク・ヤンキース
21,81,ルイス・ギル,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ニューヨーク・ヤンキース
22,84,アルバート・アブレイユ,4.73,45,0,0,0,0,2,2,3,0,.500,59,52,9,61,9.31,35,6,5,0,39,31,.231,1.74,1.47,ニューヨーク・ヤンキース
23,85,グレゴリー・ワイサート,4.05,17,0,0,0,0,0,0,2,0,.000,20,21,3,22,9.90,8,1,1,1,9,9,.273,2.75,1.45,ニューヨーク・ヤンキース
24,92,マット・クルック,24.75,4,0,0,0,0,0,0,0,0,.000,4,8,1,3,6.75,6,0,1,0,11,11,.400,0.50,3.50,ニューヨーク・ヤンキース
25,93,ケイナン・ミドルトン,3.38,51,0,0,0,0,2,2,5,2,.500,50.2,40,8,64,11.37,23,1,2,0,20,19,.214,2.78,1.24,ニューヨーク・ヤンキース
26,94,ヨエンドリス・ゴメス,0.00,1,0,0,0,0,0,0,0,0,.000,2,1,0,4,18.00,0,1,0,0,0,0,.143,0.00,0.50,ニューヨーク・ヤンキース
27,97,ロン・マリナッシオ,3.99,45,0,0,0,0,4,5,7,2,.444,47.1,35,6,56,10.65,27,7,2,0,24,21,.208,2.07,1.31,ニューヨーク・ヤンキース
28,98,ランディ・バスケス,2.87,11,5,0,0,0,2,2,0,0,.500,37.2,30,5,33,7.88,18,4,3,0,12,12,.211,1.83,1.27,ニューヨーク・ヤンキース
29,12,アイザイア・カイナーファレファ,2.25,4,0,0,0,0,0,0,0,0,.000,4,4,0,1,2.25,0,0,0,0,1,1,.250,0.00,1.00,ニューヨーク・ヤンキース
