,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,16,ショーン・ニューカム,3.00,7,2,0,0,0,1,1,0,0,.500,15,8,1,17,10.20,9,2,1,0,5,5,.160,1.89,1.13,オークランド・アスレチックス
1,17,デビン・スウィート,10.38,7,0,0,0,0,1,0,0,0,1.000,8.2,10,4,6,6.23,6,2,0,0,10,10,.286,1.00,1.85,オークランド・アスレチックス
2,29,オースティン・プルイット,2.98,38,6,0,0,0,2,6,4,0,.250,48.1,44,5,30,5.59,12,1,1,0,18,16,.243,2.50,1.16,オークランド・アスレチックス
3,30,チャド・スミス,6.59,10,0,0,0,0,1,2,0,0,.333,13.2,15,2,9,5.93,7,2,1,0,10,10,.294,1.29,1.61,オークランド・アスレチックス
4,31,ザック・ニール,6.67,14,2,0,0,0,1,1,0,0,.500,27,30,8,25,8.33,14,2,0,0,22,20,.280,1.79,1.63,オークランド・アスレチックス
5,32,ジェームス・キャプリーリアン,6.34,14,11,0,0,3,2,6,0,0,.250,61,66,9,57,8.41,31,5,3,0,45,43,.274,1.84,1.59,オークランド・アスレチックス
6,35,ジョー・ボイル,1.69,3,3,0,0,2,2,0,0,0,1.000,16,8,1,15,8.44,5,0,0,0,4,3,.148,3.00,0.81,オークランド・アスレチックス
7,38,ＪＰ・シアーズ,4.54,32,32,0,0,9,5,14,0,0,.263,172.1,165,34,161,8.41,53,16,2,0,90,87,.249,3.04,1.26,オークランド・アスレチックス
8,39,カイル・ミュラー,7.60,21,13,0,0,0,1,5,0,0,.167,77,112,16,56,6.55,39,3,3,1,65,65,.346,1.44,1.96,オークランド・アスレチックス
9,40,ヤクセル・リオス,37.80,3,0,0,0,0,0,0,0,0,.000,1.2,3,1,2,10.80,6,0,2,0,7,7,.375,0.33,5.40,オークランド・アスレチックス
10,45,リチャード・ラブレディ,4.63,27,0,0,0,0,0,3,4,0,.000,23.1,15,3,24,9.26,10,3,0,0,13,12,.188,2.40,1.07,オークランド・アスレチックス
11,46,ルイス・メディナ,5.42,23,17,0,0,3,3,10,0,0,.231,109.2,109,14,106,8.70,57,8,11,2,73,66,.255,1.86,1.51,オークランド・アスレチックス
12,47,ドリュー・ルシンスキー,9.00,4,4,0,0,0,0,4,0,0,.000,18,27,5,6,3.00,14,1,0,0,22,18,.346,0.43,2.28,オークランド・アスレチックス
13,50,テイラー・スコット,5.60,18,2,0,0,0,0,0,0,0,.000,17.2,23,3,17,8.66,10,3,1,0,12,11,.311,1.70,1.87,オークランド・アスレチックス
14,53,エンジェル・フェリペ,4.20,14,0,0,0,0,1,1,4,0,.500,15,6,0,19,11.40,13,1,1,0,7,7,.120,1.46,1.27,オークランド・アスレチックス
15,54,カービー・スニード,4.63,15,0,0,0,0,1,2,7,0,.333,11.2,14,1,9,6.94,6,0,3,0,7,6,.280,1.50,1.71,オークランド・アスレチックス
16,55,エイドリアン・マルティネス,4.75,22,1,0,0,0,0,2,1,0,.000,55,59,8,47,7.69,19,5,4,0,31,29,.278,2.47,1.42,オークランド・アスレチックス
17,56,ダニー・ヒメネス,3.47,25,1,0,0,0,0,2,7,1,.000,23.1,11,3,21,8.10,14,0,2,0,9,9,.143,1.50,1.07,オークランド・アスレチックス
18,57,メイソン・ミラー,3.78,10,6,0,0,2,0,3,1,0,.000,33.1,24,2,38,10.26,16,3,3,0,15,14,.203,2.38,1.20,オークランド・アスレチックス
19,58,ポール・ブラックバーン,4.43,21,20,0,0,6,4,7,0,0,.364,103.2,117,11,104,9.03,43,3,1,0,54,51,.286,2.42,1.54,オークランド・アスレチックス
20,60,フランシスコ・ぺレス,5.94,17,1,0,0,0,1,2,0,0,.333,16.2,17,0,14,7.56,8,1,1,0,12,11,.266,1.75,1.50,オークランド・アスレチックス
21,61,ザック・ジャクソン,2.50,19,0,0,0,0,2,1,1,1,.667,18,18,1,23,11.50,10,0,5,0,7,5,.261,2.30,1.56,オークランド・アスレチックス
22,62,フレディ・ターノク,4.91,5,1,0,0,0,1,1,0,0,.500,14.2,11,4,14,8.59,11,0,2,0,8,8,.204,1.27,1.50,オークランド・アスレチックス
23,63,ホーガン・ハリス,7.14,14,6,0,0,2,3,6,0,0,.333,63,67,10,56,8.00,28,3,1,0,51,50,.269,2.00,1.51,オークランド・アスレチックス
