,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,22,マイケル・ロレンゼン,4.18,29,25,1,1,11,9,9,0,1,.500,153,138,20,111,6.53,47,2,4,1,76,71,.243,2.36,1.21,フィラデルフィア・フィリーズ
1,25,マット・ストラーム,3.29,56,10,0,0,0,9,5,11,2,.643,87.2,68,11,108,11.09,21,3,1,1,34,32,.213,5.14,1.02,フィラデルフィア・フィリーズ
2,27,アーロン・ノラ,4.46,32,32,0,0,15,12,9,0,0,.571,193.2,178,32,202,9.39,45,1,2,0,105,96,.240,4.49,1.15,フィラデルフィア・フィリーズ
3,30,グレゴリー・ソト,4.62,69,0,0,0,0,3,4,24,3,.429,60.1,47,6,65,9.70,22,2,5,0,34,31,.210,2.95,1.14,フィラデルフィア・フィリーズ
4,31,クレイグ・キンブレル,3.26,71,0,0,0,0,8,6,7,23,.571,69,44,10,94,12.26,28,4,4,2,28,25,.181,3.36,1.04,フィラデルフィア・フィリーズ
5,43,ユニオル・マルテ,5.03,40,0,0,0,0,1,1,2,2,.500,39.1,47,6,38,8.69,17,1,0,0,27,22,.288,2.24,1.63,フィラデルフィア・フィリーズ
6,45,ザック・ウィーラー,3.61,32,32,0,0,21,13,6,0,0,.684,192,168,20,212,9.94,39,9,1,0,82,77,.229,5.44,1.08,フィラデルフィア・フィリーズ
7,46,ホセ・アルバラド,1.74,42,0,0,0,0,0,2,11,10,.000,41.1,30,3,64,13.94,18,0,3,0,15,8,.196,3.56,1.16,フィラデルフィア・フィリーズ
8,47,エリック・ウルメン,36.00,1,0,0,0,0,0,0,0,0,.000,1,3,0,1,9.00,2,0,0,0,4,4,.600,0.50,5.00,フィラデルフィア・フィリーズ
9,49,マイケル・プラスマイヤー,22.09,1,1,0,0,0,0,1,0,0,.000,3.2,8,3,4,9.82,0,3,0,0,10,9,.400,0.00,2.18,フィラデルフィア・フィリーズ
10,50,オリオン・カーケリング,0.00,3,0,0,0,0,1,0,1,0,1.000,3,2,0,6,18.00,2,0,0,0,1,0,.167,3.00,1.33,フィラデルフィア・フィリーズ
11,54,ディラン・コービー,3.77,29,1,0,0,0,1,3,1,0,.250,43,48,5,30,6.28,17,2,0,0,22,18,.282,1.76,1.51,フィラデルフィア・フィリーズ
12,55,ランヘル・スアレス,4.18,22,22,0,0,11,4,6,0,0,.400,125,129,13,119,8.57,48,2,4,0,59,58,.267,2.48,1.42,フィラデルフィア・フィリーズ
13,56,ルイス・オルティス,3.32,14,0,0,0,0,0,0,0,1,.000,19,23,1,16,7.58,5,0,0,0,7,7,.311,3.20,1.47,フィラデルフィア・フィリーズ
14,57,ニック・ネルソン,1.69,1,0,0,0,0,1,0,0,0,1.000,5.1,2,1,3,5.06,2,0,0,0,1,1,.111,1.50,0.75,フィラデルフィア・フィリーズ
15,58,セランソニー・ドミンゲス,3.78,57,0,0,0,0,5,5,14,2,.500,50,48,7,48,8.64,22,6,1,1,25,21,.246,2.18,1.40,フィラデルフィア・フィリーズ
16,61,クリストフェル・サンチェス,3.44,19,18,0,0,7,3,5,0,0,.375,99.1,88,16,96,8.70,16,3,3,0,44,38,.235,6.00,1.05,フィラデルフィア・フィリーズ
17,64,アンドルー・ベラティ,5.11,27,0,0,0,0,1,0,2,0,1.000,24.2,25,4,25,9.12,12,0,0,0,15,14,.250,2.08,1.50,フィラデルフィア・フィリーズ
18,68,ジェフ・ホフマン,2.41,54,0,0,0,0,5,2,11,1,.714,52.1,29,3,69,11.87,19,2,4,0,16,14,.158,3.63,0.92,フィラデルフィア・フィリーズ
19,75,コナー・ブログドン,4.03,27,1,0,0,0,2,1,3,0,.667,29,29,5,26,8.07,13,1,2,0,14,13,.264,2.00,1.45,フィラデルフィア・フィリーズ
20,79,マッキンリー・ムーア,18.90,3,0,0,0,0,0,0,0,0,.000,3.1,5,1,2,5.40,5,2,0,0,7,7,.357,0.40,3.00,フィラデルフィア・フィリーズ
21,99,タイワン・ウォーカー,4.38,31,31,0,0,11,15,6,0,0,.714,172.2,155,20,138,7.19,71,8,3,1,87,84,.238,1.94,1.31,フィラデルフィア・フィリーズ
22,23,コディ・クレメンス,3.38,4,0,0,0,0,0,0,0,0,.000,2.2,4,0,1,3.38,3,0,0,0,1,1,.333,0.33,2.63,フィラデルフィア・フィリーズ
