,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,23,ミッチ・ケラー,4.21,32,32,1,1,18,13,9,0,0,.591,194.1,187,25,210,9.73,55,12,5,1,97,91,.249,3.82,1.25,ピッツバーグ・パイレーツ
1,24,ヨハン・オビエド,4.31,32,32,1,1,14,9,14,0,0,.391,177.2,161,19,158,8.00,83,13,7,3,91,85,.237,1.90,1.37,ピッツバーグ・パイレーツ
2,27,ビンセント・ベラスケス,3.86,8,8,0,0,4,4,4,0,0,.500,37.1,35,4,37,8.92,14,1,2,0,16,16,.240,2.64,1.31,ピッツバーグ・パイレーツ
3,34,Ｊ．Ｔ．ブルベイカー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ピッツバーグ・パイレーツ
4,35,コリン・ホルダーマン,3.86,58,0,0,0,0,0,3,27,2,.000,56,55,4,58,9.32,20,2,3,0,25,24,.256,2.90,1.34,ピッツバーグ・パイレーツ
5,36,ダウリ・モレタ,3.72,55,0,0,0,0,5,2,5,1,.714,58,39,4,76,11.79,24,3,3,0,26,24,.187,3.17,1.09,ピッツバーグ・パイレーツ
6,38,トーマス・ハッチ,4.08,18,2,0,0,0,1,1,3,0,.500,28.2,33,2,26,8.16,12,1,2,0,18,13,.292,2.17,1.57,ピッツバーグ・パイレーツ
7,41,アンドレ・ジャクソン,4.99,19,7,0,0,0,1,3,1,2,.250,61.1,52,11,57,8.36,22,2,1,0,34,34,.225,2.59,1.21,ピッツバーグ・パイレーツ
8,43,ライアン・ボルッキー,2.45,38,2,0,0,0,4,0,9,0,1.000,40.1,26,4,33,7.36,4,4,1,0,11,11,.183,8.25,0.74,ピッツバーグ・パイレーツ
9,44,ベイリー・ファルター,5.36,18,14,0,0,3,2,9,0,0,.182,80.2,94,17,60,6.69,20,0,0,0,55,48,.288,3.00,1.41,ピッツバーグ・パイレーツ
10,45,マックス・クラニック,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ピッツバーグ・パイレーツ
11,48,ルイス・オルティス,4.78,18,15,0,0,3,5,5,0,0,.500,86.2,99,13,59,6.13,48,2,3,0,50,46,.288,1.23,1.70,ピッツバーグ・パイレーツ
12,50,カルメン・モジンスキ,2.25,35,1,0,0,0,3,3,10,1,.500,36,28,3,34,8.50,18,1,0,0,14,9,.214,1.89,1.28,ピッツバーグ・パイレーツ
13,51,デービッド・ベッドナー,2.00,66,0,0,0,0,3,3,0,39,.500,67.1,53,3,80,10.69,21,3,2,0,22,15,.215,3.81,1.10,ピッツバーグ・パイレーツ
14,52,コリン・セルビー,9.00,21,5,0,0,0,2,2,3,0,.500,24,29,4,30,11.25,15,0,3,0,24,24,.296,2.00,1.83,ピッツバーグ・パイレーツ
15,53,マイク・バローズ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ピッツバーグ・パイレーツ
16,57,ジェリー・デロスサントス,3.33,22,0,0,0,0,1,1,3,0,.500,24.1,17,1,18,6.66,13,1,0,0,10,9,.193,1.38,1.23,ピッツバーグ・パイレーツ
17,59,ロアンジ・コントレラス,6.59,19,11,0,0,4,3,7,0,1,.300,68.1,75,11,55,7.24,32,1,3,0,50,50,.282,1.72,1.57,ピッツバーグ・パイレーツ
18,61,ホセ・ヘルナンデス,4.97,50,0,0,0,0,1,3,5,0,.250,50.2,47,9,62,11.01,22,1,5,2,30,28,.239,2.82,1.36,ピッツバーグ・パイレーツ
19,62,カイル・ニコラス,11.81,4,0,0,0,0,0,0,1,0,.000,5.1,7,1,7,11.81,4,1,1,0,7,7,.333,1.75,2.06,ピッツバーグ・パイレーツ
20,63,ハンター・ストラットン,2.25,8,0,0,0,0,0,0,0,0,.000,12,9,2,10,7.50,3,1,1,0,3,3,.209,3.33,1.00,ピッツバーグ・パイレーツ
21,64,クイン・プリースター,7.74,10,8,0,0,1,3,3,0,0,.500,50,58,12,36,6.48,27,3,5,0,43,43,.290,1.33,1.70,ピッツバーグ・パイレーツ
22,66,ハーリン・ガルシア,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ピッツバーグ・パイレーツ
23,67,コディ・ボルトン,6.33,16,0,0,0,0,1,0,1,0,1.000,21.1,30,3,22,9.28,15,1,0,0,15,15,.333,1.47,2.11,ピッツバーグ・パイレーツ
24,68,アンヘル・ペルドモ,3.72,30,0,0,0,0,3,2,6,0,.600,29,21,3,44,13.66,11,3,0,0,14,12,.208,4.00,1.10,ピッツバーグ・パイレーツ
25,70,オスバルド・ビド,5.86,16,9,0,0,1,2,5,0,0,.286,50.2,55,4,48,8.53,21,8,1,0,35,33,.270,2.29,1.50,ピッツバーグ・パイレーツ
26,-,ジャクソン・ウルフ,5.40,1,1,0,0,0,1,0,0,0,1.000,5,6,0,1,1.80,1,0,0,0,3,3,.286,1.00,1.40,ピッツバーグ・パイレーツ
