,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,4,ブレーク・スネル,2.25,32,32,0,0,20,14,9,0,0,.609,180,115,15,234,11.70,99,3,13,2,47,45,.181,2.36,1.19,サンディエゴ・パドレス
1,11,ダルビッシュ有,4.56,24,24,0,0,10,8,10,0,0,.444,136.1,134,18,141,9.31,43,8,1,1,71,69,.259,3.28,1.30,サンディエゴ・パドレス
2,15,ドルー・ポメランツ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,サンディエゴ・パドレス
3,21,ニコラス・マルティネス,3.43,63,9,0,0,2,6,4,15,1,.600,110.1,99,12,106,8.65,40,3,3,0,45,42,.240,2.65,1.26,サンディエゴ・パドレス
4,25,ティム・ヒル,5.48,48,0,0,0,0,1,4,9,0,.200,44.1,59,7,26,5.28,14,6,0,0,36,27,.331,1.86,1.65,サンディエゴ・パドレス
5,33,リース・クネア,15.88,4,1,0,0,0,0,1,0,0,.000,5.2,10,3,4,6.35,5,0,0,0,10,10,.385,0.80,2.65,サンディエゴ・パドレス
6,36,スティーブン・ウィルソン,3.91,52,0,0,0,0,1,2,22,0,.333,53,35,7,57,9.68,27,3,0,0,23,23,.185,2.11,1.17,サンディエゴ・パドレス
7,40,ホセ・エスパダ,0.00,1,0,0,0,0,0,0,0,0,.000,1,0,0,2,18.00,2,0,0,0,0,0,.000,1.00,2.00,サンディエゴ・パドレス
8,41,リッチ・ヒル,5.41,32,27,0,0,7,8,14,0,0,.364,146.1,165,23,129,7.93,58,7,2,1,98,88,.281,2.22,1.52,サンディエゴ・パドレス
9,44,ジョー・マスグローブ,3.05,17,17,0,0,11,10,3,0,0,.769,97.1,90,10,97,8.97,21,9,2,1,35,33,.247,4.62,1.14,サンディエゴ・パドレス
10,48,ニック・ヘルナンデス,12.00,2,0,0,0,0,0,0,0,0,.000,3,3,1,5,15.00,4,2,0,0,4,4,.250,1.25,2.33,サンディエゴ・パドレス
11,50,エイドリアン・モレホン,7.00,8,1,0,0,0,0,0,0,0,.000,9,14,1,8,8.00,5,0,1,0,7,7,.368,1.60,2.11,サンディエゴ・パドレス
12,51,ショーン・レイノルズ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,サンディエゴ・パドレス
13,52,マイケル・ワカ,3.22,24,24,0,0,12,14,4,0,0,.778,134.1,113,15,124,8.31,43,3,3,1,49,48,.224,2.88,1.16,サンディエゴ・パドレス
14,55,ジェーソン・グルーム,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,サンディエゴ・パドレス
15,56,レイ・カー,4.33,22,0,0,0,0,1,1,0,0,.500,27,25,5,35,11.67,9,1,1,0,15,13,.243,3.89,1.26,サンディエゴ・パドレス
16,58,スコット・バーロー,4.37,63,0,0,0,0,2,6,7,13,.250,68,61,4,79,10.46,34,5,3,0,39,33,.242,2.32,1.40,サンディエゴ・パドレス
17,59,トム・コスグローブ,1.75,54,0,0,0,0,1,2,7,1,.333,51.1,31,3,44,7.71,19,5,1,0,12,10,.173,2.32,0.97,サンディエゴ・パドレス
18,60,ペドロ・アビラ,3.22,14,6,0,0,1,2,2,0,0,.500,50.1,43,3,54,9.66,25,5,5,1,23,18,.230,2.16,1.35,サンディエゴ・パドレス
19,61,マット・ウォルドロン,4.35,8,6,0,0,1,1,3,0,0,.250,41.1,39,9,31,6.75,12,0,0,0,20,20,.244,2.58,1.23,サンディエゴ・パドレス
20,66,ルイス・ガルシア,4.07,61,0,0,0,0,2,3,10,0,.400,59.2,59,6,53,7.99,24,6,4,0,30,27,.252,2.21,1.39,サンディエゴ・パドレス
21,67,セス・ルーゴ,3.57,26,26,0,0,17,8,7,0,0,.533,146.1,140,19,140,8.61,36,3,3,0,62,58,.249,3.89,1.20,サンディエゴ・パドレス
22,68,アレク・ジェーコブ,0.00,3,0,0,0,0,0,0,0,0,.000,3,0,0,5,15.00,1,0,0,0,0,0,.000,5.00,0.33,サンディエゴ・パドレス
23,71,ジョシュ・ヘイダー,1.28,61,0,0,0,0,2,3,0,33,.400,56.1,32,3,85,13.58,30,3,3,0,11,8,.163,2.83,1.10,サンディエゴ・パドレス
24,73,ドルー・カールトン,4.35,11,0,0,0,0,2,1,0,0,.667,20.2,18,2,18,7.84,6,1,1,0,12,10,.243,3.00,1.16,サンディエゴ・パドレス
25,75,ロベルト・スアレス,4.23,26,0,0,0,0,4,3,8,0,.571,27.2,15,4,24,7.81,10,0,0,0,13,13,.155,2.40,0.90,サンディエゴ・パドレス
26,-,グレン・オットー,10.13,6,0,0,0,0,0,0,1,0,.000,10.2,14,6,11,9.28,6,0,0,0,12,12,.311,1.83,1.88,サンディエゴ・パドレス
