,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,26,アンソニー・デスクラファニ,4.88,19,18,0,0,8,4,8,0,0,.333,99.2,105,15,79,7.13,20,4,3,0,59,54,.271,3.95,1.25,サンフランシスコ・ジャイアンツ
1,33,テーラー・ロジャーズ,3.83,60,0,0,0,0,6,4,12,2,.600,51.2,39,6,64,11.15,25,3,3,0,27,22,.211,2.56,1.24,サンフランシスコ・ジャイアンツ
2,34,ジェーコブ・ジュニス,3.87,40,4,0,0,0,4,3,2,1,.571,86,90,12,96,10.05,21,5,5,0,42,37,.269,4.57,1.29,サンフランシスコ・ジャイアンツ
3,38,アレックス・カッブ,3.87,28,28,2,1,11,7,7,0,0,.500,151.1,163,19,131,7.79,37,6,7,5,69,65,.272,3.54,1.32,サンフランシスコ・ジャイアンツ
4,43,トリスタン・ベック,3.92,33,3,0,0,0,3,3,4,2,.500,85,83,10,68,7.20,21,2,3,0,40,37,.252,3.24,1.22,サンフランシスコ・ジャイアンツ
5,45,カイル・ハリソン,4.15,7,7,0,0,1,1,1,0,0,.500,34.2,29,8,35,9.09,11,4,0,0,19,16,.221,3.18,1.15,サンフランシスコ・ジャイアンツ
6,48,ロス・ストリプリング,5.36,22,11,0,0,2,0,5,0,0,.000,89,104,20,70,7.08,16,2,2,1,54,53,.287,4.38,1.35,サンフランシスコ・ジャイアンツ
7,52,ショーン・マナイア,4.44,37,10,0,0,3,7,6,3,1,.538,117.2,104,14,128,9.79,42,8,3,0,68,58,.234,3.05,1.24,サンフランシスコ・ジャイアンツ
8,54,スコット・アレクサンダー,4.66,55,8,0,0,0,7,3,6,1,.700,48.1,55,2,31,5.77,11,1,7,0,30,25,.282,2.82,1.37,サンフランシスコ・ジャイアンツ
9,56,コール・ウェイツ,15.43,3,0,0,0,0,0,0,0,0,.000,2.1,6,0,2,7.71,2,0,0,0,5,4,.462,1.00,3.43,サンフランシスコ・ジャイアンツ
10,57,アレックス・ウッド,4.33,29,12,0,0,0,5,5,1,0,.500,97.2,98,9,74,6.82,42,8,3,2,52,47,.263,1.76,1.43,サンフランシスコ・ジャイアンツ
11,59,ジョン・ブレビア,3.99,40,10,0,0,0,3,5,7,0,.375,38.1,31,6,47,11.03,14,0,0,0,21,17,.215,3.36,1.17,サンフランシスコ・ジャイアンツ
12,61,トーマス・スザパッキ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,サンフランシスコ・ジャイアンツ
13,62,ローガン・ウェブ,3.25,33,33,2,1,24,11,13,0,0,.458,216,201,20,194,8.08,31,5,1,0,83,78,.248,6.26,1.07,サンフランシスコ・ジャイアンツ
14,64,ショーン・ジェレ,6.52,15,0,0,0,0,2,1,0,0,.667,29,38,3,31,9.62,13,4,5,0,25,21,.317,2.38,1.76,サンフランシスコ・ジャイアンツ
15,67,キートン・ウィン,4.68,9,5,0,0,2,1,3,0,1,.250,42.1,36,6,35,7.44,8,5,1,0,22,22,.231,4.38,1.04,サンフランシスコ・ジャイアンツ
16,68,ホセ・クルーズ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,サンフランシスコ・ジャイアンツ
17,71,タイラー・ロジャーズ,3.04,68,0,0,0,0,4,5,30,2,.444,74,66,7,60,7.30,19,3,0,0,27,25,.236,3.16,1.15,サンフランシスコ・ジャイアンツ
18,72,ランディ・ロドリゲス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,サンフランシスコ・ジャイアンツ
19,74,ライアン・ウォーカー,3.23,49,13,0,0,0,5,3,3,1,.625,61.1,61,8,78,11.45,24,2,3,0,25,22,.262,3.25,1.39,サンフランシスコ・ジャイアンツ
20,75,カミロ・ドバル,2.93,69,0,0,0,0,6,6,0,39,.500,67.2,51,3,87,11.57,26,8,10,3,32,22,.209,3.35,1.14,サンフランシスコ・ジャイアンツ
21,77,ルーク・ジャクソン,2.97,33,0,0,0,0,2,2,4,0,.500,33.1,26,3,43,11.61,15,1,3,1,14,11,.206,2.87,1.23,サンフランシスコ・ジャイアンツ
22,32,デービッド・ビラー,0.00,1,0,0,0,0,0,0,0,0,.000,1,0,0,0,0.00,1,0,0,0,0,0,.000,0.00,1.00,サンフランシスコ・ジャイアンツ
23,35,ブランドン・クロフォード,0.00,1,0,0,0,0,0,0,0,0,.000,1,1,0,0,0.00,1,0,0,0,0,0,.250,0.00,2.00,サンフランシスコ・ジャイアンツ
24,70,ブレット・ワイズリー,9.00,1,0,0,0,0,0,0,0,0,.000,1,1,1,0,0.00,0,0,0,0,1,1,.250,0.00,1.00,サンフランシスコ・ジャイアンツ
