,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,7,マルコ・ゴンザレス,5.22,10,10,0,0,4,4,1,0,0,.800,50,55,5,34,6.12,18,0,0,0,32,29,.282,1.89,1.46,シアトル・マリナーズ
1,26,ダレン・マコーガン,5.40,3,0,0,0,0,0,0,0,0,.000,5,7,1,10,18.00,3,0,0,0,5,3,.292,3.33,2.00,シアトル・マリナーズ
2,33,ブライアン・ウー,4.21,18,18,0,0,4,4,5,0,0,.444,87.2,75,13,93,9.55,31,7,1,0,44,41,.227,3.00,1.21,シアトル・マリナーズ
3,36,ローガン・ギルバート,3.73,32,32,1,1,18,13,7,0,0,.650,190.2,169,29,189,8.92,36,2,6,0,82,79,.233,5.25,1.08,シアトル・マリナーズ
4,36,アダム・オラー,10.07,9,1,0,0,0,1,1,0,0,.500,19.2,29,5,13,5.95,12,1,1,0,24,22,.341,1.08,2.08,シアトル・マリナーズ
5,38,ロビー・レイ,8.10,1,1,0,0,0,0,1,0,0,.000,3.1,4,0,3,8.10,5,0,1,0,5,3,.308,0.60,2.70,シアトル・マリナーズ
6,41,エドゥアルド・バザルド,4.50,12,0,0,0,0,0,0,0,0,.000,16,15,2,15,8.44,4,0,0,0,8,8,.238,3.75,1.19,シアトル・マリナーズ
7,46,トレント・ソーントン,2.01,27,1,0,0,0,1,2,4,0,.333,31.1,30,5,26,7.47,6,0,0,0,12,7,.252,4.33,1.15,シアトル・マリナーズ
8,47,マシュー・ブラッシュ,3.06,78,0,0,0,0,9,4,24,4,.692,70.2,65,3,107,13.63,29,6,11,0,26,24,.242,3.69,1.33,シアトル・マリナーズ
9,48,ジャスティン・トパ,2.61,75,0,0,0,0,5,4,23,3,.556,69,61,4,61,7.96,18,3,0,0,26,20,.240,3.39,1.14,シアトル・マリナーズ
10,49,アイザイア・キャンベル,2.83,27,0,0,0,0,4,1,2,1,.800,28.2,22,2,33,10.36,13,1,2,1,9,9,.210,2.54,1.22,シアトル・マリナーズ
11,50,ブライス・ミラー,4.32,25,25,0,0,9,8,7,0,0,.533,131.1,124,18,119,8.15,26,7,2,0,64,63,.248,4.58,1.14,シアトル・マリナーズ
12,52,プレランダー・ベローア,0.00,2,0,0,0,0,0,0,1,0,.000,1.2,0,0,3,16.20,3,0,1,0,0,0,.000,1.00,1.80,シアトル・マリナーズ
13,54,ドミニク・リオーネ,4.67,51,0,0,0,0,1,3,3,1,.250,54,49,14,54,9.00,28,2,4,0,28,28,.244,1.93,1.43,シアトル・マリナーズ
14,55,ゲーブ・スピアー,3.79,69,0,0,0,0,2,2,17,1,.500,54.2,47,7,64,10.54,11,3,2,0,24,23,.235,5.82,1.06,シアトル・マリナーズ
15,56,ペン・マーフィー,1.29,16,0,0,0,0,1,2,1,0,.333,14,5,1,16,10.29,10,1,0,1,5,2,.109,1.60,1.07,シアトル・マリナーズ
16,58,ルイス・カスティーヨ,3.34,33,33,0,0,18,14,9,0,0,.609,197,160,28,219,10.01,56,5,3,0,81,73,.218,3.91,1.10,シアトル・マリナーズ
17,59,イーストン・マギー,0.00,1,1,0,0,1,0,0,0,0,.000,6.2,1,0,2,2.70,1,0,0,0,0,0,.048,2.00,0.30,シアトル・マリナーズ
18,60,タイラー・サウセド,3.59,52,0,0,0,0,3,2,3,1,.600,47.2,41,2,43,8.12,23,6,1,0,20,19,.234,1.87,1.34,シアトル・マリナーズ
19,62,エマーソン・ハンコック,4.50,3,3,0,0,0,0,0,0,0,.000,12,13,1,6,4.50,3,0,0,0,6,6,.283,2.00,1.33,シアトル・マリナーズ
20,68,ジョージ・カービー,3.35,31,31,1,0,20,13,10,0,0,.565,190.2,179,22,172,8.12,19,6,1,0,74,71,.246,9.05,1.04,シアトル・マリナーズ
21,70,タイ・アドコック,3.45,12,0,0,0,0,0,0,0,0,.000,15.2,11,4,11,6.32,0,0,0,0,7,6,.190,0.00,0.70,シアトル・マリナーズ
22,75,アンドレス・ムニョス,2.94,52,0,0,0,0,4,7,14,13,.364,49,40,2,67,12.31,22,5,4,2,20,16,.217,3.05,1.27,シアトル・マリナーズ
23,77,ライダー・ライアン,0.00,1,0,0,0,0,0,0,0,0,.000,1,0,0,2,18.00,1,0,0,0,0,0,.000,2.00,1.00,シアトル・マリナーズ
24,-,ライアン・ジェンセン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,シアトル・マリナーズ
25,4,ジョシュ・ロハス,18.00,2,0,0,0,0,0,0,0,0,.000,2,6,0,1,4.50,1,0,0,0,4,4,.500,1.00,3.50,シアトル・マリナーズ
26,20,マイク・フォード,18.00,2,0,0,0,0,0,0,0,0,.000,2,5,2,0,0.00,1,0,0,0,4,4,.455,0.00,3.00,シアトル・マリナーズ
