,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,31,アンドルー・スアレス,7.16,13,0,0,0,0,0,0,0,0,.000,27.2,33,7,17,5.53,15,0,2,0,27,22,.287,1.13,1.73,セントルイス・カージナルス
1,32,スティーブン・マッツ,3.86,25,17,0,0,4,4,7,0,0,.364,105,108,11,98,8.40,32,3,2,2,48,45,.263,3.06,1.33,セントルイス・カージナルス
2,34,ドルー・バーハーゲン,3.98,60,0,0,0,0,5,1,14,0,.833,61,52,9,60,8.85,26,9,3,1,30,27,.226,2.31,1.28,セントルイス・カージナルス
3,38,ドリュー・ロム,8.02,8,8,0,0,0,1,4,0,0,.200,33.2,51,7,32,8.55,19,0,1,0,34,30,.340,1.68,2.08,セントルイス・カージナルス
4,39,マイルズ・マイコラス,4.78,35,35,0,0,14,9,13,0,0,.409,201.1,226,26,137,6.12,39,8,4,0,110,107,.282,3.51,1.32,セントルイス・カージナルス
5,43,ダコタ・ハドソン,4.98,18,12,0,0,4,6,3,1,0,.667,81.1,88,9,45,4.98,34,6,5,0,46,45,.283,1.32,1.50,セントルイス・カージナルス
6,44,ジェーク・ウッドフォード,6.23,15,8,0,0,0,2,3,0,0,.400,47.2,61,11,29,5.48,22,3,3,0,34,33,.314,1.32,1.74,セントルイス・カージナルス
7,47,ジョン・キング,3.62,35,0,0,0,0,2,1,12,0,.667,37.1,45,2,20,4.82,10,0,0,0,15,15,.310,2.00,1.47,セントルイス・カージナルス
8,50,アダム・ウェインライト,7.40,21,21,0,0,4,5,11,0,0,.313,101,151,20,55,4.90,41,1,1,0,89,83,.345,1.34,1.90,セントルイス・カージナルス
9,52,マシュー・リベラトーレ,5.25,22,11,0,0,2,3,6,2,0,.333,61.2,66,5,46,6.71,25,5,4,0,42,36,.274,1.84,1.48,セントルイス・カージナルス
10,53,ニール・パランテ,4.76,62,0,0,0,0,4,1,14,0,.800,68,76,6,43,5.69,30,3,6,1,37,36,.286,1.43,1.56,セントルイス・カージナルス
11,56,ライアン・ヘルズリー,2.45,33,0,0,0,0,3,4,2,14,.429,36.2,22,1,52,12.76,17,1,3,1,11,10,.176,3.06,1.06,セントルイス・カージナルス
12,57,ザック・トンプソン,4.48,25,9,0,0,1,5,7,1,0,.417,66.1,69,8,72,9.77,25,2,3,0,35,33,.270,2.88,1.42,セントルイス・カージナルス
13,58,ウィルキング・ロドリゲス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,セントルイス・カージナルス
14,59,ジョジュ・ロメロ,3.68,27,0,0,0,0,4,2,3,3,.667,36.2,29,1,42,10.31,10,1,2,0,17,15,.216,4.20,1.06,セントルイス・カージナルス
15,60,ギレルモ・スニガ,4.50,2,0,0,0,0,0,0,0,0,.000,2,2,0,4,18.00,0,0,0,0,1,1,.250,0.00,1.00,セントルイス・カージナルス
16,61,ジェイコブ・バーンズ,5.93,13,0,0,0,0,0,1,0,0,.000,13.2,18,1,8,5.27,3,1,0,0,11,9,.316,2.67,1.54,セントルイス・カージナルス
17,64,カイル・リーヒ,21.60,3,0,0,0,0,0,1,0,0,.000,1.2,4,1,2,10.80,5,1,0,0,4,4,.444,0.40,5.40,セントルイス・カージナルス
18,65,ジョバンニ・ガエゴス,4.42,56,0,0,0,0,2,4,20,10,.333,55,54,11,59,9.65,12,0,3,1,28,27,.252,4.92,1.20,セントルイス・カージナルス
19,66,コナー・トーマス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,セントルイス・カージナルス
20,68,ジェームズ・ネイル,8.80,10,0,0,0,0,0,0,1,0,.000,15.1,27,1,7,4.11,9,0,0,0,19,15,.380,0.78,2.35,セントルイス・カージナルス
21,70,パトリック・ノートン,0.00,4,0,0,0,0,0,0,0,0,.000,5,2,0,5,9.00,1,0,0,0,0,0,.125,5.00,0.60,セントルイス・カージナルス
22,72,ケーシー・ローレンス,6.59,15,0,0,0,0,1,0,4,0,1.000,27.1,32,7,20,6.59,10,2,0,0,20,20,.299,2.00,1.54,セントルイス・カージナルス
23,41,アレク・バールソン,21.60,2,0,0,0,0,0,0,0,0,.000,1.2,8,1,1,5.40,0,0,0,0,4,4,.615,0.00,4.80,セントルイス・カージナルス
