,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,11,シェーン・バズ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,タンパベイ・レイズ
1,18,シェーン・マクラナハン,3.29,21,21,0,0,12,11,2,0,0,.846,115,95,15,121,9.47,41,0,1,0,42,42,.222,2.95,1.18,タンパベイ・レイズ
2,19,ジョシュ・フレミング,4.70,12,3,0,0,0,2,0,1,0,1.000,51.2,56,9,25,4.35,19,0,2,0,29,27,.281,1.32,1.45,タンパベイ・レイズ
3,20,タイラー・グラスノー,3.53,21,21,0,0,9,10,7,0,0,.588,120,93,13,162,12.15,37,1,11,0,52,47,.209,4.38,1.08,タンパベイ・レイズ
4,24,ザック・エフリン,3.50,31,31,0,0,17,16,8,0,0,.667,177.2,158,19,186,9.42,24,3,0,0,69,69,.235,7.75,1.02,タンパベイ・レイズ
5,26,ロバート・スティーブンソン,3.10,60,0,0,0,0,3,4,15,1,.429,52.1,30,8,77,13.24,16,0,4,0,20,18,.165,4.81,0.88,タンパベイ・レイズ
6,29,ピーター・フェアバンクス,2.58,49,0,0,0,0,2,4,2,25,.333,45.1,26,3,68,13.50,20,4,6,0,14,13,.164,3.40,1.01,タンパベイ・レイズ
7,30,ジェーク・ディークマン,3.34,63,0,0,0,0,0,2,8,0,.000,56.2,37,3,64,10.16,38,1,3,2,29,21,.183,1.68,1.32,タンパベイ・レイズ
8,34,アーロン・シベル,3.46,23,23,0,0,7,7,5,0,0,.583,122.1,109,12,116,8.53,33,5,5,0,47,47,.235,3.52,1.16,タンパベイ・レイズ
9,36,アンドルー・キトレッジ,3.09,14,0,0,0,0,2,0,1,1,1.000,11.2,12,1,10,7.71,2,1,0,0,4,4,.255,5.00,1.20,タンパベイ・レイズ
10,38,コリン・ポシェ,2.23,66,0,0,0,0,12,3,22,1,.800,60.2,42,4,61,9.05,24,1,3,0,17,15,.194,2.54,1.09,タンパベイ・レイズ
11,41,コルビー・ホワイト,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,タンパベイ・レイズ
12,45,タジ・ブラッドリー,5.59,23,21,0,0,1,5,8,0,0,.385,104.2,106,23,129,11.09,39,1,6,0,69,65,.255,3.31,1.39,タンパベイ・レイズ
13,47,ジェイソン・アダム,2.98,56,0,0,0,0,4,2,11,12,.667,54.1,35,7,69,11.43,20,9,2,0,21,18,.181,3.45,1.01,タンパベイ・レイズ
14,48,クリス・デベンスキー,4.46,38,0,0,0,0,6,4,10,0,.600,42.1,36,6,42,8.93,11,1,1,0,24,21,.229,3.82,1.11,タンパベイ・レイズ
15,49,ケビン・ケリー,3.09,57,0,0,0,0,5,2,12,1,.714,67,53,2,56,7.52,15,10,1,0,27,23,.211,3.73,1.01,タンパベイ・レイズ
16,52,ザック・リテル,4.10,28,14,0,0,4,3,6,0,0,.333,90,94,13,74,7.40,12,4,4,0,43,41,.261,6.17,1.18,タンパベイ・レイズ
17,57,ドルー・ラスムセン,2.62,8,8,0,0,3,4,2,0,0,.667,44.2,36,2,47,9.47,11,1,2,0,13,13,.221,4.27,1.05,タンパベイ・レイズ
18,58,カルビン・フォーチャー,7.01,17,4,0,0,0,1,1,1,0,.500,25.2,31,4,25,8.77,12,1,4,0,20,20,.290,2.08,1.68,タンパベイ・レイズ
19,59,ジェフリー・スプリングス,0.56,3,3,0,0,2,2,0,0,0,1.000,16,4,1,24,13.50,4,0,0,0,1,1,.080,6.00,0.50,タンパベイ・レイズ
20,60,ギャレット・クレビンジャー,3.00,15,0,0,0,0,1,0,0,0,1.000,12,6,2,14,10.50,6,1,1,0,5,4,.146,2.33,1.00,タンパベイ・レイズ
21,64,ショーン・アームストロング,1.38,39,6,0,0,0,1,0,6,0,1.000,52,36,2,54,9.35,11,4,0,0,12,8,.188,4.91,0.90,タンパベイ・レイズ
22,68,ジャレン・ビークス,5.95,30,8,0,0,0,2,3,2,1,.400,42.1,42,4,47,9.99,21,1,3,0,28,28,.251,2.24,1.49,タンパベイ・レイズ
23,71,クーパー・クリスウェル,5.73,10,0,0,0,0,1,1,0,0,.500,33,40,6,27,7.36,11,4,2,0,23,21,.296,2.45,1.55,タンパベイ・レイズ
24,74,ジェイコブ・ロペス,4.38,4,1,0,0,0,1,0,0,1,1.000,12.1,14,0,8,5.84,2,2,1,0,7,6,.280,4.00,1.30,タンパベイ・レイズ
25,-,コール・サルサー,6.75,4,0,0,0,0,0,0,0,0,.000,5.1,5,2,4,6.75,3,0,0,0,4,4,.250,1.33,1.50,タンパベイ・レイズ
26,14,クリスティアン・ベタンコート,81.00,1,0,0,0,0,0,0,0,0,.000,0.1,3,1,0,0.00,0,0,0,0,3,3,.750,0.00,9.00,タンパベイ・レイズ
27,50,レネ・ピント,45.00,1,0,0,0,0,0,0,0,0,.000,1,5,3,0,0.00,0,0,0,0,5,5,.625,0.00,5.00,タンパベイ・レイズ
28,55,ルーカス・レイリー,30.38,2,0,0,0,0,0,0,0,0,.000,2.2,11,2,1,3.38,0,0,0,0,9,9,.579,0.00,4.13,タンパベイ・レイズ
