,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,17,ネーサン・イオバルディ,3.63,25,25,2,1,11,12,5,0,0,.706,144,117,15,132,8.25,47,6,2,0,59,58,.225,2.81,1.14,テキサス・レンジャーズ
1,21,イアン・ケネディ,7.16,16,0,0,0,0,0,1,0,0,.000,16.1,16,4,21,11.57,7,2,1,0,15,13,.246,3.00,1.41,テキサス・レンジャーズ
2,22,ジョン・グレイ,4.12,29,29,1,0,12,9,8,0,0,.529,157.1,149,22,142,8.12,54,9,4,0,75,72,.256,2.63,1.29,テキサス・レンジャーズ
3,23,ジェーク・オドリッジ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,テキサス・レンジャーズ
4,25,ホセ・リクラク,2.68,57,0,0,0,0,0,2,8,4,.000,57,37,5,67,10.58,28,2,2,0,19,17,.183,2.39,1.14,テキサス・レンジャーズ
5,31,マックス・シャーザー,3.77,27,27,0,0,14,13,6,0,0,.684,152.2,126,28,174,10.26,45,4,2,0,65,64,.221,3.87,1.12,テキサス・レンジャーズ
6,33,デーン・ダニング,3.70,35,26,0,0,12,12,7,3,0,.632,172.2,163,20,140,7.30,55,10,6,0,73,71,.250,2.55,1.26,テキサス・レンジャーズ
7,35,クリス・ストラットン,3.92,64,0,0,0,0,2,1,8,1,.667,82.2,69,8,81,8.82,25,2,5,0,39,36,.227,3.24,1.14,テキサス・レンジャーズ
8,43,オーウェン・ホワイト,11.25,2,0,0,0,0,0,1,0,0,.000,4,5,2,4,9.00,2,0,0,0,5,5,.313,2.00,1.75,テキサス・レンジャーズ
9,44,アンドルー・ヒーニー,4.15,34,28,0,0,7,10,6,2,0,.625,147.1,143,23,151,9.22,60,10,3,0,74,68,.251,2.52,1.38,テキサス・レンジャーズ
10,45,アロルディス・チャプマン,3.09,61,0,0,0,0,6,5,14,6,.545,58.1,37,4,103,15.89,36,1,9,2,24,20,.175,2.86,1.25,テキサス・レンジャーズ
11,46,ブロック・バーク,4.37,53,0,0,0,0,5,3,12,0,.625,59.2,64,13,52,7.84,9,2,2,0,32,29,.271,5.78,1.22,テキサス・レンジャーズ
12,48,ジェイコブ・デグロム,2.67,6,6,0,0,3,2,0,0,0,1.000,30.1,19,2,45,13.35,4,0,1,0,11,9,.171,11.25,0.76,テキサス・レンジャーズ
13,49,マット・ブッシュ,9.58,12,0,0,0,0,0,2,1,1,.000,10.1,11,5,10,8.71,6,0,0,0,11,11,.262,1.67,1.65,テキサス・レンジャーズ
14,51,ウィル・スミス,4.40,60,0,0,0,0,2,7,8,22,.222,57.1,44,5,55,8.63,17,0,1,0,31,28,.211,3.24,1.06,テキサス・レンジャーズ
15,52,ジョーダン・モンゴメリー,3.20,32,32,0,0,20,10,11,0,0,.476,188.2,177,18,166,7.92,48,4,6,0,75,67,.247,3.46,1.19,テキサス・レンジャーズ
16,54,マーティン・ペレス,4.45,35,20,0,0,8,10,4,2,0,.714,141.2,150,21,93,5.91,49,4,2,3,74,70,.274,1.90,1.40,テキサス・レンジャーズ
17,57,ジェリー・ロドリゲス,7.90,13,1,0,0,0,0,1,0,0,.000,13.2,20,1,15,9.88,6,0,1,0,12,12,.339,2.50,1.90,テキサス・レンジャーズ
18,59,ブレット・マーティン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,テキサス・レンジャーズ
19,60,コール・ウィン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,テキサス・レンジャーズ
20,61,コディ・ブラッドフォード,5.30,20,8,0,0,0,4,3,0,0,.571,56,56,11,51,8.20,12,1,0,0,33,33,.259,4.25,1.21,テキサス・レンジャーズ
21,65,グラント・アンダーソン,5.05,26,0,0,0,0,2,1,5,0,.667,35.2,38,5,30,7.57,14,1,1,0,20,20,.277,2.14,1.46,テキサス・レンジャーズ
22,66,ジョシュ・スボールズ,5.50,44,0,0,0,0,6,7,14,0,.462,52.1,43,8,66,11.35,17,1,3,0,33,32,.219,3.88,1.15,テキサス・レンジャーズ
23,67,ジェーク・ラッツ,0.00,3,0,0,0,0,0,0,0,0,.000,6.1,1,0,5,7.11,3,0,0,0,0,0,.053,1.67,0.63,テキサス・レンジャーズ
24,72,ジョナサン・ヘルナンデス,5.40,33,0,0,0,0,1,2,10,0,.333,31.2,35,4,34,9.66,15,4,2,0,20,19,.280,2.27,1.58,テキサス・レンジャーズ
25,78,ザック・ケント,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,テキサス・レンジャーズ
26,11,オースティン・ヘッジズ,4.91,4,0,0,0,0,0,0,0,0,.000,3.2,5,1,1,2.45,0,1,0,0,2,2,.333,0.00,1.36,テキサス・レンジャーズ
27,13,ブラッド・ミラー,13.50,1,0,0,0,0,0,0,0,0,.000,2,2,1,0,0.00,2,0,0,0,3,3,.333,0.00,2.00,テキサス・レンジャーズ
