,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,6,アレク・マノア,5.87,19,19,0,0,4,3,9,0,0,.250,87.1,93,15,79,8.14,59,9,3,3,61,57,.269,1.34,1.74,トロント・ブルージェイズ
1,12,ジョーダン・ヒックス,3.29,65,0,0,0,0,3,9,13,12,.250,65.2,57,4,81,11.10,32,4,8,0,30,24,.231,2.53,1.36,トロント・ブルージェイズ
2,16,菊池雄星,3.86,32,32,0,0,9,11,6,0,0,.647,167.2,165,27,181,9.72,48,4,7,0,78,72,.255,3.77,1.27,トロント・ブルージェイズ
3,17,ホセ・ベリオス,3.65,32,32,0,0,15,11,12,0,0,.478,189.2,173,25,184,8.73,52,9,4,1,82,77,.241,3.54,1.19,トロント・ブルージェイズ
4,24,ネート・ピアソン,4.85,35,0,0,0,0,5,2,3,1,.714,42.2,36,7,43,9.07,18,3,5,0,25,23,.226,2.39,1.27,トロント・ブルージェイズ
5,33,トレバー・リチャーズ,4.95,56,3,0,0,0,2,1,11,0,.667,72.2,63,13,105,13.00,35,2,5,0,41,40,.228,3.00,1.35,トロント・ブルージェイズ
6,34,ケビン・ガウスマン,3.16,31,31,0,0,20,12,9,0,0,.571,185,163,19,237,11.53,55,3,3,2,72,65,.233,4.31,1.18,トロント・ブルージェイズ
7,37,チャド・グリーン,5.25,12,0,0,0,0,3,0,2,0,1.000,12,12,1,16,12.00,4,0,0,0,10,7,.250,4.00,1.33,トロント・ブルージェイズ
8,40,クリス・バジット,3.60,33,33,1,1,21,16,8,0,0,.667,200,176,28,186,8.37,59,12,4,3,88,80,.235,3.15,1.18,トロント・ブルージェイズ
9,44,ボーデン・フランシス,1.73,20,0,0,0,0,1,0,1,1,1.000,36.1,22,5,35,8.67,8,1,1,2,7,7,.175,4.38,0.83,トロント・ブルージェイズ
10,46,ウェス・パーソンズ,20.25,1,1,0,0,0,0,1,0,0,.000,4,10,2,3,6.75,3,1,2,0,9,9,.455,1.00,3.25,トロント・ブルージェイズ
11,50,エリック・スワンソン,2.97,69,0,0,0,0,4,2,29,4,.667,66.2,52,8,75,10.13,21,0,0,0,22,22,.217,3.57,1.10,トロント・ブルージェイズ
12,56,ザック・ポップ,6.59,15,0,0,0,0,1,1,1,0,.500,13.2,11,4,14,9.22,6,0,1,0,11,10,.220,2.33,1.24,トロント・ブルージェイズ
13,58,ティム・メイザ,1.52,69,0,0,0,0,3,1,22,1,.750,53.1,50,2,53,8.94,15,0,1,0,10,9,.251,3.53,1.22,トロント・ブルージェイズ
14,60,ヨスバー・ズルエタ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,トロント・ブルージェイズ
15,65,ヘーゲン・ダナー,0.00,1,0,0,0,0,0,0,0,0,.000,0.1,0,0,0,0.00,0,0,0,0,0,0,.000,0.00,0.00,トロント・ブルージェイズ
16,68,ジョーダン・ロマノ,2.90,59,0,0,0,0,5,7,2,36,.417,59,48,6,72,10.98,24,2,0,1,20,19,.218,3.00,1.22,トロント・ブルージェイズ
17,90,アダム・シンバー,7.40,22,0,0,0,0,0,2,1,1,.000,20.2,25,6,12,5.23,7,4,0,0,18,17,.301,1.71,1.55,トロント・ブルージェイズ
18,92,ゲネシス・カブレラ,4.04,61,0,0,0,0,2,1,11,0,.667,55.2,49,8,58,9.38,24,2,1,1,28,25,.232,2.42,1.31,トロント・ブルージェイズ
19,93,イミ・ガルシア,4.09,73,0,0,0,0,3,4,19,3,.429,66,67,8,79,10.77,15,6,0,0,35,30,.261,5.27,1.24,トロント・ブルージェイズ
20,99,柳賢振,3.46,11,11,0,0,1,3,3,0,0,.500,52,53,9,38,6.58,14,1,1,0,25,20,.257,2.71,1.29,トロント・ブルージェイズ
21,28,アーニー・クレメント,9.00,1,0,0,0,0,0,0,0,0,.000,1,3,0,0,0.00,0,1,0,0,1,1,.500,0.00,3.00,トロント・ブルージェイズ
