,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,1,マッケンジー・ゴア,4.42,27,27,0,0,8,7,10,0,0,.412,136.1,134,27,151,9.97,57,1,6,0,71,67,.258,2.65,1.40,ワシントン・ナショナルズ
1,21,タナー・レイニー,0.00,1,0,0,0,0,0,0,0,0,.000,1,1,0,1,9.00,1,0,1,0,0,0,.250,1.00,2.00,ワシントン・ナショナルズ
2,32,トレバー・ウィリアムズ,5.55,30,30,0,0,5,6,10,0,0,.375,144.1,178,34,111,6.92,53,5,0,2,97,89,.300,2.09,1.60,ワシントン・ナショナルズ
3,37,スティーブン・ストラスバーグ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ワシントン・ナショナルズ
4,40,ジョザイア・グレイ,3.91,30,30,0,0,11,8,13,0,0,.381,159,152,22,143,8.09,80,9,9,0,72,69,.251,1.79,1.46,ワシントン・ナショナルズ
5,46,パトリック・コービン,5.20,32,32,0,0,15,10,15,0,0,.400,180,210,33,124,6.20,57,4,6,0,113,104,.293,2.18,1.48,ワシントン・ナショナルズ
6,47,ホセ・A・フェレール,5.03,39,0,0,0,0,3,0,5,0,1.000,34,37,4,25,6.62,13,1,0,0,19,19,.289,1.92,1.47,ワシントン・ナショナルズ
7,51,ジョーダン・ウェームス,3.62,51,0,0,0,0,5,1,7,0,.833,54.2,38,9,60,9.88,28,3,0,0,25,22,.194,2.14,1.21,ワシントン・ナショナルズ
8,53,ジョー・ラソルサ,4.41,25,0,0,0,0,1,0,2,0,1.000,32.2,32,3,28,7.71,9,6,0,1,16,16,.246,3.11,1.26,ワシントン・ナショナルズ
9,54,ケイド・カバーリ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ワシントン・ナショナルズ
10,54,アモス・ウィリンガム,6.66,18,0,0,0,0,0,2,0,0,.000,24.1,35,8,15,5.55,9,1,0,0,18,18,.337,1.67,1.81,ワシントン・ナショナルズ
11,56,マット・クローニン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ワシントン・ナショナルズ
12,57,アンドレス・マチャド,5.22,44,0,0,0,0,4,1,4,0,.800,50,53,12,43,7.74,13,1,1,1,29,29,.282,3.31,1.32,ワシントン・ナショナルズ
13,58,カール・エドワーズＪｒ.,3.69,32,0,0,0,0,1,3,13,2,.250,31.2,31,1,24,6.82,17,1,2,0,14,13,.250,1.41,1.52,ワシントン・ナショナルズ
14,60,ホアン・アドン,6.45,12,10,0,0,2,2,4,0,0,.333,51.2,60,8,48,8.36,24,3,6,0,37,37,.284,2.00,1.63,ワシントン・ナショナルズ
15,61,ロバート・ガルシア,3.66,25,0,0,0,0,2,2,5,0,.500,32,26,3,33,9.28,12,0,2,0,16,13,.234,2.75,1.19,ワシントン・ナショナルズ
16,64,ビクトル・アラノ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ワシントン・ナショナルズ
17,67,カイル・フィネガン,3.76,67,0,0,0,0,7,5,8,28,.583,69.1,66,11,63,8.18,24,1,0,0,33,29,.254,2.63,1.30,ワシントン・ナショナルズ
18,68,サッド・ウォード,6.37,26,0,0,0,0,0,0,0,0,.000,35.1,29,7,30,7.64,28,2,1,0,26,25,.225,1.07,1.61,ワシントン・ナショナルズ
19,71,メイソン・トンプソン,5.50,51,0,0,0,0,4,4,10,1,.500,54,62,4,44,7.33,22,4,4,0,35,33,.294,2.00,1.56,ワシントン・ナショナルズ
20,73,ハンター・ハービー,2.82,57,0,0,0,0,4,4,19,10,.500,60.2,44,7,67,9.94,13,2,2,1,21,19,.203,5.15,0.94,ワシントン・ナショナルズ
21,74,ジェイク・アービン,4.61,24,24,0,0,8,3,7,0,0,.300,121,118,20,99,7.36,54,8,2,1,66,62,.255,1.83,1.42,ワシントン・ナショナルズ
22,75,ホビ・ハリス,5.12,16,0,0,0,0,0,0,0,0,.000,19.1,21,2,9,4.19,13,1,1,0,12,11,.273,0.69,1.76,ワシントン・ナショナルズ
23,77,コリー・アボット,6.64,22,0,0,0,0,1,2,0,0,.333,39.1,48,9,40,9.15,19,4,4,1,29,29,.306,2.11,1.70,ワシントン・ナショナルズ
24,79,ジャクソン・ラトレッジ,6.75,4,4,0,0,1,1,1,0,0,.500,20,24,4,12,5.40,6,2,1,0,15,15,.304,2.00,1.50,ワシントン・ナショナルズ
25,-,ロデリー・ムニョス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ワシントン・ナショナルズ
26,14,イルデマロ・バルガス,4.50,2,0,0,0,0,0,0,0,0,.000,2,2,1,0,0.00,1,1,0,0,1,1,.250,0.00,1.50,ワシントン・ナショナルズ
27,28,レーン・トーマス,27.00,1,0,0,0,0,0,0,0,0,.000,1,3,1,1,9.00,0,0,0,0,3,3,.500,0.00,3.00,ワシントン・ナショナルズ
